run_id,label,timestamp,L_femur_mm,L_stub_mm,L_tibia_mm,Lc_mm,F_X_mm,F_Z_mm,A_Z_mm,AF_mm,AF_motor_clearance_mm,m_box_g,m_femur_g,m_tibia_g,m_coupler_g,m_wheel_g,total_mass_g,Q_retracted_rad,Q_extended_rad,stroke_deg,jump_height_mm,status,fail_reason,bearing_warnings
1,visual_sim_baseline,2026-03-16 11:37:07,100.0,15.0,115.0,110.0,-15.0,2.5,-23.5,30.02,3.52,477.0,25.0,35.0,15.0,410.0,1222.0,-0.35071,-1.31902,55.48,33.13,PASS,,tibia_stub 15.0mm<25mm|AF_clear 3.5mm<12.5mm
2,bearing_legal_default,2026-03-16 11:37:08,100.0,25.0,115.0,110.0,-20.0,11.16,-23.5,40.02,13.52,477.0,25.0,35.0,15.0,410.0,1222.0,-0.35071,-1.35905,57.77,21.87,PASS,,
3,oat_L_femur_50mm,2026-03-16 11:37:08,50.0,25.0,115.0,110.0,-20.0,11.16,-23.5,40.02,13.52,477.0,25.0,35.0,15.0,410.0,1222.0,-2.35238,-2.35488,0.14,,FAIL,mechanical crash: joint below ground,
4,oat_L_femur_64mm,2026-03-16 11:37:08,64.44,25.0,115.0,110.0,-20.0,11.16,-23.5,40.02,13.52,477.0,25.0,35.0,15.0,410.0,1222.0,,,,,FAIL,"jump direction wrong: W_z delta=-64.4mm (need >10mm drop, Q_ret W_z=-38.1mm Q_ext W_z=26.4mm)",
5,oat_L_femur_79mm,2026-03-16 11:37:08,78.89,25.0,115.0,110.0,-20.0,11.16,-23.5,40.02,13.52,477.0,25.0,35.0,15.0,410.0,1222.0,-0.50834,-1.48666,56.05,31.51,PASS,,
6,oat_L_femur_93mm,2026-03-16 11:37:08,93.33,25.0,115.0,110.0,-20.0,11.16,-23.5,40.02,13.52,477.0,25.0,35.0,15.0,410.0,1222.0,-0.35071,-1.64429,74.12,15.91,PASS,,
7,oat_L_femur_108mm,2026-03-16 11:37:08,107.78,25.0,115.0,110.0,-20.0,11.16,-23.5,40.02,13.52,477.0,25.0,35.0,15.0,410.0,1222.0,-0.35071,-1.03128,38.99,25.79,PASS,,
8,oat_L_femur_122mm,2026-03-16 11:37:08,122.22,25.0,115.0,110.0,-20.0,11.16,-23.5,40.02,13.52,477.0,25.0,35.0,15.0,410.0,1222.0,,,,,FAIL,wheel not under box at Q_ret: W_x=-104.3mm (limit ±50mm),
9,oat_L_femur_137mm,2026-03-16 11:37:08,136.67,25.0,115.0,110.0,-20.0,11.16,-23.5,40.02,13.52,477.0,25.0,35.0,15.0,410.0,1222.0,,,,,FAIL,stroke search failed,
10,oat_L_femur_151mm,2026-03-16 11:37:08,151.11,25.0,115.0,110.0,-20.0,11.16,-23.5,40.02,13.52,477.0,25.0,35.0,15.0,410.0,1222.0,,,,,FAIL,stroke search failed,
11,oat_L_femur_166mm,2026-03-16 11:37:08,165.56,25.0,115.0,110.0,-20.0,11.16,-23.5,40.02,13.52,477.0,25.0,35.0,15.0,410.0,1222.0,,,,,FAIL,valid stroke only 0.9° < 15° minimum,
12,oat_L_femur_180mm,2026-03-16 11:37:08,180.0,25.0,115.0,110.0,-20.0,11.16,-23.5,40.02,13.52,477.0,25.0,35.0,15.0,410.0,1222.0,,,,,FAIL,4-bar closure fails at every swept angle,
13,oat_L_stub_22mm,2026-03-16 11:37:08,100.0,22.0,115.0,110.0,-20.0,11.16,-23.5,40.02,13.52,477.0,25.0,35.0,15.0,410.0,1222.0,-0.35071,-1.22394,50.03,30.7,PASS,,tibia_stub 22.0mm<25mm
14,oat_L_stub_28mm,2026-03-16 11:37:08,100.0,28.44,115.0,110.0,-20.0,11.16,-23.5,40.02,13.52,477.0,25.0,35.0,15.0,410.0,1222.0,-0.35071,-1.55421,68.96,4.72,PASS,,
15,oat_L_stub_35mm,2026-03-16 11:37:08,100.0,34.89,115.0,110.0,-20.0,11.16,-23.5,40.02,13.52,477.0,25.0,35.0,15.0,410.0,1222.0,,,,,FAIL,"jump direction wrong: W_z delta=-90.3mm (need >10mm drop, Q_ret W_z=-205.7mm Q_ext W_z=-115.4mm)",
16,oat_L_stub_41mm,2026-03-16 11:37:08,100.0,41.33,115.0,110.0,-20.0,11.16,-23.5,40.02,13.52,477.0,25.0,35.0,15.0,410.0,1222.0,,,,,FAIL,"jump direction wrong: W_z delta=-99.0mm (need >10mm drop, Q_ret W_z=-197.0mm Q_ext W_z=-98.0mm)",
17,oat_L_stub_48mm,2026-03-16 11:37:08,100.0,47.78,115.0,110.0,-20.0,11.16,-23.5,40.02,13.52,477.0,25.0,35.0,15.0,410.0,1222.0,,,,,FAIL,"jump direction wrong: W_z delta=-104.4mm (need >10mm drop, Q_ret W_z=-192.4mm Q_ext W_z=-87.9mm)",
