run_id,scenario,label,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,5_VEL_PI_leg_cycling,evo_seed,2026-03-18 14:50:39,,,,,0.502932,0.012678,6.6849,16.9991,7.2958,1.054,0.4883,1.38,13.0,,,,,,2.1334,PASS,
2,5_VEL_PI_leg_cycling,evo_g000000_c0,2026-03-18 14:50:41,,,,,0.389224,0.01,6.3147,17.0333,7.1999,0.944,0.5168,1.422,13.0,,,,,,2.1819,PASS,
4,5_VEL_PI_leg_cycling,evo_g000000_c2,2026-03-18 14:50:41,,,,,1.440417,0.02335,9.617,17.2061,7.9588,1.11,0.7737,13.0,13.0,,,,,,3.2828,PASS,
5,5_VEL_PI_leg_cycling,evo_g000000_c3,2026-03-18 14:50:41,,,,,0.147942,0.083623,6.3411,16.6682,8.3168,1.1,0.5868,0.592,13.0,,,,,,2.3945,PASS,
3,5_VEL_PI_leg_cycling,evo_g000000_c1,2026-03-18 14:50:41,,,,,1.533636,0.014487,9.4695,17.1526,7.6039,1.822,0.5937,13.0,13.0,,,,,,2.7281,PASS,
6,5_VEL_PI_leg_cycling,evo_g000000_c4,2026-03-18 14:50:41,,,,,2.528883,0.01,10.1876,17.1804,7.805,0.856,0.6209,13.0,13.0,,,,,,2.8815,PASS,
7,5_VEL_PI_leg_cycling,evo_g000000_c5,2026-03-18 14:50:41,,,,,0.354559,0.01,6.0675,16.9109,7.2268,0.806,0.4994,1.426,13.0,,,,,,2.105,PASS,
8,5_VEL_PI_leg_cycling,evo_g000000_c6,2026-03-18 14:50:41,,,,,0.127713,0.027188,5.0591,12.8609,7.1365,0.77,0.5708,0.556,13.0,,,,,,2.2183,PASS,
9,5_VEL_PI_leg_cycling,evo_g000000_c7,2026-03-18 14:50:41,,,,,1.221828,0.021109,9.398,17.1861,8.9282,0.876,1.1005,13.0,13.0,,,,,,4.2413,PASS,
11,5_VEL_PI_leg_cycling,evo_g000001_c1,2026-03-18 14:50:42,,,,,0.08222,0.01,4.0725,9.7082,6.5285,0.476,0.7289,0.542,13.0,,,,,,2.5939,PASS,
13,5_VEL_PI_leg_cycling,evo_g000001_c3,2026-03-18 14:50:42,,,,,0.585661,0.01,6.7904,17.0393,7.3616,2.052,0.6602,13.0,13.0,,,,,,2.6596,PASS,
15,5_VEL_PI_leg_cycling,evo_g000001_c5,2026-03-18 14:50:42,,,,,0.411207,0.01,6.2716,16.9825,7.2257,0.962,0.5021,1.416,13.0,,,,,,2.1335,PASS,
12,5_VEL_PI_leg_cycling,evo_g000001_c2,2026-03-18 14:50:42,,,,,0.130913,0.099788,7.0969,17.1988,8.8401,1.206,0.665,0.6,13.0,,,,,,2.7047,PASS,
10,5_VEL_PI_leg_cycling,evo_g000001_c0,2026-03-18 14:50:42,,,,,5.0,0.010896,10.6207,17.172,7.5915,0.882,0.6256,13.0,13.0,,,,,,2.9389,PASS,
14,5_VEL_PI_leg_cycling,evo_g000001_c4,2026-03-18 14:50:42,,,,,5.0,0.014761,10.5887,17.1622,7.7147,0.958,0.6254,13.0,13.0,,,,,,2.9351,PASS,
16,5_VEL_PI_leg_cycling,evo_g000001_c6,2026-03-18 14:50:42,,,,,0.231787,0.010539,5.5633,16.296,6.9916,0.748,0.5223,0.57,13.0,,,,,,2.1232,PASS,
17,5_VEL_PI_leg_cycling,evo_g000001_c7,2026-03-18 14:50:42,,,,,0.117563,0.01,4.5382,11.5264,6.6599,0.532,0.6233,0.55,13.0,,,,,,2.3237,PASS,
19,5_VEL_PI_leg_cycling,evo_g000002_c1,2026-03-18 14:50:43,,,,,0.873744,0.01,8.8096,17.1989,8.7547,1.842,1.3854,13.0,13.0,,,,,,5.0372,PASS,
25,5_VEL_PI_leg_cycling,evo_g000002_c7,2026-03-18 14:50:43,,,,,1.419298,0.14267,9.7073,17.1885,8.313,1.75,0.7206,13.0,13.0,,,,,,3.1325,PASS,
23,5_VEL_PI_leg_cycling,evo_g000002_c5,2026-03-18 14:50:43,,,,,0.453222,0.01,6.5686,17.1749,7.2701,1.056,0.5439,1.394,13.0,,,,,,2.2886,PASS,
22,5_VEL_PI_leg_cycling,evo_g000002_c4,2026-03-18 14:50:43,,,,,0.443404,0.041065,6.8782,17.216,7.6867,1.018,0.5603,1.408,13.0,,,,,,2.3687,PASS,
21,5_VEL_PI_leg_cycling,evo_g000002_c3,2026-03-18 14:50:43,,,,,0.656659,0.021834,7.1874,16.8369,7.0926,1.63,0.6399,13.0,13.0,,,,,,2.6384,PASS,
20,5_VEL_PI_leg_cycling,evo_g000002_c2,2026-03-18 14:50:43,,,,,0.442655,0.013286,6.4621,16.961,7.1979,1.0,0.495,1.406,13.0,,,,,,2.1312,PASS,
24,5_VEL_PI_leg_cycling,evo_g000002_c6,2026-03-18 14:50:43,,,,,0.287621,0.01,5.7816,16.7065,7.0992,0.762,0.5037,0.614,13.0,,,,,,2.0893,PASS,
18,5_VEL_PI_leg_cycling,evo_g000002_c0,2026-03-18 14:50:43,,,,,3.165587,0.01,10.3833,16.969,7.2672,2.526,0.5411,13.0,13.0,,,,,,2.6616,PASS,
30,5_VEL_PI_leg_cycling,evo_g000003_c4,2026-03-18 14:50:44,,,,,0.205521,0.017968,5.5539,16.0945,7.1183,0.71,0.5339,0.586,13.0,,,,,,2.1571,PASS,
26,5_VEL_PI_leg_cycling,evo_g000003_c0,2026-03-18 14:50:44,,,,,0.15617,0.010113,4.9783,14.1041,6.8102,0.54,0.5604,0.56,13.0,,,,,,2.179,PASS,
28,5_VEL_PI_leg_cycling,evo_g000003_c2,2026-03-18 14:50:44,,,,,0.215238,0.01,5.4309,16.1393,6.9825,0.74,0.5263,0.586,13.0,,,,,,2.122,PASS,
33,5_VEL_PI_leg_cycling,evo_g000003_c7,2026-03-18 14:50:44,,,,,0.40397,0.020809,6.4873,17.1225,7.3695,1.006,0.5313,1.422,13.0,,,,,,2.2426,PASS,
32,5_VEL_PI_leg_cycling,evo_g000003_c6,2026-03-18 14:50:44,,,,,0.063763,0.044352,4.7407,11.3373,7.2928,0.544,0.6561,0.552,13.0,,,,,,2.4424,PASS,
27,5_VEL_PI_leg_cycling,evo_g000003_c1,2026-03-18 14:50:44,,,,,0.716216,0.022092,8.5956,17.2073,7.6289,1.16,0.9171,13.0,13.0,,,,,,3.6109,PASS,
31,5_VEL_PI_leg_cycling,evo_g000003_c5,2026-03-18 14:50:44,,,,,0.067068,0.01,3.7358,8.7112,6.7352,0.454,0.7765,0.536,13.0,,,,,,2.7031,PASS,
29,5_VEL_PI_leg_cycling,evo_g000003_c3,2026-03-18 14:50:44,,,,,0.114184,0.01,4.4914,11.314,6.6475,0.516,0.6299,0.552,13.0,,,,,,2.3388,PASS,
34,5_VEL_PI_leg_cycling,evo_g000004_c0,2026-03-18 14:50:45,,,,,0.179813,0.01,5.1846,15.2927,6.8662,0.848,0.5458,0.576,13.0,,,,,,2.1559,PASS,
39,5_VEL_PI_leg_cycling,evo_g000004_c5,2026-03-18 14:50:45,,,,,0.20131,0.016565,5.4441,15.9855,7.0893,0.72,0.5295,0.57,13.0,,,,,,2.1329,PASS,
40,5_VEL_PI_leg_cycling,evo_g000004_c6,2026-03-18 14:50:45,,,,,1.081947,0.01,8.9491,17.2165,7.7239,0.844,0.6237,13.0,13.0,,,,,,2.766,PASS,
35,5_VEL_PI_leg_cycling,evo_g000004_c1,2026-03-18 14:50:45,,,,,0.526587,0.01,6.7876,17.0407,6.9273,1.346,0.5192,1.39,13.0,,,,,,2.2364,PASS,
38,5_VEL_PI_leg_cycling,evo_g000004_c4,2026-03-18 14:50:45,,,,,2.441451,0.01,10.1186,17.187,7.9038,0.814,0.6308,13.0,13.0,,,,,,2.9043,PASS,
41,5_VEL_PI_leg_cycling,evo_g000004_c7,2026-03-18 14:50:45,,,,,0.389892,0.01,6.2707,17.032,7.2243,0.952,0.5118,1.42,13.0,,,,,,2.1625,PASS,
36,5_VEL_PI_leg_cycling,evo_g000004_c2,2026-03-18 14:50:45,,,,,0.38027,0.01,6.1454,16.9701,7.2391,0.876,0.5003,1.422,13.0,,,,,,2.1154,PASS,
37,5_VEL_PI_leg_cycling,evo_g000004_c3,2026-03-18 14:50:45,,,,,0.173735,0.06336,6.182,16.5706,8.218,1.054,0.5534,0.59,13.0,,,,,,2.2784,PASS,
46,5_VEL_PI_leg_cycling,evo_g000005_c4,2026-03-18 14:50:47,,,,,0.138786,0.01,4.7905,12.8817,6.7546,0.566,0.5854,0.558,13.0,,,,,,2.2353,PASS,
44,5_VEL_PI_leg_cycling,evo_g000005_c2,2026-03-18 14:50:47,,,,,0.08224,0.01,4.006,9.5367,6.5509,0.474,0.7169,0.54,13.0,,,,,,2.5513,PASS,
49,5_VEL_PI_leg_cycling,evo_g000005_c7,2026-03-18 14:50:47,,,,,0.070955,0.01,3.805,8.9066,6.659,0.468,0.7611,0.534,13.0,,,,,,2.6638,PASS,
