time_s,pitch_deg,height_mm,fax_fem_N,flat_fem_N,fax_tib_N,flat_tib_N,fax_cpl_N,fbear_A_N,fbear_C_N,fbear_E_N,fbear_F_N,fbear_W_N,grf_L_N
0.0160,-2.009,0.0,-6.59,3.27,0.96,7.13,8.37,7.33,90.39,88.21,88.21,2.62,5.18
0.0490,-1.965,0.0,-5.27,3.01,0.43,5.88,7.02,6.03,89.89,87.76,87.76,2.72,5.39
0.0655,-1.912,0.0,-5.72,3.09,0.60,6.30,7.64,6.47,89.71,87.60,87.60,2.84,5.52
0.0820,-1.858,0.0,-5.45,3.04,0.48,6.05,7.34,6.21,89.51,87.40,87.40,2.83,5.53
0.0985,-1.791,0.0,-5.27,3.00,0.40,5.88,7.14,6.03,89.29,87.19,87.19,2.82,5.52
0.1150,-1.721,0.0,-4.88,2.94,0.23,5.52,6.62,5.66,89.15,87.05,87.05,2.73,5.42
0.1315,-1.660,0.0,-5.44,3.04,0.43,6.04,7.30,6.20,89.01,86.90,86.90,2.80,5.48
0.1480,-1.593,0.0,-4.69,2.90,0.14,5.34,6.36,5.48,88.82,86.72,86.72,2.68,5.34
0.1645,-1.537,0.0,-6.53,3.23,0.80,7.05,8.68,7.25,88.69,86.60,86.60,3.00,5.64
0.1810,-1.470,0.0,-6.15,3.16,0.65,6.71,8.19,6.89,88.56,86.46,86.46,2.90,5.55
0.1975,-1.413,0.0,-6.75,3.27,0.85,7.27,8.89,7.48,88.40,86.30,86.30,2.95,5.59
0.2140,-1.343,0.0,-5.71,3.08,0.46,6.30,7.64,6.46,88.23,86.12,86.12,2.83,5.47
0.2305,-1.284,0.0,-5.65,3.07,0.42,6.24,7.55,6.40,88.13,86.02,86.02,2.81,5.45
0.2470,-1.223,0.0,-5.10,2.99,0.21,5.74,6.78,5.88,88.05,85.93,85.93,2.64,5.28
0.2635,-1.169,0.0,-5.83,3.11,0.47,6.41,7.78,6.58,87.83,85.72,85.72,2.83,5.48
0.2800,-1.123,0.0,-5.08,2.98,0.18,5.71,6.81,5.85,87.78,85.67,85.67,2.69,5.34
0.2965,-1.078,0.0,-6.33,3.20,0.62,6.89,8.43,7.07,87.57,85.48,85.48,2.94,5.58
0.3130,-1.038,0.0,-6.21,3.18,0.56,6.78,8.22,6.95,87.52,85.41,85.41,2.86,5.50
0.3295,-0.976,0.0,-5.62,3.07,0.35,6.22,7.56,6.38,87.33,85.23,85.23,2.83,5.48
0.3460,-0.925,0.0,-4.93,2.94,0.10,5.57,6.67,5.71,87.26,85.16,85.16,2.70,5.35
0.3625,-0.879,0.0,-5.73,3.09,0.37,6.33,7.65,6.48,87.21,85.10,85.10,2.80,5.45
0.3790,-0.824,0.0,-5.19,3.00,0.17,5.82,6.95,5.96,87.06,84.95,84.95,2.69,5.34
0.3955,-0.785,0.0,-6.28,3.19,0.54,6.84,8.39,7.01,86.96,84.87,84.87,2.95,5.59
0.4120,-0.735,0.0,-5.23,3.00,0.17,5.85,7.05,6.00,86.83,84.73,84.73,2.74,5.39
0.4285,-0.699,0.0,-5.28,3.01,0.18,5.90,7.09,6.05,86.74,84.64,84.64,2.73,5.38
0.4450,-0.662,0.0,-6.27,3.18,0.51,6.83,8.36,7.00,86.68,84.59,84.59,2.93,5.57
0.4615,-0.639,0.0,-5.49,3.04,0.24,6.09,7.41,6.24,86.56,84.47,84.47,2.82,5.47
0.4780,-0.602,0.0,-5.76,3.10,0.32,6.36,7.69,6.52,86.50,84.39,84.39,2.80,5.45
0.4945,-0.577,0.0,-6.19,3.18,0.45,6.77,8.20,6.93,86.45,84.35,84.35,2.84,5.49
0.5110,-0.540,0.0,-5.18,2.98,0.12,5.80,7.02,5.95,86.31,84.22,84.22,2.76,5.41
