run_id,scenario,label,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
4861,4_leg_height_gain_sched,,2026-03-18 14:28:59,0.138282,0.023379,0.004591,9.998298,,,1.8714,3.6533,,,,,12.0,,,,,,0.02558,PASS,
4862,4_leg_height_gain_sched,,2026-03-18 14:28:59,0.436737,0.02457,0.016647,0.514014,,,23.2952,51.462,,,,,0.152,,,,,,200.665528,FAIL,fell over
4863,4_leg_height_gain_sched,,2026-03-18 14:29:00,0.272281,0.052038,0.003486,0.190832,,,13.1607,55.7208,,,,,0.316,,,,,,201.566947,FAIL,fell over
4864,4_leg_height_gain_sched,,2026-03-18 14:29:00,0.034118,0.00438,0.000133,21.173286,,,1.2437,2.1303,,,,,12.0,,,,,,0.017997,PASS,
4865,4_leg_height_gain_sched,,2026-03-18 14:29:00,0.001,0.142317,0.000745,0.761163,,,2.3844,6.2767,,,,,12.0,,,,,,0.053019,PASS,
4866,4_leg_height_gain_sched,,2026-03-18 14:29:00,0.098706,0.240645,0.010839,14.118053,,,2.1142,4.2251,,,,,12.0,,,,,,0.034659,PASS,
4867,4_leg_height_gain_sched,,2026-03-18 14:29:00,0.15504,0.047511,0.001331,21.073243,,,1.3874,2.7599,,,,,12.0,,,,,,0.019152,PASS,
4868,4_leg_height_gain_sched,,2026-03-18 14:29:01,0.056813,0.002055,0.009253,2.157194,,,3.5806,11.2155,,,,,12.0,,,,,,0.150997,PASS,
4869,4_leg_height_gain_sched,,2026-03-18 14:29:01,0.043054,0.053932,0.000209,500.18516,,,1.2701,2.0828,,,,,12.0,,,,,,0.018398,PASS,
4870,4_leg_height_gain_sched,,2026-03-18 14:29:02,0.056685,0.003002,3.9e-05,14.799023,,,1.2461,2.0989,,,,,12.0,,,,,,0.018112,PASS,
4871,4_leg_height_gain_sched,,2026-03-18 14:29:02,0.030264,0.001748,8.9e-05,8.497849,,,1.247,2.1872,,,,,12.0,,,,,,0.017991,PASS,
4871,4_leg_height_gain_sched,,2026-03-18 14:29:02,0.060969,0.008244,0.002662,5.375813,,,1.9007,3.7086,,,,,12.0,,,,,,0.026428,PASS,
4872,4_leg_height_gain_sched,,2026-03-18 14:29:02,0.083713,0.000552,1e-05,988.731288,,,1.2913,2.1099,,,,,12.0,,,,,,0.018648,PASS,
4873,4_leg_height_gain_sched,,2026-03-18 14:29:02,0.023447,0.009536,9.6e-05,1.529476,,,1.3886,2.7751,,,,,12.0,,,,,,0.01916,PASS,
4874,4_leg_height_gain_sched,,2026-03-18 14:29:02,0.003736,0.001318,1.7e-05,162.698191,,,1.2802,2.1068,,,,,12.0,,,,,,0.018534,PASS,
4874,4_leg_height_gain_sched,,2026-03-18 14:29:02,6.834524,0.000813,0.000478,4.298572,,,1.4783,2.9826,,,,,12.0,,,,,,0.020105,PASS,
4875,4_leg_height_gain_sched,,2026-03-18 14:29:02,0.019986,0.046135,0.000268,2.507025,,,1.4878,2.99,,,,,12.0,,,,,,0.020139,PASS,
4876,4_leg_height_gain_sched,,2026-03-18 14:29:03,0.00983,0.002354,1e-05,160.451583,,,1.2855,2.1039,,,,,12.0,,,,,,0.018585,PASS,
4877,4_leg_height_gain_sched,,2026-03-18 14:29:03,2.830379,0.000414,0.000755,24.330115,,,1.2996,2.4819,,,,,12.0,,,,,,0.018354,PASS,
4878,4_leg_height_gain_sched,,2026-03-18 14:29:03,0.004346,0.007512,1e-05,24.757078,,,1.2694,2.1035,,,,,12.0,,,,,,0.018408,PASS,
4879,4_leg_height_gain_sched,,2026-03-18 14:29:03,0.021759,0.001744,4.5e-05,0.464784,,,1.4627,2.938,,,,,12.0,,,,,,0.019885,PASS,
4880,4_leg_height_gain_sched,,2026-03-18 14:29:03,0.001591,0.0001,0.001372,0.775468,,,2.7875,8.806,,,,,12.0,,,,,,0.073496,PASS,
4881,4_leg_height_gain_sched,,2026-03-18 14:29:03,0.003597,0.0001,9.2e-05,10.425336,,,1.2478,2.1569,,,,,12.0,,,,,,0.018035,PASS,
4882,4_leg_height_gain_sched,,2026-03-18 14:29:03,0.001107,0.000479,0.000184,4.782838,,,1.3217,2.5891,,,,,12.0,,,,,,0.018607,PASS,
4883,4_leg_height_gain_sched,,2026-03-18 14:29:03,0.023256,0.001723,1e-05,3.817639,,,1.2488,2.1062,,,,,12.0,,,,,,0.018167,PASS,
4884,4_leg_height_gain_sched,,2026-03-18 14:29:04,0.761996,0.006901,4.7e-05,2.605105,,,1.2622,2.3323,,,,,12.0,,,,,,0.018085,PASS,
4885,4_leg_height_gain_sched,,2026-03-18 14:29:04,0.113361,0.0001,0.000134,6.259518,,,1.2733,2.3989,,,,,12.0,,,,,,0.018157,PASS,
4885,4_leg_height_gain_sched,,2026-03-18 14:29:04,0.001604,0.000543,0.000552,23.928704,,,1.2804,2.4386,,,,,12.0,,,,,,0.018212,PASS,
4886,4_leg_height_gain_sched,,2026-03-18 14:29:04,0.002668,0.004459,0.000395,42.9903,,,1.2448,2.1494,,,,,12.0,,,,,,0.017981,PASS,
4887,4_leg_height_gain_sched,,2026-03-18 14:29:04,1.557764,0.031111,3.6e-05,1.010177,,,1.3083,2.5551,,,,,12.0,,,,,,0.018475,PASS,
4888,4_leg_height_gain_sched,,2026-03-18 14:29:04,0.880128,0.001106,5.7e-05,2.223935,,,1.2799,2.4275,,,,,12.0,,,,,,0.018218,PASS,
4889,4_leg_height_gain_sched,,2026-03-18 14:29:04,0.00309,0.000742,0.000566,0.198255,,,3.5372,11.0477,,,,,12.0,,,,,,0.127373,PASS,
4890,4_leg_height_gain_sched,,2026-03-18 14:29:04,0.017047,0.007313,0.000643,4.785076,,,1.5354,3.0943,,,,,12.0,,,,,,0.020714,PASS,
4891,4_leg_height_gain_sched,,2026-03-18 14:29:05,0.015735,0.000605,0.000114,184.791034,,,1.2668,2.0993,,,,,12.0,,,,,,0.018378,PASS,
4892,4_leg_height_gain_sched,,2026-03-18 14:29:05,0.033811,0.0001,0.000319,1000.0,,,1.2701,2.0926,,,,,12.0,,,,,,0.018408,PASS,
4893,4_leg_height_gain_sched,,2026-03-18 14:29:05,0.009492,0.002812,0.003162,18.193537,,,1.5977,3.1898,,,,,12.0,,,,,,0.021373,PASS,
4893,4_leg_height_gain_sched,,2026-03-18 14:29:05,0.001,0.020346,0.00017,56.530668,,,1.2457,2.1248,,,,,12.0,,,,,,0.018098,PASS,
4894,4_leg_height_gain_sched,,2026-03-18 14:29:05,0.489176,0.018617,0.001465,3.103034,,,1.8829,3.6614,,,,,12.0,,,,,,0.026166,PASS,
4895,4_leg_height_gain_sched,,2026-03-18 14:29:05,0.001,0.291104,0.000824,9.26092,,,1.452,2.9025,,,,,12.0,,,,,,0.019771,PASS,
4896,4_leg_height_gain_sched,,2026-03-18 14:29:05,0.001,0.002946,0.000964,26.464974,,,1.3174,2.5533,,,,,12.0,,,,,,0.018515,PASS,
4897,4_leg_height_gain_sched,,2026-03-18 14:29:05,0.001,0.00409,0.000139,48.557486,,,1.2489,2.1177,,,,,12.0,,,,,,0.018109,PASS,
4898,4_leg_height_gain_sched,,2026-03-18 14:29:07,0.00254,0.042705,0.01816,174.557842,,,1.4814,2.9921,,,,,12.0,,,,,,0.020078,PASS,
4899,4_leg_height_gain_sched,,2026-03-18 14:29:07,0.001,0.074912,0.000152,15.535899,,,1.2468,2.1612,,,,,12.0,,,,,,0.017989,PASS,
4900,4_leg_height_gain_sched,,2026-03-18 14:29:07,0.001142,0.0001,1.3e-05,109.340213,,,1.2809,2.1105,,,,,12.0,,,,,,0.018502,PASS,
4901,4_leg_height_gain_sched,,2026-03-18 14:29:07,0.013682,0.055854,0.014776,14.634747,,,2.233,5.518,,,,,12.0,,,,,,0.041882,PASS,
4902,4_leg_height_gain_sched,,2026-03-18 14:29:07,0.001,0.010546,7.4e-05,30.735451,,,1.2469,2.1222,,,,,12.0,,,,,,0.018144,PASS,
