time_s,pitch_deg,height_mm,fax_fem_N,flat_fem_N,fax_tib_N,flat_tib_N,fax_cpl_N,fbear_A_N,fbear_C_N,fbear_E_N,fbear_F_N,fbear_W_N,grf_L_N
0.0160,-1.996,0.0,-5.98,3.14,0.74,6.55,7.79,6.72,90.36,88.22,88.22,2.71,5.27
0.0490,-1.965,0.0,-7.52,3.40,1.31,7.97,9.82,8.23,89.92,87.83,87.83,3.08,5.71
0.0655,-1.906,0.0,-4.43,2.86,0.10,5.10,6.05,5.23,89.71,87.61,87.61,2.67,5.35
0.0820,-1.862,0.0,-4.84,2.93,0.24,5.48,6.55,5.62,89.54,87.43,87.43,2.72,5.42
0.0985,-1.794,0.0,-4.67,2.90,0.16,5.32,6.34,5.46,89.40,87.29,87.29,2.69,5.39
0.1150,-1.737,0.0,-6.14,3.15,0.71,6.68,8.22,6.87,89.11,87.02,87.02,2.97,5.64
0.1315,-1.667,0.0,-4.91,2.94,0.23,5.54,6.63,5.69,89.05,86.95,86.95,2.72,5.39
0.1480,-1.594,0.0,-6.22,3.17,0.71,6.77,8.29,6.96,88.82,86.72,86.72,2.94,5.60
0.1645,-1.533,0.0,-5.09,2.98,0.27,5.72,6.83,5.87,88.74,86.62,86.62,2.70,5.36
0.1810,-1.474,0.0,-6.46,3.22,0.75,7.00,8.51,7.19,88.57,86.46,86.46,2.89,5.54
0.1975,-1.408,0.0,-6.76,3.28,0.85,7.28,8.87,7.49,88.44,86.34,86.34,2.93,5.57
0.2140,-1.349,0.0,-5.34,3.03,0.32,5.96,7.08,6.10,88.34,86.22,86.22,2.68,5.33
0.2305,-1.305,0.0,-6.16,3.16,0.61,6.72,8.19,6.89,88.09,85.99,85.99,2.89,5.54
0.2470,-1.250,0.0,-6.26,3.18,0.63,6.81,8.31,6.99,87.96,85.86,85.86,2.91,5.55
0.2635,-1.191,0.0,-6.15,3.17,0.57,6.72,8.12,6.89,87.90,85.78,85.78,2.83,5.48
0.2800,-1.138,0.0,-5.56,3.06,0.36,6.16,7.43,6.31,87.74,85.63,85.63,2.78,5.43
0.2965,-1.080,0.0,-4.02,2.78,-0.19,4.72,5.53,4.85,87.64,85.55,85.55,2.58,5.22
0.3130,-1.017,0.0,-7.43,3.39,1.00,7.92,9.81,8.15,87.40,85.34,85.34,3.13,5.75
