run_id,scenario,label,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,1_LQR_pitch_step,evo_seed,2026-03-20 13:32:26,0.014168,0.03372,0.00025,28.734,,,,,,,,,0.8284,5.003,,,,0.132,5.0,,,,,,0.285293,PASS,
5,1_LQR_pitch_step,evo_g000000_c3,2026-03-20 13:32:26,0.05589,0.01162,4e-05,1172.671509,,,,,,,,,6.7334,43.3087,,,,0.12,2.26,,,,,,200.31819,FAIL,fell over
8,1_LQR_pitch_step,evo_g000000_c6,2026-03-20 13:32:26,0.097699,0.092924,0.005223,3.52781,,,,,,,,,8.5428,43.4202,,,,5.0,2.322,,,,,,200.534105,FAIL,fell over
4,1_LQR_pitch_step,evo_g000000_c2,2026-03-20 13:32:26,0.016516,0.003351,0.001182,10.580178,,,,,,,,,2.9469,6.0736,,,,4.12,5.0,,,,,,0.394978,PASS,
3,1_LQR_pitch_step,evo_g000000_c1,2026-03-20 13:32:26,0.008647,0.189379,0.006273,14.423842,,,,,,,,,4.8187,14.8165,,,,5.0,5.0,,,,,,0.504782,PASS,
6,1_LQR_pitch_step,evo_g000000_c4,2026-03-20 13:32:26,0.000868,0.085692,0.000101,4.504715,,,,,,,,,6.7735,41.8681,,,,2.674,5.0,,,,,,0.595114,PASS,
7,1_LQR_pitch_step,evo_g000000_c5,2026-03-20 13:32:26,0.003275,0.030839,0.003332,107.658224,,,,,,,,,1.1168,5.003,,,,0.114,5.0,,,,,,0.329493,PASS,
9,1_LQR_pitch_step,evo_g000000_c7,2026-03-20 13:32:26,1.476481,0.030796,0.000314,5.361353,,,,,,,,,2.0565,5.003,,,,1.046,5.0,,,,,,0.325734,PASS,
16,1_LQR_pitch_step,evo_g000001_c6,2026-03-20 13:32:26,0.00064,0.001,0.000569,30.080382,,,,,,,,,6.5634,43.0668,,,,0.466,2.214,,,,,,200.329319,FAIL,fell over
14,1_LQR_pitch_step,evo_g000001_c4,2026-03-20 13:32:26,0.029137,0.141138,5.6e-05,28.810576,,,,,,,,,7.0832,43.4506,,,,0.148,2.312,,,,,,200.307929,FAIL,fell over
