run_id,scenario,label,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,2_leg_height_gain_sched,evo_seed,2026-03-20 13:34:44,0.005848,0.00259,1.1e-05,1399.1494,,,,,,,,,1.7225,5.1891,,,,0.46,12.0,,,,,,0.616587,PASS,
6,2_leg_height_gain_sched,evo_g000000_c4,2026-03-20 13:34:45,0.001577,0.001,0.000121,1500.0,,,,,,,,,1.6663,5.2087,,,,0.462,12.0,,,,,,0.552397,PASS,
7,2_leg_height_gain_sched,evo_g000000_c5,2026-03-20 13:34:45,0.005881,0.001,5e-06,1500.0,,,,,,,,,1.689,5.1917,,,,0.454,12.0,,,,,,0.594974,PASS,
4,2_leg_height_gain_sched,evo_g000000_c2,2026-03-20 13:34:45,0.000154,0.008065,3e-06,452.741575,,,,,,,,,1.6662,5.1729,,,,0.456,12.0,,,,,,0.628857,PASS,
8,2_leg_height_gain_sched,evo_g000000_c6,2026-03-20 13:34:45,4.2e-05,0.002634,6e-06,1500.0,,,,,,,,,1.6586,5.3032,,,,0.458,12.0,,,,,,0.55148,PASS,
2,2_leg_height_gain_sched,evo_g000000_c0,2026-03-20 13:34:45,0.0029,0.012319,4e-06,245.265965,,,,,,,,,1.5944,5.2007,,,,0.46,12.0,,,,,,0.461984,PASS,
5,2_leg_height_gain_sched,evo_g000000_c3,2026-03-20 13:34:45,0.011808,0.033833,4e-06,1500.0,,,,,,,,,1.6901,5.123,,,,0.456,12.0,,,,,,0.546584,PASS,
3,2_leg_height_gain_sched,evo_g000000_c1,2026-03-20 13:34:45,0.111264,0.003109,0.003055,1500.0,,,,,,,,,1.671,5.3404,,,,0.462,12.0,,,,,,0.447721,PASS,
9,2_leg_height_gain_sched,evo_g000000_c7,2026-03-20 13:34:45,0.005269,0.001,2e-06,858.222442,,,,,,,,,1.7235,5.3288,,,,0.458,12.0,,,,,,0.416728,PASS,
17,2_leg_height_gain_sched,evo_g000001_c7,2026-03-20 13:34:45,0.023609,0.002375,1.9e-05,96.500831,,,,,,,,,1.7195,5.2178,,,,0.456,12.0,,,,,,0.585029,PASS,
10,2_leg_height_gain_sched,evo_g000001_c0,2026-03-20 13:34:45,0.033236,0.001857,1.4e-05,1500.0,,,,,,,,,1.6761,5.1346,,,,0.46,12.0,,,,,,0.520441,PASS,
11,2_leg_height_gain_sched,evo_g000001_c1,2026-03-20 13:34:45,0.030791,0.002456,6e-06,1500.0,,,,,,,,,1.8701,5.7544,,,,0.458,12.0,,,,,,0.545235,PASS,
14,2_leg_height_gain_sched,evo_g000001_c4,2026-03-20 13:34:45,0.013466,0.001037,1e-06,1500.0,,,,,,,,,1.7047,5.2048,,,,0.458,12.0,,,,,,0.595547,PASS,
15,2_leg_height_gain_sched,evo_g000001_c5,2026-03-20 13:34:45,0.010858,0.001791,2e-06,1328.730935,,,,,,,,,1.6547,5.1882,,,,0.46,12.0,,,,,,0.510276,PASS,
13,2_leg_height_gain_sched,evo_g000001_c3,2026-03-20 13:34:45,0.006306,0.064757,2e-06,344.590684,,,,,,,,,1.6819,5.1478,,,,0.456,12.0,,,,,,0.532353,PASS,
25,2_leg_height_gain_sched,evo_g000002_c7,2026-03-20 13:34:46,0.000903,0.001,3.3e-05,1500.0,,,,,,,,,1.6437,5.4437,,,,0.462,12.0,,,,,,0.548581,PASS,
21,2_leg_height_gain_sched,evo_g000002_c3,2026-03-20 13:34:46,9.1e-05,0.001617,4.2e-05,1500.0,,,,,,,,,1.7015,5.2433,,,,0.456,12.0,,,,,,0.597688,PASS,
24,2_leg_height_gain_sched,evo_g000002_c6,2026-03-20 13:34:46,0.007619,0.00137,8e-06,5.929937,,,,,,,,,1.9616,8.7357,,,,0.464,12.0,,,,,,0.595403,PASS,
20,2_leg_height_gain_sched,evo_g000002_c2,2026-03-20 13:34:46,0.000611,0.001,0.0,18.462464,,,,,,,,,1.6486,5.3214,,,,0.458,12.0,,,,,,0.556948,PASS,
28,2_leg_height_gain_sched,evo_g000003_c2,2026-03-20 13:34:47,0.000576,0.009369,0.0,345.149846,,,,,,,,,1.6805,5.2182,,,,0.456,12.0,,,,,,0.591635,PASS,
29,2_leg_height_gain_sched,evo_g000003_c3,2026-03-20 13:34:47,0.001633,0.001,4.5e-05,1500.0,,,,,,,,,1.7027,5.314,,,,0.458,12.0,,,,,,0.536383,PASS,
