run_id,scenario,label,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,3_VEL_PI_disturbance,evo_seed,2026-03-20 13:06:17,,,,,0.007518,0.021929,,,,,,,3.5328,5.4842,50.3282,,,,12.0,,,,,,4.194,PASS,
3,3_VEL_PI_disturbance,evo_g000000_c1,2026-03-20 13:06:18,,,,,0.002722,0.016595,,,,,,,1.8259,3.041,43.1946,,,,12.0,,,,,,3.5996,PASS,
2,3_VEL_PI_disturbance,evo_g000000_c0,2026-03-20 13:06:18,,,,,0.003669,0.009674,,,,,,,1.3933,2.7477,43.042,,,,12.0,,,,,,3.5868,PASS,
5,3_VEL_PI_disturbance,evo_g000000_c3,2026-03-20 13:06:18,,,,,0.008861,0.00686,,,,,,,2.3593,4.1263,48.1536,,,,12.0,,,,,,4.0128,PASS,
8,3_VEL_PI_disturbance,evo_g000000_c6,2026-03-20 13:06:18,,,,,0.001821,0.040102,,,,,,,3.4536,6.6486,37.4449,,,,12.0,,,,,,3.1204,PASS,
4,3_VEL_PI_disturbance,evo_g000000_c2,2026-03-20 13:06:18,,,,,0.005424,0.027625,,,,,,,3.1038,5.4231,36.6121,,,,12.0,,,,,,3.051,PASS,
6,3_VEL_PI_disturbance,evo_g000000_c4,2026-03-20 13:06:19,,,,,0.036304,0.003532,,,,,,,6.3705,12.4287,42.3679,,,,12.0,,,,,,3.5307,PASS,
9,3_VEL_PI_disturbance,evo_g000000_c7,2026-03-20 13:06:19,,,,,0.006144,0.049442,,,,,,,5.2452,8.2489,40.8052,,,,12.0,,,,,,3.4004,PASS,
7,3_VEL_PI_disturbance,evo_g000000_c5,2026-03-20 13:06:19,,,,,0.013121,0.02591,,,,,,,3.5398,7.6546,39.0129,,,,12.0,,,,,,3.2511,PASS,
14,3_VEL_PI_disturbance,evo_g000001_c4,2026-03-20 13:06:19,,,,,0.00284,0.060353,,,,,,,6.7604,43.0012,9.2633,,,,2.75,,,,,,17.4386,FAIL,fell over
13,3_VEL_PI_disturbance,evo_g000001_c3,2026-03-20 13:06:19,,,,,0.021125,0.022988,,,,,,,5.4954,10.0326,40.9403,,,,12.0,,,,,,3.4117,PASS,
10,3_VEL_PI_disturbance,evo_g000001_c0,2026-03-20 13:06:19,,,,,0.006276,0.35925,,,,,,,12.2549,16.2015,45.0197,,,,12.0,,,,,,3.7516,PASS,
