run_id,scenario,label,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,4_VEL_PI_staircase,evo_seed,2026-03-20 13:07:16,,,,,0.079912,0.115362,,,,,,,9.6443,15.3719,53.6301,10.08,4.7759,13.0,13.0,,,,,,15.2921,PASS,
4,4_VEL_PI_staircase,evo_g000000_c2,2026-03-20 13:07:18,,,,,1.811368,0.140925,,,,,,,10.8617,15.8086,52.1918,9.906,4.6372,13.0,13.0,,,,,,14.9978,PASS,
6,4_VEL_PI_staircase,evo_g000000_c4,2026-03-20 13:07:18,,,,,0.045303,0.228895,,,,,,,11.8138,17.0663,45.4571,9.676,4.134,13.0,13.0,,,,,,13.5834,PASS,
7,4_VEL_PI_staircase,evo_g000000_c5,2026-03-20 13:07:18,,,,,0.423615,0.027258,,,,,,,9.3373,15.6793,55.6301,10.26,4.8581,13.0,13.0,,,,,,15.508,PASS,
2,4_VEL_PI_staircase,evo_g000000_c0,2026-03-20 13:07:18,,,,,0.112391,0.071807,,,,,,,9.4257,15.3785,58.5457,10.388,5.0449,13.0,13.0,,,,,,16.0773,PASS,
3,4_VEL_PI_staircase,evo_g000000_c1,2026-03-20 13:07:18,,,,,0.096177,0.024126,,,,,,,8.4152,15.086,49.7195,9.24,4.5578,13.0,13.0,,,,,,14.5149,PASS,
5,4_VEL_PI_staircase,evo_g000000_c3,2026-03-20 13:07:18,,,,,0.280445,0.015204,,,,,,,8.4336,14.9812,43.4358,7.428,4.0053,13.0,13.0,,,,,,12.8593,PASS,
9,4_VEL_PI_staircase,evo_g000000_c7,2026-03-20 13:07:18,,,,,0.226574,0.053223,,,,,,,9.1137,15.2321,50.9039,9.876,4.4369,13.0,13.0,,,,,,14.2221,PASS,
8,4_VEL_PI_staircase,evo_g000000_c6,2026-03-20 13:07:18,,,,,0.018387,0.11559,,,,,,,9.7375,16.4694,42.362,10.07,3.9392,13.0,13.0,,,,,,12.7914,PASS,
10,4_VEL_PI_staircase,evo_g000001_c0,2026-03-20 13:07:19,,,,,0.005235,0.097745,,,,,,,8.0698,13.6243,43.0396,10.62,4.0885,6.74,13.0,,,,,,13.0725,PASS,
12,4_VEL_PI_staircase,evo_g000001_c2,2026-03-20 13:07:19,,,,,0.139944,0.105965,,,,,,,9.4369,15.4622,52.4247,9.82,4.5925,13.0,13.0,,,,,,14.7212,PASS,
13,4_VEL_PI_staircase,evo_g000001_c3,2026-03-20 13:07:19,,,,,0.00826,2.931148,,,,,,,14.3773,17.1028,42.8929,10.292,3.9226,13.0,13.0,,,,,,13.2055,PASS,
17,4_VEL_PI_staircase,evo_g000001_c7,2026-03-20 13:07:19,,,,,0.002332,0.395676,,,,,,,12.5206,16.9073,43.0245,10.204,4.0767,13.0,13.0,,,,,,13.4822,PASS,
11,4_VEL_PI_staircase,evo_g000001_c1,2026-03-20 13:07:19,,,,,0.0678,0.116545,,,,,,,10.293,15.7219,51.3977,10.154,4.5621,13.0,13.0,,,,,,14.7156,PASS,
15,4_VEL_PI_staircase,evo_g000001_c5,2026-03-20 13:07:19,,,,,0.047491,0.084288,,,,,,,9.0694,15.0723,42.9025,9.26,4.0462,13.0,13.0,,,,,,13.0455,PASS,
14,4_VEL_PI_staircase,evo_g000001_c4,2026-03-20 13:07:19,,,,,0.106741,0.270972,,,,,,,10.3121,16.0987,55.1557,10.024,4.9946,13.0,13.0,,,,,,16.015,PASS,
16,4_VEL_PI_staircase,evo_g000001_c6,2026-03-20 13:07:19,,,,,0.093132,0.0607,,,,,,,9.2177,15.4456,57.4172,10.154,4.9167,13.0,13.0,,,,,,15.6719,PASS,
20,4_VEL_PI_staircase,evo_g000002_c2,2026-03-20 13:07:20,,,,,0.07003,0.091698,,,,,,,9.2459,15.2475,47.5873,10.126,4.0896,13.0,13.0,,,,,,13.1934,PASS,
22,4_VEL_PI_staircase,evo_g000002_c4,2026-03-20 13:07:20,,,,,0.119298,0.317619,,,,,,,11.1605,15.6966,32.732,5.434,3.1295,13.0,13.0,,,,,,10.5046,PASS,
23,4_VEL_PI_staircase,evo_g000002_c5,2026-03-20 13:07:20,,,,,0.01054,0.067476,,,,,,,6.9088,11.4016,41.0451,10.61,3.823,13.0,13.0,,,,,,12.1599,PASS,
24,4_VEL_PI_staircase,evo_g000002_c6,2026-03-20 13:07:20,,,,,0.008369,0.127337,,,,,,,10.0109,16.7208,40.5692,10.308,3.8767,13.0,13.0,,,,,,12.6312,PASS,
25,4_VEL_PI_staircase,evo_g000002_c7,2026-03-20 13:07:20,,,,,0.027687,0.097346,,,,,,,8.204,15.2959,44.5551,9.712,4.0446,13.0,13.0,,,,,,12.9542,PASS,
19,4_VEL_PI_staircase,evo_g000002_c1,2026-03-20 13:07:20,,,,,0.013455,0.49534,,,,,,,13.3404,16.897,37.1855,10.108,3.5428,13.0,13.0,,,,,,11.9624,PASS,
21,4_VEL_PI_staircase,evo_g000002_c3,2026-03-20 13:07:20,,,,,0.001,0.010029,,,,,,,1.1579,2.6476,56.6492,9.848,5.1146,0.0,13.0,,,,,,15.4596,PASS,
18,4_VEL_PI_staircase,evo_g000002_c0,2026-03-20 13:07:20,,,,,0.061065,0.061127,,,,,,,9.4558,15.975,51.6603,10.142,4.5487,13.0,13.0,,,,,,14.5917,PASS,
29,4_VEL_PI_staircase,evo_g000003_c3,2026-03-20 13:07:20,,,,,0.095004,0.079906,,,,,,,9.4616,15.3696,53.3307,10.578,4.6846,13.0,13.0,,,,,,15.0,PASS,
32,4_VEL_PI_staircase,evo_g000003_c6,2026-03-20 13:07:20,,,,,0.02222,1.023507,,,,,,,13.3309,16.9212,42.2585,10.04,3.9312,13.0,13.0,,,,,,13.1267,PASS,
31,4_VEL_PI_staircase,evo_g000003_c5,2026-03-20 13:07:20,,,,,0.060736,0.173913,,,,,,,11.491,16.4968,47.066,9.556,4.3716,13.0,13.0,,,,,,14.2639,PASS,
