run_id,scenario,label,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,6_YAW_PI_turn,evo_seed,2026-03-20 13:09:19,,,,,,,19.927171,6.939593,,,,,13.0627,17.7245,23.2094,5.09,3.0683,8.0,8.0,,,,,,2.5849,PASS,
3,6_YAW_PI_turn,evo_g000000_c1,2026-03-20 13:09:20,,,,,,,5.990733,0.996078,,,,,13.526,43.048,18.3127,4.16,4.2074,8.0,4.678,,,,,,206.7619,FAIL,fell over
2,6_YAW_PI_turn,evo_g000000_c0,2026-03-20 13:09:20,,,,,,,20.0,3.480447,,,,,13.6338,16.2547,20.6813,5.082,3.3551,8.0,8.0,,,,,,2.351,PASS,
6,6_YAW_PI_turn,evo_g000000_c4,2026-03-20 13:09:20,,,,,,,7.698813,10.0,,,,,13.9882,17.8293,24.5257,5.708,3.4078,8.0,8.0,,,,,,3.0455,PASS,
5,6_YAW_PI_turn,evo_g000000_c3,2026-03-20 13:09:20,,,,,,,7.242037,10.0,,,,,13.9516,16.7133,22.5728,5.594,2.9947,8.0,8.0,,,,,,2.2973,PASS,
9,6_YAW_PI_turn,evo_g000000_c7,2026-03-20 13:09:20,,,,,,,20.0,10.0,,,,,14.2443,43.1494,27.5234,5.926,5.6193,8.0,7.002,,,,,,204.3311,FAIL,fell over
7,6_YAW_PI_turn,evo_g000000_c5,2026-03-20 13:09:20,,,,,,,20.0,9.006875,,,,,12.1942,16.5242,19.5182,4.502,3.0964,8.0,8.0,,,,,,2.3156,PASS,
4,6_YAW_PI_turn,evo_g000000_c2,2026-03-20 13:09:20,,,,,,,7.539644,10.0,,,,,13.9229,17.2519,24.6849,4.416,3.4782,8.0,8.0,,,,,,2.8251,PASS,
8,6_YAW_PI_turn,evo_g000000_c6,2026-03-20 13:09:20,,,,,,,20.0,3.108896,,,,,13.7671,16.5267,16.0877,3.408,2.5068,8.0,8.0,,,,,,2.1708,PASS,
17,6_YAW_PI_turn,evo_g000001_c7,2026-03-20 13:09:20,,,,,,,8.796399,1.173581,,,,,13.2041,42.9342,12.8121,3.026,3.7525,8.0,3.532,,,,,,204.5778,FAIL,fell over
14,6_YAW_PI_turn,evo_g000001_c4,2026-03-20 13:09:20,,,,,,,9.708675,3.287133,,,,,14.4732,43.2263,21.199,5.426,4.2241,8.0,6.634,,,,,,203.1945,FAIL,fell over
13,6_YAW_PI_turn,evo_g000001_c3,2026-03-20 13:09:21,,,,,,,18.484614,3.78801,,,,,14.1378,16.1769,14.2812,3.614,2.1816,8.0,8.0,,,,,,2.3204,PASS,
12,6_YAW_PI_turn,evo_g000001_c2,2026-03-20 13:09:21,,,,,,,11.84792,10.0,,,,,13.2894,18.0249,22.5166,6.996,3.2654,8.0,8.0,,,,,,2.8646,PASS,
11,6_YAW_PI_turn,evo_g000001_c1,2026-03-20 13:09:21,,,,,,,18.44748,10.0,,,,,14.7198,16.9069,15.2418,4.342,2.4662,8.0,8.0,,,,,,2.5757,PASS,
10,6_YAW_PI_turn,evo_g000001_c0,2026-03-20 13:09:21,,,,,,,10.326202,2.865256,,,,,14.137,16.3813,17.8348,4.346,2.6744,8.0,8.0,,,,,,2.599,PASS,
16,6_YAW_PI_turn,evo_g000001_c6,2026-03-20 13:09:21,,,,,,,5.475447,10.0,,,,,14.1442,19.3918,23.9626,6.078,3.0141,8.0,8.0,,,,,,4.9961,PASS,
15,6_YAW_PI_turn,evo_g000001_c5,2026-03-20 13:09:21,,,,,,,20.0,1.575457,,,,,13.3083,15.4815,14.6371,2.78,2.3089,8.0,8.0,,,,,,2.4111,PASS,
18,6_YAW_PI_turn,evo_g000002_c0,2026-03-20 13:09:21,,,,,,,10.9847,1.801768,,,,,14.1426,42.7015,16.6677,5.212,3.926,8.0,6.062,,,,,,207.2139,FAIL,fell over
21,6_YAW_PI_turn,evo_g000002_c3,2026-03-20 13:09:21,,,,,,,20.0,10.0,,,,,14.0982,17.7644,19.5498,5.718,3.0977,8.0,8.0,,,,,,4.711,PASS,
25,6_YAW_PI_turn,evo_g000002_c7,2026-03-20 13:09:21,,,,,,,16.523688,10.0,,,,,14.0922,16.0444,18.1457,3.352,2.3209,8.0,8.0,,,,,,2.1682,PASS,
20,6_YAW_PI_turn,evo_g000002_c2,2026-03-20 13:09:21,,,,,,,10.936061,8.730686,,,,,14.2169,17.1507,18.2483,4.77,2.4851,8.0,8.0,,,,,,3.1791,PASS,
22,6_YAW_PI_turn,evo_g000002_c4,2026-03-20 13:09:21,,,,,,,5.022371,9.425829,,,,,13.8057,17.0503,30.1888,6.53,4.8082,8.0,8.0,,,,,,4.7343,PASS,
19,6_YAW_PI_turn,evo_g000002_c1,2026-03-20 13:09:21,,,,,,,20.0,0.473997,,,,,14.0846,19.4075,22.1331,5.378,3.6201,8.0,8.0,,,,,,3.0123,PASS,
24,6_YAW_PI_turn,evo_g000002_c6,2026-03-20 13:09:21,,,,,,,6.45983,1.372316,,,,,13.6391,20.2191,25.9546,6.434,3.8895,8.0,8.0,,,,,,3.1564,PASS,
23,6_YAW_PI_turn,evo_g000002_c5,2026-03-20 13:09:21,,,,,,,20.0,10.0,,,,,12.2763,16.5283,22.6448,6.34,3.4793,8.0,8.0,,,,,,2.2911,PASS,
29,6_YAW_PI_turn,evo_g000003_c3,2026-03-20 13:09:22,,,,,,,6.932505,10.0,,,,,13.8737,16.7788,27.4104,6.566,4.1037,8.0,8.0,,,,,,3.815,PASS,
30,6_YAW_PI_turn,evo_g000003_c4,2026-03-20 13:09:22,,,,,,,8.707017,5.139608,,,,,14.0518,16.7792,21.9449,4.38,3.9925,8.0,8.0,,,,,,2.931,PASS,
33,6_YAW_PI_turn,evo_g000003_c7,2026-03-20 13:09:22,,,,,,,11.922159,0.838318,,,,,14.3289,16.5411,20.1025,4.736,3.1649,8.0,8.0,,,,,,2.6671,PASS,
28,6_YAW_PI_turn,evo_g000003_c2,2026-03-20 13:09:22,,,,,,,8.321739,10.0,,,,,14.5437,19.5335,18.1912,4.02,2.7084,8.0,8.0,,,,,,2.7966,PASS,
