run_id,scenario,label,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,7_DRIVE_TURN,evo_seed,2026-03-20 13:10:20,,,,,,,13.710218,3.762847,,,,,14.0168,15.8345,15.3607,3.392,2.3107,8.0,8.0,,,,,,5.2117,PASS,
6,7_DRIVE_TURN,evo_g000000_c4,2026-03-20 13:10:20,,,,,,,12.243369,9.195006,,,,,13.9101,16.3498,17.6341,4.484,2.7271,8.0,8.0,,,,,,5.9045,PASS,
4,7_DRIVE_TURN,evo_g000000_c2,2026-03-20 13:10:20,,,,,,,20.0,0.870818,,,,,13.8901,16.0129,17.5505,4.836,2.8738,8.0,8.0,,,,,,6.1796,PASS,
5,7_DRIVE_TURN,evo_g000000_c3,2026-03-20 13:10:20,,,,,,,20.0,1.820887,,,,,14.2073,16.2667,21.7851,4.742,3.513,8.0,8.0,,,,,,7.2617,PASS,
2,7_DRIVE_TURN,evo_g000000_c0,2026-03-20 13:10:21,,,,,,,20.0,2.06424,,,,,13.8402,15.846,14.0532,3.274,2.2746,8.0,8.0,,,,,,5.1454,PASS,
7,7_DRIVE_TURN,evo_g000000_c5,2026-03-20 13:10:21,,,,,,,20.0,3.591384,,,,,13.835,17.2003,20.6533,5.852,3.0887,8.0,8.0,,,,,,6.6773,PASS,
8,7_DRIVE_TURN,evo_g000000_c6,2026-03-20 13:10:21,,,,,,,3.634004,10.0,,,,,13.866,17.1364,21.4635,5.94,3.4061,8.0,8.0,,,,,,7.0668,PASS,
3,7_DRIVE_TURN,evo_g000000_c1,2026-03-20 13:10:21,,,,,,,18.927055,1.521388,,,,,13.5864,16.0683,18.3419,4.18,2.8574,8.0,8.0,,,,,,6.1318,PASS,
9,7_DRIVE_TURN,evo_g000000_c7,2026-03-20 13:10:21,,,,,,,20.0,2.098207,,,,,13.4841,16.8077,17.5965,4.58,2.719,8.0,8.0,,,,,,5.9221,PASS,
15,7_DRIVE_TURN,evo_g000001_c5,2026-03-20 13:10:21,,,,,,,20.0,0.992561,,,,,13.7756,15.6239,20.9109,4.724,3.4263,8.0,8.0,,,,,,7.0395,PASS,
