run_id,scenario,label,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,8_terrain_compliance,evo_seed,2026-03-20 13:11:20,,,,,,,,,0.104553,1.208635,18.472252,0.09199,,,,,,,,,,,,,397.7074,FAIL,
3,8_terrain_compliance,evo_g000000_c1,2026-03-20 13:11:20,,,,,,,,,0.1,4.368888,13.923054,0.100764,,,,,,,,,,,,,400.1642,FAIL,
2,8_terrain_compliance,evo_g000000_c0,2026-03-20 13:11:20,,,,,,,,,0.1,0.622122,3.250786,0.119945,,,,,,,,,,,,,398.1948,FAIL,
4,8_terrain_compliance,evo_g000000_c2,2026-03-20 13:11:20,,,,,,,,,0.1,1.234737,11.502684,0.171447,,,,,,,,,,,,,399.1871,FAIL,
9,8_terrain_compliance,evo_g000000_c7,2026-03-20 13:11:20,,,,,,,,,0.117752,0.540317,16.111965,0.187222,,,,,,,,,,,,,395.9158,FAIL,
8,8_terrain_compliance,evo_g000000_c6,2026-03-20 13:11:20,,,,,,,,,0.1,1.382214,20.0,0.175654,,,,,,,,,,,,,398.0932,FAIL,
6,8_terrain_compliance,evo_g000000_c4,2026-03-20 13:11:20,,,,,,,,,0.215994,5.134149,2.96909,0.119037,,,,,,,,,,,,,393.6496,FAIL,
5,8_terrain_compliance,evo_g000000_c3,2026-03-20 13:11:21,,,,,,,,,0.526539,1.714754,18.113674,0.033797,,,,,,,,,,,,,191.9111,PASS,
7,8_terrain_compliance,evo_g000000_c5,2026-03-20 13:11:21,,,,,,,,,0.253044,5.51131,4.751272,0.090663,,,,,,,,,,,,,21.4685,PASS,
14,8_terrain_compliance,evo_g000001_c4,2026-03-20 13:11:21,,,,,,,,,0.123505,8.936625,6.941366,0.061161,,,,,,,,,,,,,405.5752,FAIL,
15,8_terrain_compliance,evo_g000001_c5,2026-03-20 13:11:21,,,,,,,,,0.113159,6.572365,3.977659,0.043367,,,,,,,,,,,,,405.5635,FAIL,
16,8_terrain_compliance,evo_g000001_c6,2026-03-20 13:11:21,,,,,,,,,0.526563,1.828297,1.024477,0.092342,,,,,,,,,,,,,397.2337,FAIL,
17,8_terrain_compliance,evo_g000001_c7,2026-03-20 13:11:22,,,,,,,,,0.323744,20.085362,1.900285,0.054679,,,,,,,,,,,,,22.8329,PASS,
12,8_terrain_compliance,evo_g000001_c2,2026-03-20 13:11:22,,,,,,,,,0.240759,17.264836,3.497411,0.120314,,,,,,,,,,,,,29.6406,PASS,
10,8_terrain_compliance,evo_g000001_c0,2026-03-20 13:11:22,,,,,,,,,0.161137,13.155432,1.546942,0.059542,,,,,,,,,,,,,30.1237,PASS,
11,8_terrain_compliance,evo_g000001_c1,2026-03-20 13:11:22,,,,,,,,,0.26901,3.402403,4.635487,0.045019,,,,,,,,,,,,,18.6526,PASS,
13,8_terrain_compliance,evo_g000001_c3,2026-03-20 13:11:22,,,,,,,,,0.142382,21.999662,2.781786,0.02583,,,,,,,,,,,,,22.5245,PASS,
23,8_terrain_compliance,evo_g000002_c5,2026-03-20 13:11:22,,,,,,,,,0.295915,8.419778,5.194628,0.24114,,,,,,,,,,,,,404.5307,FAIL,
25,8_terrain_compliance,evo_g000002_c7,2026-03-20 13:11:22,,,,,,,,,0.316249,13.316507,1.466707,0.026703,,,,,,,,,,,,,401.3856,FAIL,
24,8_terrain_compliance,evo_g000002_c6,2026-03-20 13:11:22,,,,,,,,,0.1,6.404036,11.781714,0.045768,,,,,,,,,,,,,401.4806,FAIL,
22,8_terrain_compliance,evo_g000002_c4,2026-03-20 13:11:22,,,,,,,,,0.250651,0.725715,2.206275,0.034529,,,,,,,,,,,,,399.7129,FAIL,
19,8_terrain_compliance,evo_g000002_c1,2026-03-20 13:11:22,,,,,,,,,0.638601,0.702691,3.586376,0.044297,,,,,,,,,,,,,397.2087,FAIL,
18,8_terrain_compliance,evo_g000002_c0,2026-03-20 13:11:22,,,,,,,,,0.530697,1.426629,3.651379,0.005785,,,,,,,,,,,,,398.2775,FAIL,
21,8_terrain_compliance,evo_g000002_c3,2026-03-20 13:11:22,,,,,,,,,0.356726,3.100849,2.683458,0.057312,,,,,,,,,,,,,15.3208,PASS,
20,8_terrain_compliance,evo_g000002_c2,2026-03-20 13:11:22,,,,,,,,,4.354826,1.138077,7.109094,0.029117,,,,,,,,,,,,,22.7373,PASS,
32,8_terrain_compliance,evo_g000003_c6,2026-03-20 13:11:23,,,,,,,,,1.487416,8.073481,4.476874,0.035756,,,,,,,,,,,,,406.9555,FAIL,
31,8_terrain_compliance,evo_g000003_c5,2026-03-20 13:11:23,,,,,,,,,0.210158,1.724803,2.699728,0.053395,,,,,,,,,,,,,401.1815,FAIL,
27,8_terrain_compliance,evo_g000003_c1,2026-03-20 13:11:23,,,,,,,,,0.442842,1.840432,3.869905,0.106737,,,,,,,,,,,,,404.263,FAIL,
28,8_terrain_compliance,evo_g000003_c2,2026-03-20 13:11:23,,,,,,,,,0.373638,2.85066,2.29412,0.020655,,,,,,,,,,,,,398.3436,FAIL,
33,8_terrain_compliance,evo_g000003_c7,2026-03-20 13:11:23,,,,,,,,,0.103344,1.136425,0.394805,0.141576,,,,,,,,,,,,,398.6985,FAIL,
29,8_terrain_compliance,evo_g000003_c3,2026-03-20 13:11:23,,,,,,,,,2.297927,1.806405,3.909699,0.016723,,,,,,,,,,,,,353.7842,FAIL,
30,8_terrain_compliance,evo_g000003_c4,2026-03-20 13:11:23,,,,,,,,,0.225823,11.99311,1.227304,0.037132,,,,,,,,,,,,,394.0748,FAIL,
26,8_terrain_compliance,evo_g000003_c0,2026-03-20 13:11:23,,,,,,,,,0.275576,12.307004,1.091856,0.210228,,,,,,,,,,,,,32.6859,PASS,
39,8_terrain_compliance,evo_g000004_c5,2026-03-20 13:11:23,,,,,,,,,0.135566,1.830747,4.267038,1.873792,,,,,,,,,,,,,401.0197,FAIL,
35,8_terrain_compliance,evo_g000004_c1,2026-03-20 13:11:23,,,,,,,,,0.1,8.578432,19.78054,0.102492,,,,,,,,,,,,,396.059,FAIL,
38,8_terrain_compliance,evo_g000004_c4,2026-03-20 13:11:23,,,,,,,,,0.1,3.298313,2.210718,0.055983,,,,,,,,,,,,,399.983,FAIL,
