run_id,scenario,label,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,2_VEL_PI_disturbance,evo_seed,2026-03-19 17:18:27,,,,,0.01,0.001,2.4881,7.8599,23.7007,3.336,3.1456,0.482,13.0,,,,,,36.0722,PASS,
3,2_VEL_PI_disturbance,evo_g000000_c1,2026-03-19 17:18:29,,,,,0.023497,0.01,3.4286,10.3825,19.3257,3.036,2.7275,0.484,13.0,,,,,,32.9386,PASS,
5,2_VEL_PI_disturbance,evo_g000000_c3,2026-03-19 17:18:29,,,,,0.01,0.01,2.5863,7.4909,19.8052,3.42,2.7283,0.452,13.0,,,,,,31.1841,PASS,
4,2_VEL_PI_disturbance,evo_g000000_c2,2026-03-19 17:18:29,,,,,0.01,0.01,2.7373,6.7087,22.1438,3.83,2.9875,0.462,13.0,,,,,,34.0736,PASS,
2,2_VEL_PI_disturbance,evo_g000000_c0,2026-03-19 17:18:29,,,,,0.011976,0.01,2.5953,6.7662,18.5748,3.502,2.3903,0.498,13.0,,,,,,30.44,PASS,
8,2_VEL_PI_disturbance,evo_g000000_c6,2026-03-19 17:18:29,,,,,0.01,0.01,2.5504,6.6394,21.5617,3.462,3.0055,0.456,13.0,,,,,,33.9337,PASS,
9,2_VEL_PI_disturbance,evo_g000000_c7,2026-03-19 17:18:29,,,,,0.01,0.01,2.6191,6.6905,20.6085,3.178,2.7052,0.46,13.0,,,,,,28.0483,PASS,
7,2_VEL_PI_disturbance,evo_g000000_c5,2026-03-19 17:18:29,,,,,0.01,0.01,2.4775,7.0111,18.9701,3.924,2.5211,0.464,13.0,,,,,,29.6364,PASS,
6,2_VEL_PI_disturbance,evo_g000000_c4,2026-03-19 17:18:29,,,,,0.013615,0.01,2.8901,8.1191,20.6574,3.468,2.7524,0.474,13.0,,,,,,32.7942,PASS,
12,2_VEL_PI_disturbance,evo_g000001_c2,2026-03-19 17:18:30,,,,,0.01,0.038995,3.8806,8.6877,17.3103,3.44,2.3928,0.412,13.0,,,,,,29.1667,PASS,
10,2_VEL_PI_disturbance,evo_g000001_c0,2026-03-19 17:18:30,,,,,0.012173,0.02203,3.0339,8.925,17.7539,3.464,2.4336,0.456,13.0,,,,,,29.9464,PASS,
16,2_VEL_PI_disturbance,evo_g000001_c6,2026-03-19 17:18:30,,,,,0.01,0.018747,3.2526,9.6578,20.6658,3.84,2.9049,0.438,13.0,,,,,,31.405,PASS,
17,2_VEL_PI_disturbance,evo_g000001_c7,2026-03-19 17:18:30,,,,,0.041327,0.01,4.9809,14.8453,18.3299,2.98,2.6861,0.526,13.0,,,,,,31.064,PASS,
15,2_VEL_PI_disturbance,evo_g000001_c5,2026-03-19 17:18:30,,,,,0.023375,0.059722,4.836,12.8567,17.66,3.908,2.2656,0.546,13.0,,,,,,27.0742,PASS,
11,2_VEL_PI_disturbance,evo_g000001_c1,2026-03-19 17:18:30,,,,,0.019158,0.018364,3.1944,10.5245,16.0847,3.96,2.2236,0.456,13.0,,,,,,28.4742,PASS,
14,2_VEL_PI_disturbance,evo_g000001_c4,2026-03-19 17:18:30,,,,,0.01,0.01,2.4149,5.901,19.1081,3.67,2.4858,0.492,13.0,,,,,,28.3417,PASS,
13,2_VEL_PI_disturbance,evo_g000001_c3,2026-03-19 17:18:30,,,,,0.049815,0.01,5.2377,17.1117,17.6566,2.878,2.5547,0.46,13.0,,,,,,26.4583,PASS,
23,2_VEL_PI_disturbance,evo_g000002_c5,2026-03-19 17:18:31,,,,,0.192692,0.010198,5.33,14.9135,20.7683,3.67,2.9196,0.116,13.0,,,,,,35.6556,PASS,
19,2_VEL_PI_disturbance,evo_g000002_c1,2026-03-19 17:18:31,,,,,0.17841,0.020558,5.9358,16.5755,18.3283,3.982,2.4657,0.11,13.0,,,,,,29.0695,PASS,
18,2_VEL_PI_disturbance,evo_g000002_c0,2026-03-19 17:18:31,,,,,0.044536,0.010673,4.5426,13.1389,19.9539,3.194,3.0744,0.498,13.0,,,,,,33.1491,PASS,
22,2_VEL_PI_disturbance,evo_g000002_c4,2026-03-19 17:18:31,,,,,0.014014,0.014346,2.9372,9.0102,18.0261,3.536,2.3956,0.448,13.0,,,,,,28.6463,PASS,
20,2_VEL_PI_disturbance,evo_g000002_c2,2026-03-19 17:18:31,,,,,0.018853,0.020035,3.4531,9.5965,19.9485,3.284,2.8522,0.416,13.0,,,,,,31.7821,PASS,
24,2_VEL_PI_disturbance,evo_g000002_c6,2026-03-19 17:18:31,,,,,0.020794,0.04382,5.698,16.3822,22.1175,3.396,3.3211,0.628,13.0,,,,,,37.3019,PASS,
