time_s,pitch_deg,height_mm,fax_fem_N,flat_fem_N,fax_tib_N,flat_tib_N,fax_cpl_N,fbear_A_N,fbear_C_N,fbear_E_N,fbear_F_N,fbear_W_N,grf_L_N
0.0160,-1.997,0.0,-9.96,4.32,1.92,10.51,12.08,10.83,107.36,104.71,104.71,2.88,6.77
0.0490,-1.940,0.0,-6.04,3.55,0.42,6.86,6.99,6.96,106.90,104.28,104.28,2.39,6.26
0.0655,-1.877,0.0,-9.43,4.21,1.60,10.02,11.61,10.30,106.19,103.57,103.57,2.98,7.03
0.0820,-1.823,0.0,-9.84,4.31,1.70,10.43,11.95,10.71,106.25,103.59,103.59,2.87,6.94
0.0985,-1.744,0.0,-7.25,3.79,0.77,7.99,8.69,8.14,105.85,103.22,103.22,2.57,6.60
0.1150,-1.657,0.0,-9.82,4.30,1.63,10.41,12.11,10.70,105.42,102.80,102.80,3.03,7.07
0.1315,-1.578,0.0,-9.11,4.16,1.35,9.75,11.05,9.98,105.31,102.66,102.66,2.77,6.83
0.1480,-1.490,0.0,-5.73,3.49,0.18,6.57,6.60,6.67,105.23,102.63,102.63,2.37,6.21
0.1645,-1.400,0.0,-9.64,4.26,1.47,10.24,11.96,10.51,104.50,101.90,101.90,3.06,7.08
0.1810,-1.326,0.0,-9.79,4.31,1.48,10.42,11.92,10.67,104.59,101.94,101.94,2.86,6.88
0.1975,-1.239,0.0,-8.63,4.06,1.07,9.31,10.53,9.51,104.24,101.61,101.61,2.77,6.79
0.2140,-1.155,0.0,-10.73,4.49,1.73,11.30,13.39,11.61,103.73,101.16,101.16,3.29,7.24
0.2305,-1.074,0.0,-10.50,4.45,1.63,11.08,13.13,11.38,103.49,100.93,100.93,3.29,7.24
0.2470,-1.008,0.0,-11.20,4.61,1.81,11.79,13.76,12.09,103.63,101.04,101.04,3.13,7.09
0.2635,-0.932,0.0,-8.17,3.97,0.83,8.89,9.87,9.06,103.28,100.65,100.65,2.63,6.64
0.2800,-0.855,0.0,-9.87,4.33,1.33,10.51,12.10,10.75,103.16,100.55,100.55,2.94,6.94
0.2965,-0.796,0.0,-6.94,3.72,0.41,7.71,8.33,7.84,102.95,100.34,100.34,2.52,6.49
0.3130,-0.726,0.0,-10.78,4.52,1.57,11.39,13.36,11.67,102.63,100.06,100.06,3.18,7.14
0.3295,-0.674,0.0,-11.18,4.60,1.66,11.78,13.85,12.07,102.48,99.92,99.92,3.24,7.18
0.3460,-0.610,0.0,-10.27,4.40,1.37,10.89,12.83,11.15,102.13,99.56,99.56,3.20,7.17
0.3625,-0.550,0.0,-9.05,4.15,0.97,9.73,11.09,9.93,102.17,99.56,99.56,2.82,6.84
0.3790,-0.487,0.0,-9.10,4.17,0.97,9.80,11.07,9.99,102.11,99.48,99.48,2.74,6.76
0.3955,-0.424,0.0,-10.09,4.38,1.24,10.74,12.44,10.97,101.89,99.29,99.29,3.01,7.00
0.4120,-0.370,0.0,-7.27,3.79,0.40,8.04,8.78,8.17,101.79,99.19,99.19,2.55,6.54
0.4285,-0.326,0.0,-10.23,4.40,1.24,10.87,12.74,11.12,101.38,98.81,98.81,3.15,7.12
0.4450,-0.271,0.0,-8.19,3.98,0.63,8.92,9.98,9.08,101.41,98.80,98.80,2.67,6.69
0.4615,-0.220,0.0,-7.69,3.87,0.47,8.44,9.22,8.58,101.53,98.91,98.91,2.52,6.52
0.4780,-0.167,0.0,-3.92,3.07,-0.61,4.82,4.38,4.93,101.37,98.94,98.94,2.41,6.07
0.4945,-0.129,0.0,-8.49,4.04,0.67,9.21,10.38,9.37,100.94,98.33,98.33,2.72,6.74
0.5110,-0.096,0.0,-7.40,3.81,0.35,8.16,8.90,8.30,100.96,98.36,98.36,2.52,6.51
0.5275,-0.047,0.0,-7.41,3.80,0.35,8.17,9.04,8.31,100.64,98.05,98.05,2.62,6.62
0.5440,0.003,0.0,-6.23,3.55,0.01,7.03,7.39,7.14,100.67,98.12,98.12,2.43,6.34
0.5605,0.045,0.0,-6.40,3.59,0.04,7.20,7.63,7.31,100.63,98.06,98.06,2.44,6.37
0.5770,0.068,0.0,-9.19,4.18,0.80,9.88,11.40,10.08,100.25,97.67,97.67,2.93,6.94
0.5935,0.093,0.0,-7.06,3.73,0.21,7.82,8.57,7.95,100.25,97.68,97.68,2.57,6.56
0.6100,0.133,0.0,-8.72,4.08,0.65,9.43,10.76,9.60,100.08,97.50,97.50,2.82,6.84
0.6265,0.161,0.0,-7.23,3.76,0.24,7.99,8.74,8.12,100.04,97.46,97.46,2.54,6.53
0.6430,0.189,0.0,-7.08,3.73,0.18,7.85,8.57,7.97,100.05,97.48,97.48,2.54,6.53
0.6595,0.223,0.0,-7.65,3.86,0.33,8.41,9.23,8.54,100.04,97.44,97.44,2.54,6.54
0.6760,0.248,0.0,-11.64,4.72,1.38,12.27,14.53,12.54,99.76,97.26,97.26,3.39,7.28
0.6925,0.290,0.0,-8.63,4.07,0.57,9.35,10.66,9.52,99.65,97.07,97.07,2.82,6.84
0.7090,0.325,0.0,-8.03,3.93,0.41,8.75,10.02,8.91,99.21,96.66,96.66,2.85,6.86
0.7255,0.335,0.0,-8.57,4.05,0.54,9.29,10.60,9.45,99.47,96.90,96.90,2.82,6.84
0.7420,0.352,0.0,-9.39,4.23,0.75,10.09,11.64,10.28,99.37,96.80,96.80,2.94,6.94
0.7585,0.368,0.0,-8.14,3.96,0.41,8.88,9.97,9.03,99.35,96.77,96.77,2.69,6.70
0.7750,0.395,0.0,-8.12,3.95,0.40,8.85,10.03,9.01,99.17,96.60,96.60,2.75,6.77
0.7915,0.426,0.0,-8.09,3.95,0.38,8.83,9.99,8.98,99.12,96.55,96.55,2.74,6.76
0.8080,0.443,0.0,-7.07,3.73,0.11,7.84,8.55,7.97,99.25,96.69,96.69,2.52,6.50
0.8245,0.466,0.0,-10.15,4.40,0.90,10.83,12.72,11.05,98.88,96.34,96.34,3.17,7.14
0.8410,0.485,0.0,-7.79,3.88,0.28,8.54,9.56,8.68,99.00,96.43,96.43,2.66,6.68
0.8575,0.499,0.0,-6.53,3.61,-0.04,7.32,7.87,7.44,99.03,96.48,96.48,2.48,6.43
0.8740,0.528,0.0,-7.86,3.90,0.29,8.60,9.63,8.75,98.90,96.33,96.33,2.66,6.67
