run_id,scenario,label,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,1_LQR_pitch_step,,2026-03-20 11:05:25,,,,,,,,,,,,,9.3106,43.3667,,,,0.514,2.512,,,,,,200.286156,FAIL,fell over
1,1_LQR_pitch_step,,2026-03-20 11:05:25,0.014168,0.03372,0.00025,28.734,,,,,,,,,9.3106,43.3667,,,,0.514,2.512,,,,,,200.286156,FAIL,fell over
2,1_LQR_pitch_step,,2026-03-20 11:05:26,,,,,,,,,,,,,6.5655,43.51,,,,0.204,2.258,,,,,,200.321503,FAIL,fell over
2,1_LQR_pitch_step,,2026-03-20 11:05:26,0.018182,0.339693,1e-06,1.655878,,,,,,,,,6.5655,43.51,,,,0.204,2.258,,,,,,200.321503,FAIL,fell over
3,1_LQR_pitch_step,,2026-03-20 11:05:26,,,,,,,,,,,,,10.2943,43.5827,,,,5.0,2.272,,,,,,200.55367,FAIL,fell over
3,1_LQR_pitch_step,,2026-03-20 11:05:26,0.135607,0.304588,0.075028,30.408806,,,,,,,,,10.2943,43.5827,,,,5.0,2.272,,,,,,200.55367,FAIL,fell over
4,1_LQR_pitch_step,,2026-03-20 11:05:26,,,,,,,,,,,,,6.8744,43.5777,,,,0.146,2.29,,,,,,200.326733,FAIL,fell over
4,1_LQR_pitch_step,,2026-03-20 11:05:26,0.099724,0.349453,0.000981,345.611053,,,,,,,,,6.8744,43.5777,,,,0.146,2.29,,,,,,200.326733,FAIL,fell over
5,1_LQR_pitch_step,,2026-03-20 11:05:26,,,,,,,,,,,,,6.5183,43.3036,,,,0.496,2.272,,,,,,200.343741,FAIL,fell over
5,1_LQR_pitch_step,,2026-03-20 11:05:26,0.001923,0.002991,0.000604,10.719899,,,,,,,,,6.5183,43.3036,,,,0.496,2.272,,,,,,200.343741,FAIL,fell over
6,1_LQR_pitch_step,,2026-03-20 11:05:26,,,,,,,,,,,,,5.0118,9.271,,,,5.0,5.0,,,,,,0.463923,PASS,
6,1_LQR_pitch_step,,2026-03-20 11:05:26,0.004452,0.018332,0.000184,0.348355,,,,,,,,,5.0118,9.271,,,,5.0,5.0,,,,,,0.463923,PASS,
7,1_LQR_pitch_step,,2026-03-20 11:05:26,,,,,,,,,,,,,2.1868,8.2868,,,,0.556,5.0,,,,,,0.32812,PASS,
7,1_LQR_pitch_step,,2026-03-20 11:05:26,0.123326,0.006272,0.00097,19.796956,,,,,,,,,2.1868,8.2868,,,,0.556,5.0,,,,,,0.32812,PASS,
8,1_LQR_pitch_step,,2026-03-20 11:05:26,,,,,,,,,,,,,3.6174,7.0377,,,,1.444,5.0,,,,,,0.346955,PASS,
8,1_LQR_pitch_step,,2026-03-20 11:05:26,0.000207,0.156705,0.000128,0.888271,,,,,,,,,3.6174,7.0377,,,,1.444,5.0,,,,,,0.346955,PASS,
9,1_LQR_pitch_step,,2026-03-20 11:05:26,,,,,,,,,,,,,3.5918,8.7514,,,,5.0,5.0,,,,,,0.388874,PASS,
9,1_LQR_pitch_step,,2026-03-20 11:05:26,0.001009,0.161608,8.4e-05,0.424679,,,,,,,,,3.5918,8.7514,,,,5.0,5.0,,,,,,0.388874,PASS,
10,1_LQR_pitch_step,,2026-03-20 11:05:26,,,,,,,,,,,,,6.5749,43.1795,,,,0.542,2.274,,,,,,200.359131,FAIL,fell over
10,1_LQR_pitch_step,,2026-03-20 11:05:26,0.010995,0.001207,0.008421,98.701391,,,,,,,,,6.5749,43.1795,,,,0.542,2.274,,,,,,200.359131,FAIL,fell over
11,1_LQR_pitch_step,,2026-03-20 11:05:26,,,,,,,,,,,,,7.4271,43.3323,,,,0.126,2.348,,,,,,200.304976,FAIL,fell over
