run_id,scenario,label,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,2_leg_height_gain_sched,,2026-03-20 11:08:26,,,,,,,,,,,,,1.6447,5.3638,,,,,12.0,,,,,,0.030738,PASS,
1,2_leg_height_gain_sched,,2026-03-20 11:08:26,0.014168,0.03372,0.00025,28.734,,,,,,,,,1.6447,5.3638,,,,,12.0,,,,,,0.030738,PASS,
2,2_leg_height_gain_sched,,2026-03-20 11:08:28,,,,,,,,,,,,,1.6498,5.3417,,,,,12.0,,,,,,0.030665,PASS,
2,2_leg_height_gain_sched,,2026-03-20 11:08:28,0.001198,0.001591,1.4e-05,1061.372666,,,,,,,,,1.6498,5.3417,,,,,12.0,,,,,,0.030665,PASS,
3,2_leg_height_gain_sched,,2026-03-20 11:08:28,,,,,,,,,,,,,1.8356,5.3879,,,,,12.0,,,,,,0.034341,PASS,
3,2_leg_height_gain_sched,,2026-03-20 11:08:28,0.019764,0.001082,0.000722,8.631814,,,,,,,,,1.8356,5.3879,,,,,12.0,,,,,,0.034341,PASS,
4,2_leg_height_gain_sched,,2026-03-20 11:08:28,,,,,,,,,,,,,1.6481,5.3358,,,,,12.0,,,,,,0.030704,PASS,
4,2_leg_height_gain_sched,,2026-03-20 11:08:28,0.037744,0.045633,0.000159,5135.566538,,,,,,,,,1.6481,5.3358,,,,,12.0,,,,,,0.030704,PASS,
5,2_leg_height_gain_sched,,2026-03-20 11:08:28,,,,,,,,,,,,,1.6377,5.3487,,,,,12.0,,,,,,0.030586,PASS,
5,2_leg_height_gain_sched,,2026-03-20 11:08:28,0.000244,0.033498,2.8e-05,22.618735,,,,,,,,,1.6377,5.3487,,,,,12.0,,,,,,0.030586,PASS,
6,2_leg_height_gain_sched,,2026-03-20 11:08:28,,,,,,,,,,,,,1.657,5.3666,,,,,12.0,,,,,,0.030689,PASS,
6,2_leg_height_gain_sched,,2026-03-20 11:08:28,0.023548,0.117679,2e-06,1.728019,,,,,,,,,1.657,5.3666,,,,,12.0,,,,,,0.030689,PASS,
7,2_leg_height_gain_sched,,2026-03-20 11:08:28,,,,,,,,,,,,,1.6397,5.3529,,,,,12.0,,,,,,0.030455,PASS,
7,2_leg_height_gain_sched,,2026-03-20 11:08:28,0.028439,1.795609,0.000722,168.443501,,,,,,,,,1.6397,5.3529,,,,,12.0,,,,,,0.030455,PASS,
8,2_leg_height_gain_sched,,2026-03-20 11:08:28,,,,,,,,,,,,,1.6387,5.3571,,,,,12.0,,,,,,0.030506,PASS,
8,2_leg_height_gain_sched,,2026-03-20 11:08:28,0.000209,0.00252,0.000135,24.494792,,,,,,,,,1.6387,5.3571,,,,,12.0,,,,,,0.030506,PASS,
9,2_leg_height_gain_sched,,2026-03-20 11:08:28,,,,,,,,,,,,,1.6388,5.3331,,,,,12.0,,,,,,0.03064,PASS,
9,2_leg_height_gain_sched,,2026-03-20 11:08:28,0.005074,0.065058,1.7e-05,15.37307,,,,,,,,,1.6388,5.3331,,,,,12.0,,,,,,0.03064,PASS,
10,2_leg_height_gain_sched,,2026-03-20 11:08:29,,,,,,,,,,,,,1.6425,5.3519,,,,,12.0,,,,,,0.030527,PASS,
10,2_leg_height_gain_sched,,2026-03-20 11:08:29,0.000459,7.334405,0.000424,1058.381713,,,,,,,,,1.6425,5.3519,,,,,12.0,,,,,,0.030527,PASS,
11,2_leg_height_gain_sched,,2026-03-20 11:08:29,,,,,,,,,,,,,1.9824,5.3914,,,,,12.0,,,,,,0.038321,PASS,
11,2_leg_height_gain_sched,,2026-03-20 11:08:29,0.147579,0.026502,0.001455,8.317856,,,,,,,,,1.9824,5.3914,,,,,12.0,,,,,,0.038321,PASS,
12,2_leg_height_gain_sched,,2026-03-20 11:08:29,,,,,,,,,,,,,1.8654,5.496,,,,,12.0,,,,,,0.036085,PASS,
12,2_leg_height_gain_sched,,2026-03-20 11:08:29,0.001374,2.08879,0.000373,6.309852,,,,,,,,,1.8654,5.496,,,,,12.0,,,,,,0.036085,PASS,
13,2_leg_height_gain_sched,,2026-03-20 11:08:29,,,,,,,,,,,,,1.6515,5.3319,,,,,12.0,,,,,,0.030735,PASS,
13,2_leg_height_gain_sched,,2026-03-20 11:08:29,0.003716,0.566702,6e-06,441.276852,,,,,,,,,1.6515,5.3319,,,,,12.0,,,,,,0.030735,PASS,
14,2_leg_height_gain_sched,,2026-03-20 11:08:29,,,,,,,,,,,,,1.7789,5.3848,,,,,12.0,,,,,,0.032935,PASS,
14,2_leg_height_gain_sched,,2026-03-20 11:08:29,0.005299,0.121964,0.001024,17.929164,,,,,,,,,1.7789,5.3848,,,,,12.0,,,,,,0.032935,PASS,
15,2_leg_height_gain_sched,,2026-03-20 11:08:29,,,,,,,,,,,,,2.3381,5.5683,,,,,12.0,,,,,,0.067184,PASS,
15,2_leg_height_gain_sched,,2026-03-20 11:08:29,0.002825,24.588501,0.001097,106.634154,,,,,,,,,1.717,5.4392,,,,,12.0,,,,,,0.031826,PASS,
15,2_leg_height_gain_sched,,2026-03-20 11:08:29,1.256469,5.37441,0.002297,11.652801,,,,,,,,,2.3381,5.5683,,,,,12.0,,,,,,0.067184,PASS,
16,2_leg_height_gain_sched,,2026-03-20 11:08:29,,,,,,,,,,,,,1.6667,5.3583,,,,,12.0,,,,,,0.03105,PASS,
16,2_leg_height_gain_sched,,2026-03-20 11:08:29,0.106552,0.08233,0.00429,275.372885,,,,,,,,,1.6667,5.3583,,,,,12.0,,,,,,0.03105,PASS,
17,2_leg_height_gain_sched,,2026-03-20 11:08:30,,,,,,,,,,,,,1.9484,5.4332,,,,,12.0,,,,,,0.037571,PASS,
17,2_leg_height_gain_sched,,2026-03-20 11:08:30,0.01721,1.365434,0.005511,40.067765,,,,,,,,,1.9484,5.4332,,,,,12.0,,,,,,0.037571,PASS,
18,2_leg_height_gain_sched,,2026-03-20 11:08:30,,,,,,,,,,,,,1.6518,5.3577,,,,,12.0,,,,,,0.030684,PASS,
18,2_leg_height_gain_sched,,2026-03-20 11:08:30,0.007759,10.9689,0.000123,524.060103,,,,,,,,,1.6518,5.3577,,,,,12.0,,,,,,0.030684,PASS,
19,2_leg_height_gain_sched,,2026-03-20 11:08:30,,,,,,,,,,,,,1.7879,5.4833,,,,,12.0,,,,,,0.033581,PASS,
19,2_leg_height_gain_sched,,2026-03-20 11:08:30,0.049381,4.05501,0.000325,12.117028,,,,,,,,,1.7879,5.4833,,,,,12.0,,,,,,0.033581,PASS,
20,2_leg_height_gain_sched,,2026-03-20 11:08:30,,,,,,,,,,,,,1.9846,5.4305,,,,,12.0,,,,,,0.038709,PASS,
20,2_leg_height_gain_sched,,2026-03-20 11:08:30,0.000611,1.082875,0.002083,13.316308,,,,,,,,,1.9846,5.4305,,,,,12.0,,,,,,0.038709,PASS,
21,2_leg_height_gain_sched,,2026-03-20 11:08:30,,,,,,,,,,,,,1.65,5.3564,,,,,12.0,,,,,,0.030711,PASS,
21,2_leg_height_gain_sched,,2026-03-20 11:08:30,,,,,,,,,,,,,1.6443,5.3413,,,,,12.0,,,,,,0.030634,PASS,
21,2_leg_height_gain_sched,,2026-03-20 11:08:30,0.046101,5.365237,6.6e-05,219.102634,,,,,,,,,1.65,5.3564,,,,,12.0,,,,,,0.030711,PASS,
21,2_leg_height_gain_sched,,2026-03-20 11:08:30,0.003232,3.625867,0.000404,1758.267788,,,,,,,,,1.6443,5.3413,,,,,12.0,,,,,,0.030634,PASS,
22,2_leg_height_gain_sched,,2026-03-20 11:08:30,,,,,,,,,,,,,1.6331,5.3476,,,,,12.0,,,,,,0.030435,PASS,
22,2_leg_height_gain_sched,,2026-03-20 11:08:30,0.001816,0.28179,0.000898,277.004504,,,,,,,,,1.6331,5.3476,,,,,12.0,,,,,,0.030435,PASS,
23,2_leg_height_gain_sched,,2026-03-20 11:08:30,,,,,,,,,,,,,1.9231,5.6956,,,,,12.0,,,,,,0.053177,PASS,
23,2_leg_height_gain_sched,,2026-03-20 11:08:30,4.014845,94.587546,0.000141,90.676903,,,,,,,,,1.9231,5.6956,,,,,12.0,,,,,,0.053177,PASS,
24,2_leg_height_gain_sched,,2026-03-20 11:08:31,,,,,,,,,,,,,1.717,5.3869,,,,,12.0,,,,,,0.031729,PASS,
24,2_leg_height_gain_sched,,2026-03-20 11:08:31,0.004622,0.016279,0.001093,33.105312,,,,,,,,,1.717,5.3869,,,,,12.0,,,,,,0.031729,PASS,
25,2_leg_height_gain_sched,,2026-03-20 11:08:31,,,,,,,,,,,,,1.6417,5.3267,,,,,12.0,,,,,,0.030569,PASS,
25,2_leg_height_gain_sched,,2026-03-20 11:08:31,0.000382,0.397272,0.007155,42695.460061,,,,,,,,,1.6417,5.3267,,,,,12.0,,,,,,0.030569,PASS,
26,2_leg_height_gain_sched,,2026-03-20 11:08:31,,,,,,,,,,,,,1.6561,5.3837,,,,,12.0,,,,,,0.030982,PASS,
26,2_leg_height_gain_sched,,2026-03-20 11:08:31,0.011079,2.854999,0.000241,47.036122,,,,,,,,,1.6561,5.3837,,,,,12.0,,,,,,0.030982,PASS,
27,2_leg_height_gain_sched,,2026-03-20 11:08:31,,,,,,,,,,,,,1.6516,5.3307,,,,,12.0,,,,,,0.030752,PASS,
27,2_leg_height_gain_sched,,2026-03-20 11:08:31,6.6e-05,0.748706,9e-05,40622.886132,,,,,,,,,1.6516,5.3307,,,,,12.0,,,,,,0.030752,PASS,
28,2_leg_height_gain_sched,,2026-03-20 11:08:31,,,,,,,,,,,,,1.648,5.3455,,,,,12.0,,,,,,0.030657,PASS,
28,2_leg_height_gain_sched,,2026-03-20 11:08:31,1e-05,0.299264,0.001219,125.348286,,,,,,,,,1.648,5.3455,,,,,12.0,,,,,,0.030657,PASS,
29,2_leg_height_gain_sched,,2026-03-20 11:08:31,,,,,,,,,,,,,1.7298,5.3871,,,,,12.0,,,,,,0.032111,PASS,
