run_id,scenario,label,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,3_VEL_PI_disturbance,evo_seed,2026-03-20 11:11:28,,,,,0.011377,0.002848,,,,,,,3.0082,7.6289,46.3064,,,,12.0,,,,,,3.8589,PASS,
3,3_VEL_PI_disturbance,evo_g000000_c1,2026-03-20 11:11:29,,,,,0.001226,0.00177,,,,,,,4.5866,42.7661,27.3881,,,,7.67,,,,,,18.949,FAIL,fell over
6,3_VEL_PI_disturbance,evo_g000000_c4,2026-03-20 11:11:29,,,,,0.062805,0.016584,,,,,,,11.377,47.6229,42.1256,,,,7.084,,,,,,20.1771,FAIL,fell over
2,3_VEL_PI_disturbance,evo_g000000_c0,2026-03-20 11:11:29,,,,,0.054105,0.005452,,,,,,,9.2512,16.1738,53.6537,,,,12.0,,,,,,4.4711,PASS,
7,3_VEL_PI_disturbance,evo_g000000_c5,2026-03-20 11:11:29,,,,,0.117616,0.000651,,,,,,,9.8282,19.5945,63.0992,,,,12.0,,,,,,5.2583,PASS,
9,3_VEL_PI_disturbance,evo_g000000_c7,2026-03-20 11:11:29,,,,,0.020539,0.000485,,,,,,,5.526,13.1345,53.114,,,,12.0,,,,,,4.4262,PASS,
4,3_VEL_PI_disturbance,evo_g000000_c2,2026-03-20 11:11:29,,,,,0.009632,0.008753,,,,,,,3.8549,12.6147,55.1268,,,,12.0,,,,,,4.5939,PASS,
5,3_VEL_PI_disturbance,evo_g000000_c3,2026-03-20 11:11:29,,,,,0.075886,0.005721,,,,,,,11.093,18.1739,65.1162,,,,12.0,,,,,,5.4264,PASS,
8,3_VEL_PI_disturbance,evo_g000000_c6,2026-03-20 11:11:29,,,,,0.064289,0.002876,,,,,,,8.7268,17.51,51.2818,,,,12.0,,,,,,4.2735,PASS,
12,3_VEL_PI_disturbance,evo_g000001_c2,2026-03-20 11:11:30,,,,,0.004841,0.000934,,,,,,,6.6714,47.6813,33.6003,,,,6.092,,,,,,19.4667,FAIL,fell over
14,3_VEL_PI_disturbance,evo_g000001_c4,2026-03-20 11:11:30,,,,,0.028372,0.011285,,,,,,,7.7113,43.2594,27.005,,,,6.706,,,,,,18.9171,FAIL,fell over
11,3_VEL_PI_disturbance,evo_g000001_c1,2026-03-20 11:11:30,,,,,0.040557,0.002912,,,,,,,7.7389,15.2619,49.4964,,,,12.0,,,,,,4.1247,PASS,
15,3_VEL_PI_disturbance,evo_g000001_c5,2026-03-20 11:11:30,,,,,0.17941,0.01219,,,,,,,10.0924,19.2704,70.0203,,,,12.0,,,,,,5.835,PASS,
10,3_VEL_PI_disturbance,evo_g000001_c0,2026-03-20 11:11:30,,,,,0.014908,0.000434,,,,,,,4.2223,9.7869,52.0456,,,,12.0,,,,,,4.3371,PASS,
17,3_VEL_PI_disturbance,evo_g000001_c7,2026-03-20 11:11:30,,,,,0.010424,0.000977,,,,,,,3.4141,7.1325,62.0953,,,,12.0,,,,,,5.1746,PASS,
16,3_VEL_PI_disturbance,evo_g000001_c6,2026-03-20 11:11:30,,,,,0.009003,0.001315,,,,,,,2.8002,7.0756,55.6864,,,,12.0,,,,,,4.6405,PASS,
13,3_VEL_PI_disturbance,evo_g000001_c3,2026-03-20 11:11:30,,,,,0.002817,0.000126,,,,,,,1.0545,4.1604,49.7864,,,,12.0,,,,,,4.1489,PASS,
24,3_VEL_PI_disturbance,evo_g000002_c6,2026-03-20 11:11:30,,,,,0.007623,0.000231,,,,,,,4.0373,43.0728,30.5342,,,,6.252,,,,,,19.2112,FAIL,fell over
23,3_VEL_PI_disturbance,evo_g000002_c5,2026-03-20 11:11:30,,,,,0.004501,0.02696,,,,,,,5.146,42.8418,28.1413,,,,5.838,,,,,,19.0118,FAIL,fell over
21,3_VEL_PI_disturbance,evo_g000002_c3,2026-03-20 11:11:30,,,,,0.026485,0.001284,,,,,,,7.9457,43.8156,29.5916,,,,6.082,,,,,,19.1326,FAIL,fell over
22,3_VEL_PI_disturbance,evo_g000002_c4,2026-03-20 11:11:31,,,,,0.009688,0.002038,,,,,,,6.2912,42.4939,45.6714,,,,9.004,,,,,,20.4726,FAIL,fell over
18,3_VEL_PI_disturbance,evo_g000002_c0,2026-03-20 11:11:31,,,,,0.009198,0.006356,,,,,,,3.2094,11.1763,45.768,,,,12.0,,,,,,3.814,PASS,
25,3_VEL_PI_disturbance,evo_g000002_c7,2026-03-20 11:11:31,,,,,0.025756,0.005033,,,,,,,6.5605,13.0392,49.7529,,,,12.0,,,,,,4.1461,PASS,
20,3_VEL_PI_disturbance,evo_g000002_c2,2026-03-20 11:11:31,,,,,0.049021,0.002834,,,,,,,8.5681,15.3412,45.8844,,,,12.0,,,,,,3.8237,PASS,
19,3_VEL_PI_disturbance,evo_g000002_c1,2026-03-20 11:11:31,,,,,0.0135,0.004842,,,,,,,3.6712,9.3883,44.6114,,,,12.0,,,,,,3.7176,PASS,
26,3_VEL_PI_disturbance,evo_g000003_c0,2026-03-20 11:11:31,,,,,0.010842,0.002762,,,,,,,4.7433,43.3008,25.5055,,,,5.994,,,,,,18.7921,FAIL,fell over
27,3_VEL_PI_disturbance,evo_g000003_c1,2026-03-20 11:11:31,,,,,0.002273,0.008437,,,,,,,3.5521,42.7177,31.2857,,,,7.92,,,,,,19.2738,FAIL,fell over
31,3_VEL_PI_disturbance,evo_g000003_c5,2026-03-20 11:11:31,,,,,0.001206,0.004943,,,,,,,3.0168,43.3061,42.6867,,,,9.894,,,,,,20.2239,FAIL,fell over
32,3_VEL_PI_disturbance,evo_g000003_c6,2026-03-20 11:11:32,,,,,0.008693,0.001601,,,,,,,2.7798,6.8975,55.3945,,,,12.0,,,,,,4.6162,PASS,
28,3_VEL_PI_disturbance,evo_g000003_c2,2026-03-20 11:11:32,,,,,0.047479,0.008224,,,,,,,7.9106,16.1891,47.3594,,,,12.0,,,,,,3.9466,PASS,
30,3_VEL_PI_disturbance,evo_g000003_c4,2026-03-20 11:11:32,,,,,0.104768,0.001849,,,,,,,9.8686,19.1993,65.5429,,,,12.0,,,,,,5.4619,PASS,
33,3_VEL_PI_disturbance,evo_g000003_c7,2026-03-20 11:11:32,,,,,0.041295,0.014755,,,,,,,10.5822,24.4079,54.7009,,,,12.0,,,,,,4.5584,PASS,
29,3_VEL_PI_disturbance,evo_g000003_c3,2026-03-20 11:11:32,,,,,0.015876,0.007005,,,,,,,4.8235,11.6885,52.1751,,,,12.0,,,,,,4.3479,PASS,
35,3_VEL_PI_disturbance,evo_g000004_c1,2026-03-20 11:11:32,,,,,0.004172,0.001186,,,,,,,6.6866,42.7166,34.7999,,,,5.912,,,,,,19.5667,FAIL,fell over
37,3_VEL_PI_disturbance,evo_g000004_c3,2026-03-20 11:11:32,,,,,0.011255,0.00962,,,,,,,5.6777,43.2379,50.4119,,,,8.764,,,,,,20.8677,FAIL,fell over
34,3_VEL_PI_disturbance,evo_g000004_c0,2026-03-20 11:11:32,,,,,0.024315,0.016996,,,,,,,6.9108,13.7123,51.3013,,,,12.0,,,,,,4.2751,PASS,
