run_id,scenario,label,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,4_VEL_PI_staircase,evo_seed,2026-03-20 11:14:29,,,,,0.010176,0.002196,,,,,,,4.4109,43.0503,22.806,5.188,4.4789,1.99,5.932,,,,,,213.8778,FAIL,fell over
3,4_VEL_PI_staircase,evo_g000000_c1,2026-03-20 11:14:30,,,,,0.001091,0.002692,,,,,,,6.2163,43.406,37.3247,5.244,6.4942,0.0,5.934,,,,,,220.1042,FAIL,fell over
5,4_VEL_PI_staircase,evo_g000000_c3,2026-03-20 11:14:30,,,,,0.010029,0.000953,,,,,,,8.872,43.4519,46.2126,5.708,8.3453,13.0,6.47,,,,,,225.9231,FAIL,fell over
4,4_VEL_PI_staircase,evo_g000000_c2,2026-03-20 11:14:30,,,,,0.01227,0.003867,,,,,,,8.3012,43.3621,46.7633,7.01,6.9467,2.45,7.814,,,,,,221.6702,FAIL,fell over
2,4_VEL_PI_staircase,evo_g000000_c0,2026-03-20 11:14:31,,,,,0.002368,0.000756,,,,,,,2.5959,18.1061,60.3666,11.54,5.2501,0.0,13.0,,,,,,16.0099,PASS,
6,4_VEL_PI_staircase,evo_g000000_c4,2026-03-20 11:14:31,,,,,0.007081,0.018752,,,,,,,3.5953,8.3837,56.759,11.336,5.3717,11.04,13.0,,,,,,16.4746,PASS,
7,4_VEL_PI_staircase,evo_g000000_c5,2026-03-20 11:14:31,,,,,0.002469,0.010244,,,,,,,1.7601,3.2544,57.6464,11.432,5.4958,3.574,13.0,,,,,,16.6634,PASS,
9,4_VEL_PI_staircase,evo_g000000_c7,2026-03-20 11:14:31,,,,,0.016673,0.002703,,,,,,,4.9385,12.1985,61.467,11.354,5.55,5.432,13.0,,,,,,17.1438,PASS,
8,4_VEL_PI_staircase,evo_g000000_c6,2026-03-20 11:14:31,,,,,0.066934,0.002671,,,,,,,9.4776,19.8347,56.4,10.84,5.1127,13.0,13.0,,,,,,16.2859,PASS,
13,4_VEL_PI_staircase,evo_g000001_c3,2026-03-20 11:14:31,,,,,0.001781,0.001669,,,,,,,6.2513,42.9807,32.5401,6.588,5.2434,0.304,7.468,,,,,,216.3553,FAIL,fell over
