run_id,scenario,label,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,5_VEL_PI_leg_cycling,evo_seed,2026-03-20 11:17:31,,,,,0.014103,0.000136,,,,,,,2.9342,9.5792,28.7186,5.048,3.3392,0.498,13.0,,,,,,10.311,PASS,
4,5_VEL_PI_leg_cycling,evo_g000000_c2,2026-03-20 11:17:32,,,,,0.018997,0.000244,,,,,,,4.0317,31.733,12.1782,2.606,3.7682,0.5,5.168,,,,,,211.7078,FAIL,fell over
2,5_VEL_PI_leg_cycling,evo_g000000_c0,2026-03-20 11:17:32,,,,,0.02764,0.000213,,,,,,,3.4463,11.8514,21.8009,4.73,2.5976,0.51,13.0,,,,,,8.1374,PASS,
5,5_VEL_PI_leg_cycling,evo_g000000_c3,2026-03-20 11:17:33,,,,,0.001569,0.0001,,,,,,,1.6377,5.0845,36.8785,4.348,4.3166,0.472,13.0,,,,,,13.1136,PASS,
7,5_VEL_PI_leg_cycling,evo_g000000_c5,2026-03-20 11:17:33,,,,,0.059101,0.0001,,,,,,,6.1145,16.5028,32.702,4.662,3.9824,0.526,13.0,,,,,,12.5587,PASS,
3,5_VEL_PI_leg_cycling,evo_g000000_c1,2026-03-20 11:17:33,,,,,0.085063,0.000288,,,,,,,6.2994,17.2776,30.8544,4.57,3.9364,0.5,13.0,,,,,,12.4391,PASS,
9,5_VEL_PI_leg_cycling,evo_g000000_c7,2026-03-20 11:17:33,,,,,0.001,0.000103,,,,,,,1.5654,5.1719,38.5072,4.62,4.4356,0.466,13.0,,,,,,13.4633,PASS,
8,5_VEL_PI_leg_cycling,evo_g000000_c6,2026-03-20 11:17:33,,,,,0.073826,0.0001,,,,,,,8.0792,20.3589,31.443,4.306,4.113,0.512,13.0,,,,,,13.1469,PASS,
6,5_VEL_PI_leg_cycling,evo_g000000_c4,2026-03-20 11:17:33,,,,,0.004309,0.0001,,,,,,,1.8341,5.6215,24.5967,4.662,2.7779,0.488,13.0,,,,,,8.5171,PASS,
16,5_VEL_PI_leg_cycling,evo_g000001_c6,2026-03-20 11:17:33,,,,,0.025293,0.000369,,,,,,,3.9612,11.7312,26.1597,4.856,3.3664,0.448,13.0,,,,,,10.4953,PASS,
17,5_VEL_PI_leg_cycling,evo_g000001_c7,2026-03-20 11:17:33,,,,,0.02857,0.0001,,,,,,,3.7285,14.4775,26.3936,4.464,3.112,0.176,13.0,,,,,,9.7088,PASS,
10,5_VEL_PI_leg_cycling,evo_g000001_c0,2026-03-20 11:17:33,,,,,0.01863,0.0001,,,,,,,3.0269,9.15,30.6394,6.024,3.6129,0.462,13.0,,,,,,11.1414,PASS,
13,5_VEL_PI_leg_cycling,evo_g000001_c3,2026-03-20 11:17:33,,,,,0.020838,0.000934,,,,,,,3.8138,11.4019,30.294,4.802,4.0166,0.468,13.0,,,,,,12.4312,PASS,
11,5_VEL_PI_leg_cycling,evo_g000001_c1,2026-03-20 11:17:34,,,,,0.015375,0.000816,,,,,,,2.5648,7.7334,28.1782,5.016,3.4626,0.468,13.0,,,,,,10.6443,PASS,
14,5_VEL_PI_leg_cycling,evo_g000001_c4,2026-03-20 11:17:34,,,,,0.004117,0.000117,,,,,,,1.6111,5.4146,38.6169,5.144,4.3567,0.478,13.0,,,,,,13.2312,PASS,
12,5_VEL_PI_leg_cycling,evo_g000001_c2,2026-03-20 11:17:34,,,,,0.008583,0.000499,,,,,,,2.7092,7.2536,32.2608,4.804,4.128,0.508,13.0,,,,,,12.6549,PASS,
15,5_VEL_PI_leg_cycling,evo_g000001_c5,2026-03-20 11:17:34,,,,,0.013601,0.0001,,,,,,,2.6978,7.5572,32.4232,4.886,3.8345,0.494,13.0,,,,,,11.7733,PASS,
23,5_VEL_PI_leg_cycling,evo_g000002_c5,2026-03-20 11:17:34,,,,,0.038464,0.0001,,,,,,,5.7679,32.3276,18.6799,3.06,3.8283,0.21,8.376,,,,,,212.0617,FAIL,fell over
24,5_VEL_PI_leg_cycling,evo_g000002_c6,2026-03-20 11:17:34,,,,,0.056058,0.000179,,,,,,,5.7141,15.745,31.849,4.814,3.8449,0.534,13.0,,,,,,12.1061,PASS,
22,5_VEL_PI_leg_cycling,evo_g000002_c4,2026-03-20 11:17:34,,,,,0.041566,0.0001,,,,,,,5.8338,15.3122,25.059,5.226,3.5473,0.494,13.0,,,,,,11.2253,PASS,
19,5_VEL_PI_leg_cycling,evo_g000002_c1,2026-03-20 11:17:34,,,,,0.013887,0.0001,,,,,,,3.3034,9.9162,34.9216,4.492,4.2902,0.472,13.0,,,,,,13.2009,PASS,
20,5_VEL_PI_leg_cycling,evo_g000002_c2,2026-03-20 11:17:34,,,,,0.047219,0.0001,,,,,,,5.3047,17.7966,31.1913,4.9,3.9389,0.502,13.0,,,,,,12.3472,PASS,
21,5_VEL_PI_leg_cycling,evo_g000002_c3,2026-03-20 11:17:34,,,,,0.02158,0.000618,,,,,,,4.2693,15.0973,28.2083,4.592,3.7427,0.518,13.0,,,,,,11.655,PASS,
18,5_VEL_PI_leg_cycling,evo_g000002_c0,2026-03-20 11:17:34,,,,,0.037268,0.0001,,,,,,,5.6858,17.9236,30.675,5.154,4.1616,0.314,13.0,,,,,,13.0534,PASS,
25,5_VEL_PI_leg_cycling,evo_g000002_c7,2026-03-20 11:17:34,,,,,0.0911,0.000949,,,,,,,7.592,17.1123,41.0957,5.704,4.8343,0.49,13.0,,,,,,15.2621,PASS,
33,5_VEL_PI_leg_cycling,evo_g000003_c7,2026-03-20 11:17:35,,,,,0.055611,0.000977,,,,,,,6.6297,15.9054,30.3982,4.48,3.7254,0.538,13.0,,,,,,11.8392,PASS,
27,5_VEL_PI_leg_cycling,evo_g000003_c1,2026-03-20 11:17:35,,,,,0.056345,0.000245,,,,,,,6.7907,22.7835,30.0589,6.136,3.7255,0.53,13.0,,,,,,11.8556,PASS,
29,5_VEL_PI_leg_cycling,evo_g000003_c3,2026-03-20 11:17:35,,,,,0.017777,0.0001,,,,,,,3.4962,12.0274,24.9288,5.412,3.2405,0.496,13.0,,,,,,10.0711,PASS,
26,5_VEL_PI_leg_cycling,evo_g000003_c0,2026-03-20 11:17:35,,,,,0.096933,0.000194,,,,,,,6.3054,17.3035,25.9566,4.132,3.3891,0.488,13.0,,,,,,10.7978,PASS,
28,5_VEL_PI_leg_cycling,evo_g000003_c2,2026-03-20 11:17:35,,,,,0.035561,0.0001,,,,,,,4.4616,13.5487,28.5689,5.282,3.7324,0.346,13.0,,,,,,11.6434,PASS,
32,5_VEL_PI_leg_cycling,evo_g000003_c6,2026-03-20 11:17:35,,,,,0.09187,0.000308,,,,,,,7.7364,18.858,31.2464,4.304,3.9149,0.49,13.0,,,,,,12.5183,PASS,
31,5_VEL_PI_leg_cycling,evo_g000003_c5,2026-03-20 11:17:35,,,,,0.113043,0.000244,,,,,,,7.0379,17.4237,30.1644,6.052,3.5797,0.47,13.0,,,,,,11.4429,PASS,
30,5_VEL_PI_leg_cycling,evo_g000003_c4,2026-03-20 11:17:35,,,,,0.015855,0.0001,,,,,,,3.2805,8.9922,28.8101,4.56,3.7307,0.518,13.0,,,,,,11.5201,PASS,
38,5_VEL_PI_leg_cycling,evo_g000004_c4,2026-03-20 11:17:36,,,,,0.005298,0.00022,,,,,,,1.8844,5.8346,27.9014,4.888,3.1601,0.49,13.0,,,,,,9.6687,PASS,
41,5_VEL_PI_leg_cycling,evo_g000004_c7,2026-03-20 11:17:36,,,,,0.257859,0.000168,,,,,,,8.7386,16.8836,30.5765,3.61,3.7915,1.402,13.0,,,,,,12.2484,PASS,
40,5_VEL_PI_leg_cycling,evo_g000004_c6,2026-03-20 11:17:36,,,,,0.003904,0.000817,,,,,,,1.9431,6.6219,30.1253,4.904,3.5935,0.484,13.0,,,,,,10.9748,PASS,
37,5_VEL_PI_leg_cycling,evo_g000004_c3,2026-03-20 11:17:36,,,,,0.171893,0.00045,,,,,,,7.3174,17.6625,28.5889,4.0,3.4945,0.424,13.0,,,,,,11.2152,PASS,
34,5_VEL_PI_leg_cycling,evo_g000004_c0,2026-03-20 11:17:36,,,,,0.020597,0.000335,,,,,,,3.4424,11.2747,28.4284,4.398,3.5973,0.504,13.0,,,,,,11.1361,PASS,
35,5_VEL_PI_leg_cycling,evo_g000004_c1,2026-03-20 11:17:36,,,,,0.044389,0.000128,,,,,,,5.7693,14.7522,28.9359,4.668,3.5687,0.502,13.0,,,,,,11.283,PASS,
39,5_VEL_PI_leg_cycling,evo_g000004_c5,2026-03-20 11:17:36,,,,,0.01286,0.000194,,,,,,,2.8831,7.2972,34.1854,4.774,3.8977,0.518,13.0,,,,,,11.9814,PASS,
36,5_VEL_PI_leg_cycling,evo_g000004_c2,2026-03-20 11:17:36,,,,,0.142115,0.0001,,,,,,,7.2338,16.6026,29.8082,4.904,3.6517,0.442,13.0,,,,,,11.6785,PASS,
42,5_VEL_PI_leg_cycling,evo_g000005_c0,2026-03-20 11:17:37,,,,,0.001093,0.000124,,,,,,,1.5373,4.9764,33.0046,5.378,3.8066,0.472,13.0,,,,,,11.5735,PASS,
45,5_VEL_PI_leg_cycling,evo_g000005_c3,2026-03-20 11:17:37,,,,,0.013237,0.000319,,,,,,,3.1727,9.3169,30.2755,5.064,3.8949,0.498,13.0,,,,,,12.002,PASS,
47,5_VEL_PI_leg_cycling,evo_g000005_c5,2026-03-20 11:17:37,,,,,0.041466,0.000201,,,,,,,5.7889,15.5718,31.2715,4.922,4.2251,0.484,13.0,,,,,,13.2542,PASS,
44,5_VEL_PI_leg_cycling,evo_g000005_c2,2026-03-20 11:17:37,,,,,0.01498,0.000501,,,,,,,3.5351,32.4379,27.1007,5.222,3.637,0.5,12.368,,,,,,211.2645,FAIL,fell over
49,5_VEL_PI_leg_cycling,evo_g000005_c7,2026-03-20 11:17:37,,,,,0.101848,0.000189,,,,,,,6.4516,17.2635,27.7857,3.724,3.577,0.482,13.0,,,,,,11.3762,PASS,
43,5_VEL_PI_leg_cycling,evo_g000005_c1,2026-03-20 11:17:37,,,,,0.050991,0.0001,,,,,,,7.0189,17.8561,33.5559,4.466,3.8863,0.5,13.0,,,,,,12.3608,PASS,
48,5_VEL_PI_leg_cycling,evo_g000005_c6,2026-03-20 11:17:37,,,,,0.006203,0.000163,,,,,,,2.1054,5.7283,32.1064,4.498,3.8947,0.484,13.0,,,,,,11.8946,PASS,
46,5_VEL_PI_leg_cycling,evo_g000005_c4,2026-03-20 11:17:37,,,,,0.036903,0.0001,,,,,,,4.8458,15.4338,25.8862,5.04,3.5055,0.138,13.0,,,,,,11.0011,PASS,
50,5_VEL_PI_leg_cycling,evo_g000006_c0,2026-03-20 11:17:38,,,,,0.005237,0.000926,,,,,,,2.2351,6.9338,35.1835,4.602,4.223,0.502,13.0,,,,,,12.8925,PASS,
51,5_VEL_PI_leg_cycling,evo_g000006_c1,2026-03-20 11:17:38,,,,,0.033782,0.000223,,,,,,,6.1703,16.6567,29.7742,4.374,3.8905,0.436,13.0,,,,,,12.2885,PASS,
52,5_VEL_PI_leg_cycling,evo_g000006_c2,2026-03-20 11:17:38,,,,,0.031724,0.000173,,,,,,,5.5163,14.5951,33.3825,4.684,4.1093,0.544,13.0,,,,,,12.8795,PASS,
53,5_VEL_PI_leg_cycling,evo_g000006_c3,2026-03-20 11:17:38,,,,,0.074186,0.000255,,,,,,,6.4356,18.8229,25.5957,4.076,3.2155,0.508,13.0,,,,,,10.2901,PASS,
57,5_VEL_PI_leg_cycling,evo_g000006_c7,2026-03-20 11:17:38,,,,,0.024633,0.0001,,,,,,,3.2373,9.2286,20.2726,4.968,2.7141,0.504,13.0,,,,,,8.466,PASS,
56,5_VEL_PI_leg_cycling,evo_g000006_c6,2026-03-20 11:17:38,,,,,0.014625,0.000118,,,,,,,3.49,9.3371,34.9219,4.706,4.5108,0.502,13.0,,,,,,13.8814,PASS,
54,5_VEL_PI_leg_cycling,evo_g000006_c4,2026-03-20 11:17:38,,,,,0.25395,0.000622,,,,,,,9.2656,17.5703,27.073,4.698,3.4116,1.398,13.0,,,,,,11.1614,PASS,
55,5_VEL_PI_leg_cycling,evo_g000006_c5,2026-03-20 11:17:38,,,,,0.017499,0.002793,,,,,,,3.1857,8.3818,26.9964,4.874,3.6834,0.548,13.0,,,,,,11.3688,PASS,
63,5_VEL_PI_leg_cycling,evo_g000007_c5,2026-03-20 11:17:39,,,,,0.047244,0.00034,,,,,,,5.7168,31.4985,27.4842,4.21,5.2951,0.504,8.844,,,,,,216.457,FAIL,fell over
60,5_VEL_PI_leg_cycling,evo_g000007_c2,2026-03-20 11:17:39,,,,,0.00352,0.001595,,,,,,,1.6991,5.4154,28.0172,4.818,3.5638,0.488,13.0,,,,,,10.8613,PASS,
58,5_VEL_PI_leg_cycling,evo_g000007_c0,2026-03-20 11:17:39,,,,,0.013903,0.000312,,,,,,,2.8875,7.8605,30.1594,5.484,3.5564,0.502,13.0,,,,,,10.958,PASS,
61,5_VEL_PI_leg_cycling,evo_g000007_c3,2026-03-20 11:17:39,,,,,0.100117,0.0001,,,,,,,6.2892,17.0407,28.8398,4.362,3.9039,0.476,13.0,,,,,,12.3406,PASS,
64,5_VEL_PI_leg_cycling,evo_g000007_c6,2026-03-20 11:17:39,,,,,0.016796,0.000245,,,,,,,2.7222,9.3496,23.8291,4.712,3.034,0.504,13.0,,,,,,9.3742,PASS,
65,5_VEL_PI_leg_cycling,evo_g000007_c7,2026-03-20 11:17:39,,,,,0.093681,0.000236,,,,,,,7.7239,18.8979,31.5415,3.744,4.1714,0.486,13.0,,,,,,13.2866,PASS,
59,5_VEL_PI_leg_cycling,evo_g000007_c1,2026-03-20 11:17:39,,,,,0.029849,0.000155,,,,,,,3.4813,11.6665,19.0141,5.08,2.6131,0.434,13.0,,,,,,8.1874,PASS,
62,5_VEL_PI_leg_cycling,evo_g000007_c4,2026-03-20 11:17:39,,,,,0.092016,0.000136,,,,,,,8.7429,18.845,43.2045,4.466,5.2289,0.49,13.0,,,,,,16.561,PASS,
69,5_VEL_PI_leg_cycling,evo_g000008_c3,2026-03-20 11:17:40,,,,,0.037478,0.000196,,,,,,,4.715,16.1402,23.8223,4.098,3.5127,0.496,13.0,,,,,,11.0096,PASS,
66,5_VEL_PI_leg_cycling,evo_g000008_c0,2026-03-20 11:17:40,,,,,0.017024,0.002466,,,,,,,3.0925,11.4717,23.5983,4.06,3.5117,0.546,13.0,,,,,,10.8444,PASS,
67,5_VEL_PI_leg_cycling,evo_g000008_c1,2026-03-20 11:17:40,,,,,0.008723,0.000161,,,,,,,2.2765,6.0822,33.9149,4.788,4.0804,0.488,13.0,,,,,,12.4688,PASS,
71,5_VEL_PI_leg_cycling,evo_g000008_c5,2026-03-20 11:17:40,,,,,0.009763,0.000917,,,,,,,2.2532,7.8249,28.6954,4.802,3.4252,0.52,13.0,,,,,,10.5009,PASS,
72,5_VEL_PI_leg_cycling,evo_g000008_c6,2026-03-20 11:17:40,,,,,0.016321,0.000752,,,,,,,3.0705,8.3531,29.5732,4.568,3.7565,0.47,13.0,,,,,,11.5766,PASS,
70,5_VEL_PI_leg_cycling,evo_g000008_c4,2026-03-20 11:17:40,,,,,0.160862,0.0001,,,,,,,6.89,15.9552,24.8566,3.38,2.9603,0.438,13.0,,,,,,9.5699,PASS,
68,5_VEL_PI_leg_cycling,evo_g000008_c2,2026-03-20 11:17:40,,,,,0.027928,0.0001,,,,,,,4.3311,12.3718,25.6456,5.654,3.4306,0.45,13.0,,,,,,10.7249,PASS,
73,5_VEL_PI_leg_cycling,evo_g000008_c7,2026-03-20 11:17:40,,,,,0.054724,0.000155,,,,,,,5.3234,15.4207,30.3438,4.784,4.07,0.51,13.0,,,,,,12.7423,PASS,
74,5_VEL_PI_leg_cycling,evo_g000009_c0,2026-03-20 11:17:41,,,,,0.045957,0.000877,,,,,,,6.1592,17.0512,27.015,4.846,3.8757,0.502,13.0,,,,,,12.243,PASS,
77,5_VEL_PI_leg_cycling,evo_g000009_c3,2026-03-20 11:17:41,,,,,0.013417,0.0001,,,,,,,2.9658,8.5629,29.7423,4.404,3.4759,0.492,13.0,,,,,,10.7243,PASS,
81,5_VEL_PI_leg_cycling,evo_g000009_c7,2026-03-20 11:17:41,,,,,0.027552,0.0001,,,,,,,4.5665,13.113,28.6414,5.1,3.7037,0.43,13.0,,,,,,11.5678,PASS,
80,5_VEL_PI_leg_cycling,evo_g000009_c6,2026-03-20 11:17:41,,,,,0.060202,0.0001,,,,,,,6.1496,16.5886,30.107,4.72,3.7123,0.522,13.0,,,,,,11.7519,PASS,
