run_id,scenario,label,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,6_YAW_PI_turn,evo_seed,2026-03-20 11:20:32,,,,,,,2.192,0.4274,,,,,6.1107,14.5693,33.598,6.908,5.1229,8.0,8.0,,,,,,2.784,PASS,
2,6_YAW_PI_turn,evo_g000000_c0,2026-03-20 11:20:34,,,,,,,0.53683,0.058453,,,,,5.2238,14.3047,29.4601,7.092,4.3144,1.528,8.0,,,,,,3.6838,PASS,
3,6_YAW_PI_turn,evo_g000000_c1,2026-03-20 11:20:34,,,,,,,0.366595,0.601886,,,,,5.4638,14.8015,25.3776,7.09,3.5368,8.0,8.0,,,,,,4.8556,PASS,
4,6_YAW_PI_turn,evo_g000000_c2,2026-03-20 11:20:34,,,,,,,0.701147,0.30719,,,,,6.0564,14.5,32.5658,6.67,4.4461,4.162,8.0,,,,,,4.6022,PASS,
9,6_YAW_PI_turn,evo_g000000_c7,2026-03-20 11:20:34,,,,,,,1.014575,0.562918,,,,,7.5297,27.0527,28.8846,7.122,4.186,8.0,8.0,,,,,,3.4041,PASS,
7,6_YAW_PI_turn,evo_g000000_c5,2026-03-20 11:20:34,,,,,,,8.483102,0.206988,,,,,4.663,12.7211,24.4867,5.602,3.7477,1.234,8.0,,,,,,1.576,PASS,
6,6_YAW_PI_turn,evo_g000000_c4,2026-03-20 11:20:34,,,,,,,6.933652,0.530139,,,,,5.9411,13.2552,30.0268,6.408,4.1913,5.614,8.0,,,,,,2.2072,PASS,
8,6_YAW_PI_turn,evo_g000000_c6,2026-03-20 11:20:34,,,,,,,1.034912,1.05075,,,,,6.4684,13.7174,32.1259,6.806,4.6161,8.0,8.0,,,,,,2.4741,PASS,
5,6_YAW_PI_turn,evo_g000000_c3,2026-03-20 11:20:34,,,,,,,2.806886,0.098665,,,,,6.1715,14.0922,30.3584,6.646,4.3549,8.0,8.0,,,,,,2.1901,PASS,
14,6_YAW_PI_turn,evo_g000001_c4,2026-03-20 11:20:34,,,,,,,0.746111,0.086821,,,,,9.9944,44.7092,21.9272,5.122,5.3506,2.71,5.614,,,,,,204.1491,FAIL,fell over
12,6_YAW_PI_turn,evo_g000001_c2,2026-03-20 11:20:35,,,,,,,7.34512,0.274867,,,,,4.3045,11.7127,28.4526,6.764,3.6613,7.248,8.0,,,,,,2.5004,PASS,
16,6_YAW_PI_turn,evo_g000001_c6,2026-03-20 11:20:35,,,,,,,4.931678,0.16425,,,,,5.0974,10.2631,32.68,6.874,4.6306,8.0,8.0,,,,,,2.5791,PASS,
10,6_YAW_PI_turn,evo_g000001_c0,2026-03-20 11:20:35,,,,,,,3.637817,0.051575,,,,,6.6554,15.1448,36.293,6.912,5.7583,8.0,8.0,,,,,,2.8978,PASS,
15,6_YAW_PI_turn,evo_g000001_c5,2026-03-20 11:20:35,,,,,,,18.316716,0.01287,,,,,5.57,12.3264,27.4959,6.706,3.8239,8.0,8.0,,,,,,1.8728,PASS,
11,6_YAW_PI_turn,evo_g000001_c1,2026-03-20 11:20:35,,,,,,,17.690734,0.069346,,,,,5.181,12.4657,27.6061,6.8,3.9969,8.0,8.0,,,,,,2.2611,PASS,
17,6_YAW_PI_turn,evo_g000001_c7,2026-03-20 11:20:35,,,,,,,7.669953,0.045624,,,,,4.2094,9.2111,25.7315,6.54,3.5713,8.0,8.0,,,,,,1.785,PASS,
13,6_YAW_PI_turn,evo_g000001_c3,2026-03-20 11:20:35,,,,,,,16.754439,0.495534,,,,,29.539,45.9742,59.3178,7.284,9.7448,8.0,8.0,,,,,,5.9563,PASS,
22,6_YAW_PI_turn,evo_g000002_c4,2026-03-20 11:20:35,,,,,,,15.36987,0.061225,,,,,6.6719,13.6357,35.2166,6.92,5.0804,8.0,8.0,,,,,,2.6523,PASS,
25,6_YAW_PI_turn,evo_g000002_c7,2026-03-20 11:20:35,,,,,,,5.574428,0.126714,,,,,4.7923,13.0164,28.1008,6.822,3.8988,8.0,8.0,,,,,,2.3035,PASS,
24,6_YAW_PI_turn,evo_g000002_c6,2026-03-20 11:20:35,,,,,,,20.0,0.90802,,,,,5.5091,10.4312,35.2107,6.612,4.938,8.0,8.0,,,,,,2.3794,PASS,
18,6_YAW_PI_turn,evo_g000002_c0,2026-03-20 11:20:35,,,,,,,20.0,0.028081,,,,,5.4386,10.4059,32.4923,6.702,4.879,3.376,8.0,,,,,,2.7543,PASS,
19,6_YAW_PI_turn,evo_g000002_c1,2026-03-20 11:20:35,,,,,,,20.0,0.378952,,,,,6.598,12.6619,26.9399,6.564,4.0607,7.32,8.0,,,,,,1.8595,PASS,
20,6_YAW_PI_turn,evo_g000002_c2,2026-03-20 11:20:35,,,,,,,2.628326,1.019799,,,,,5.969,10.6638,30.0275,6.642,4.1808,8.0,8.0,,,,,,4.1132,PASS,
23,6_YAW_PI_turn,evo_g000002_c5,2026-03-20 11:20:35,,,,,,,14.034097,0.250139,,,,,5.6467,12.3764,32.5049,6.696,4.6252,7.196,8.0,,,,,,2.4895,PASS,
21,6_YAW_PI_turn,evo_g000002_c3,2026-03-20 11:20:35,,,,,,,8.964203,0.046392,,,,,4.9283,11.7984,29.6196,6.762,4.4218,8.0,8.0,,,,,,2.1509,PASS,
29,6_YAW_PI_turn,evo_g000003_c3,2026-03-20 11:20:36,,,,,,,17.619521,0.234433,,,,,6.668,11.8363,32.3236,6.868,4.543,8.0,8.0,,,,,,2.3477,PASS,
26,6_YAW_PI_turn,evo_g000003_c0,2026-03-20 11:20:36,,,,,,,10.431965,0.06062,,,,,6.0564,13.457,28.7517,6.668,4.378,5.09,8.0,,,,,,1.9847,PASS,
