run_id,scenario,label,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,8_terrain_compliance,evo_seed,2026-03-20 11:26:35,,,,,,,,,2.040161,4.178528,3.911783,0.916232,,,,,,,,,,,,,9.5997,PASS,
2,8_terrain_compliance,evo_g000000_c0,2026-03-20 11:26:37,,,,,,,,,5.448073,16.751665,17.319714,3.515096,,,,,,,,,,,,,15.8956,PASS,
4,8_terrain_compliance,evo_g000000_c2,2026-03-20 11:26:37,,,,,,,,,1.289945,0.450245,6.429811,0.583923,,,,,,,,,,,,,9.9639,PASS,
3,8_terrain_compliance,evo_g000000_c1,2026-03-20 11:26:37,,,,,,,,,1.939023,7.630735,4.615813,0.465691,,,,,,,,,,,,,16.6364,PASS,
7,8_terrain_compliance,evo_g000000_c5,2026-03-20 11:26:37,,,,,,,,,2.050443,21.975827,15.26807,1.256801,,,,,,,,,,,,,15.4535,PASS,
8,8_terrain_compliance,evo_g000000_c6,2026-03-20 11:26:37,,,,,,,,,5.805383,9.837274,2.593267,4.143511,,,,,,,,,,,,,14.1453,PASS,
6,8_terrain_compliance,evo_g000000_c4,2026-03-20 11:26:37,,,,,,,,,1.569233,15.17019,3.398683,0.947632,,,,,,,,,,,,,16.5087,PASS,
9,8_terrain_compliance,evo_g000000_c7,2026-03-20 11:26:37,,,,,,,,,2.343488,2.884232,8.289598,1.104399,,,,,,,,,,,,,16.9001,PASS,
5,8_terrain_compliance,evo_g000000_c3,2026-03-20 11:26:37,,,,,,,,,2.335085,2.284293,3.111786,2.798753,,,,,,,,,,,,,13.7913,PASS,
14,8_terrain_compliance,evo_g000001_c4,2026-03-20 11:26:38,,,,,,,,,1.067462,1.886601,5.773882,0.359994,,,,,,,,,,,,,16.5223,PASS,
11,8_terrain_compliance,evo_g000001_c1,2026-03-20 11:26:38,,,,,,,,,0.916038,2.804458,3.356261,0.719928,,,,,,,,,,,,,16.2773,PASS,
10,8_terrain_compliance,evo_g000001_c0,2026-03-20 11:26:38,,,,,,,,,2.730621,2.911965,2.367126,0.336432,,,,,,,,,,,,,11.5483,PASS,
16,8_terrain_compliance,evo_g000001_c6,2026-03-20 11:26:38,,,,,,,,,0.929072,2.771388,1.097871,3.788683,,,,,,,,,,,,,17.7648,PASS,
15,8_terrain_compliance,evo_g000001_c5,2026-03-20 11:26:38,,,,,,,,,1.217283,6.662395,8.907378,1.711537,,,,,,,,,,,,,23.2052,PASS,
12,8_terrain_compliance,evo_g000001_c2,2026-03-20 11:26:38,,,,,,,,,3.956672,3.769095,8.069914,4.354243,,,,,,,,,,,,,14.8964,PASS,
17,8_terrain_compliance,evo_g000001_c7,2026-03-20 11:26:38,,,,,,,,,1.541053,3.70786,12.996205,0.687456,,,,,,,,,,,,,19.8719,PASS,
13,8_terrain_compliance,evo_g000001_c3,2026-03-20 11:26:38,,,,,,,,,4.977367,17.586229,3.155103,0.541912,,,,,,,,,,,,,15.5947,PASS,
20,8_terrain_compliance,evo_g000002_c2,2026-03-20 11:26:39,,,,,,,,,2.409287,35.332425,6.309889,1.098711,,,,,,,,,,,,,14.721,PASS,
25,8_terrain_compliance,evo_g000002_c7,2026-03-20 11:26:39,,,,,,,,,8.348594,38.714658,2.831976,0.64603,,,,,,,,,,,,,17.4075,PASS,
18,8_terrain_compliance,evo_g000002_c0,2026-03-20 11:26:39,,,,,,,,,5.097902,23.180925,1.505503,4.820517,,,,,,,,,,,,,16.2694,PASS,
21,8_terrain_compliance,evo_g000002_c3,2026-03-20 11:26:39,,,,,,,,,1.242986,4.475524,3.876539,0.378651,,,,,,,,,,,,,17.6123,PASS,
22,8_terrain_compliance,evo_g000002_c4,2026-03-20 11:26:39,,,,,,,,,0.25715,2.481611,3.36922,0.990129,,,,,,,,,,,,,13.9911,PASS,
19,8_terrain_compliance,evo_g000002_c1,2026-03-20 11:26:39,,,,,,,,,1.036163,2.604215,1.216439,0.059252,,,,,,,,,,,,,10.831,PASS,
24,8_terrain_compliance,evo_g000002_c6,2026-03-20 11:26:39,,,,,,,,,1.46892,5.493959,20.0,6.829911,,,,,,,,,,,,,16.3147,PASS,
23,8_terrain_compliance,evo_g000002_c5,2026-03-20 11:26:39,,,,,,,,,2.845313,21.99071,1.64109,1.133195,,,,,,,,,,,,,14.9129,PASS,
33,8_terrain_compliance,evo_g000003_c7,2026-03-20 11:26:40,,,,,,,,,1.294841,22.485333,6.565463,3.376349,,,,,,,,,,,,,17.3676,PASS,
26,8_terrain_compliance,evo_g000003_c0,2026-03-20 11:26:40,,,,,,,,,6.33133,9.504577,0.979167,4.911429,,,,,,,,,,,,,13.7192,PASS,
