run_id,scenario,label,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,1_LQR_pitch_step,,2026-03-20 01:25:00,,,,,,,6.8756,43.4979,,,,0.52,2.296,,,,,,200.324169,FAIL,fell over
2,1_LQR_pitch_step,,2026-03-20 01:25:01,,,,,,,7.2019,43.1072,,,,0.216,2.302,,,,,,200.315713,FAIL,fell over
3,1_LQR_pitch_step,,2026-03-20 01:25:01,,,,,,,7.1346,43.4948,,,,0.148,2.304,,,,,,200.30622,FAIL,fell over
4,1_LQR_pitch_step,,2026-03-20 01:25:01,,,,,,,6.4643,43.1642,,,,0.21,2.258,,,,,,200.319683,FAIL,fell over
5,1_LQR_pitch_step,,2026-03-20 01:25:01,,,,,,,6.9179,43.1035,,,,0.144,2.302,,,,,,200.309908,FAIL,fell over
6,1_LQR_pitch_step,,2026-03-20 01:25:01,,,,,,,6.6645,43.1486,,,,0.168,2.264,,,,,,200.320083,FAIL,fell over
7,1_LQR_pitch_step,,2026-03-20 01:25:01,,,,,,,2.3319,5.003,,,,1.28,5.0,,,,,,0.313896,PASS,
8,1_LQR_pitch_step,,2026-03-20 01:25:01,,,,,,,2.1251,9.5215,,,,1.268,5.0,,,,,,0.305397,PASS,
9,1_LQR_pitch_step,,2026-03-20 01:25:01,,,,,,,1.2376,5.003,,,,0.248,5.0,,,,,,0.288693,PASS,
10,1_LQR_pitch_step,,2026-03-20 01:25:01,,,,,,,6.4966,43.2547,,,,0.162,2.248,,,,,,200.323256,FAIL,fell over
11,1_LQR_pitch_step,,2026-03-20 01:25:01,,,,,,,2.7022,6.9775,,,,0.282,5.0,,,,,,0.347001,PASS,
12,1_LQR_pitch_step,,2026-03-20 01:25:01,,,,,,,2.4819,8.3791,,,,0.184,5.0,,,,,,0.334158,PASS,
13,1_LQR_pitch_step,,2026-03-20 01:25:01,,,,,,,4.6961,12.8712,,,,5.0,5.0,,,,,,0.463647,PASS,
13,1_LQR_pitch_step,,2026-03-20 01:25:01,,,,,,,0.7743,5.003,,,,0.238,5.0,,,,,,0.293997,PASS,
14,1_LQR_pitch_step,,2026-03-20 01:25:01,,,,,,,6.0698,16.4637,,,,5.0,5.0,,,,,,1.542707,PASS,
15,1_LQR_pitch_step,,2026-03-20 01:25:01,,,,,,,1.5381,5.003,,,,0.236,5.0,,,,,,0.331459,PASS,
16,1_LQR_pitch_step,,2026-03-20 01:25:01,,,,,,,18.47,43.5458,,,,5.0,2.252,,,,,,202.314866,FAIL,fell over
17,1_LQR_pitch_step,,2026-03-20 01:25:02,,,,,,,7.7807,19.2639,,,,5.0,5.0,,,,,,0.671605,PASS,
18,1_LQR_pitch_step,,2026-03-20 01:25:02,,,,,,,9.7508,23.5745,,,,5.0,5.0,,,,,,0.813433,PASS,
18,1_LQR_pitch_step,,2026-03-20 01:25:02,,,,,,,14.8956,28.9322,,,,5.0,5.0,,,,,,1.746495,PASS,
19,1_LQR_pitch_step,,2026-03-20 01:25:02,,,,,,,3.4318,9.7619,,,,3.946,5.0,,,,,,0.38244,PASS,
20,1_LQR_pitch_step,,2026-03-20 01:25:02,,,,,,,2.8486,6.0278,,,,0.098,5.0,,,,,,0.340792,PASS,
20,1_LQR_pitch_step,,2026-03-20 01:25:02,,,,,,,6.9013,14.5819,,,,5.0,5.0,,,,,,0.57062,PASS,
21,1_LQR_pitch_step,,2026-03-20 01:25:02,,,,,,,7.6602,43.0772,,,,0.224,2.37,,,,,,200.302423,FAIL,fell over
22,1_LQR_pitch_step,,2026-03-20 01:25:02,,,,,,,6.5494,43.4154,,,,0.13,2.252,,,,,,200.33089,FAIL,fell over
