run_id,scenario,label,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
867,1_LQR_pitch_step,,2026-03-18 11:09:46,0.0529,0.009862,0.278714,7.64699,,,14.0863,48.1852,,,,5.0,0.148,,,,,,201.539839,FAIL,fell over
868,1_LQR_pitch_step,,2026-03-18 11:09:46,0.052268,0.007074,0.012287,0.095608,,,22.2947,50.1677,,,,5.0,0.052,,,,,,201.246535,FAIL,fell over
869,1_LQR_pitch_step,,2026-03-18 11:09:46,0.436187,1.177513,0.004204,0.563671,,,10.6567,42.4742,,,,5.0,5.0,,,,,,0.525638,PASS,
870,1_LQR_pitch_step,,2026-03-18 11:09:46,3.04258,0.01684,0.002676,35.708901,,,1.2682,5.0,,,,0.132,5.0,,,,,,0.003979,PASS,
871,1_LQR_pitch_step,,2026-03-18 11:09:46,1.846838,0.007763,0.001024,0.220101,,,10.8825,34.3769,,,,5.0,5.0,,,,,,0.445856,PASS,
872,1_LQR_pitch_step,,2026-03-18 11:09:46,0.437932,0.025131,0.000918,2.743964,,,0.9752,5.0,,,,0.116,5.0,,,,,,0.00333,PASS,
873,1_LQR_pitch_step,,2026-03-18 11:09:46,1.263994,0.000261,0.002183,3.377663,,,0.8947,5.0,,,,0.106,5.0,,,,,,0.003392,PASS,
874,1_LQR_pitch_step,,2026-03-18 11:09:46,0.031489,0.00444,0.004454,27.528358,,,1.1122,5.0,,,,0.126,5.0,,,,,,0.003532,PASS,
875,1_LQR_pitch_step,,2026-03-18 11:09:46,0.843258,0.143439,0.01549,0.038862,,,22.2948,50.1683,,,,5.0,0.052,,,,,,201.246627,FAIL,fell over
876,1_LQR_pitch_step,,2026-03-18 11:09:46,0.132221,0.000661,0.00901,0.051623,,,22.2948,50.1683,,,,5.0,0.052,,,,,,201.246627,FAIL,fell over
877,1_LQR_pitch_step,,2026-03-18 11:09:46,0.014923,0.004051,0.056382,5.706991,,,13.6266,44.7175,,,,5.0,5.0,,,,,,0.934506,PASS,
878,1_LQR_pitch_step,,2026-03-18 11:09:46,1.273443,0.048124,0.002016,0.550776,,,2.2121,9.4748,,,,0.252,5.0,,,,,,0.037732,PASS,
879,1_LQR_pitch_step,,2026-03-18 11:09:46,3.130245,0.091875,0.010628,3.192025,,,1.0705,5.0,,,,0.058,5.0,,,,,,0.011907,PASS,
880,1_LQR_pitch_step,,2026-03-18 11:09:46,0.022887,0.0032,0.000445,2.47356,,,1.0968,5.0,,,,0.124,5.0,,,,,,0.003508,PASS,
880,1_LQR_pitch_step,,2026-03-18 11:09:46,0.023228,0.199405,5.7e-05,0.130203,,,0.9428,5.0,,,,0.126,5.0,,,,,,0.004686,PASS,
881,1_LQR_pitch_step,,2026-03-18 11:09:46,0.940196,0.092699,0.00446,4.703349,,,0.8821,5.0,,,,0.098,5.0,,,,,,0.003686,PASS,
882,1_LQR_pitch_step,,2026-03-18 11:09:46,0.211326,0.023698,0.044897,0.031508,,,22.2948,50.1683,,,,5.0,0.052,,,,,,201.246627,FAIL,fell over
883,1_LQR_pitch_step,,2026-03-18 11:09:46,10.098306,0.076648,0.505623,5.616236,,,25.2318,43.6281,,,,5.0,0.152,,,,,,202.297511,FAIL,fell over
884,1_LQR_pitch_step,,2026-03-18 11:09:47,0.059244,0.000418,2.8e-05,901.289621,,,1.7469,5.0,,,,0.144,5.0,,,,,,0.005982,PASS,
