run_id,scenario,label,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
4932,4_leg_height_gain_sched,,2026-03-19 14:00:28,0.145115,0.014082,0.160878,3.952088,,,17.6566,30.9967,,,,,0.224,,,,,,200.696535,FAIL,fell over
4933,4_leg_height_gain_sched,,2026-03-19 14:00:28,43.347716,0.003057,0.003583,0.28244,,,9.8289,33.0735,,,,,4.254,,,,,,201.06857,FAIL,fell over
4934,4_leg_height_gain_sched,,2026-03-19 14:00:28,1.407992,0.030662,0.001049,47.105454,,,1.8417,5.1575,,,,,12.0,,,,,,0.049412,PASS,
4935,4_leg_height_gain_sched,,2026-03-19 14:00:28,0.101812,0.197532,0.042582,27.251501,,,4.1029,16.4444,,,,,12.0,,,,,,0.183389,PASS,
4936,4_leg_height_gain_sched,,2026-03-19 14:00:28,0.215036,0.04515,0.006755,25.618463,,,2.5147,6.931,,,,,12.0,,,,,,0.082156,PASS,
4937,4_leg_height_gain_sched,,2026-03-19 14:00:29,0.057967,0.002897,0.00012,0.234107,,,3.0266,10.5628,,,,,12.0,,,,,,0.110513,PASS,
4938,4_leg_height_gain_sched,,2026-03-19 14:00:29,0.481317,0.095739,0.034594,13.410777,,,4.5773,16.3977,,,,,12.0,,,,,,0.212996,PASS,
4939,4_leg_height_gain_sched,,2026-03-19 14:00:29,2.00313,0.096877,0.000896,37.36984,,,1.8609,5.1579,,,,,12.0,,,,,,0.051401,PASS,
4940,4_leg_height_gain_sched,,2026-03-19 14:00:29,0.028026,0.011666,0.026602,0.179807,,,16.7396,31.7581,,,,,0.19,,,,,,200.745341,FAIL,fell over
4941,4_leg_height_gain_sched,,2026-03-19 14:00:30,1.842138,1.202205,0.001322,0.124626,,,14.2901,52.1344,,,,,12.0,,,,,,2.422781,PASS,
4942,4_leg_height_gain_sched,,2026-03-19 14:00:30,0.105893,0.064239,0.000764,1.295805,,,3.0075,8.7355,,,,,12.0,,,,,,0.109232,PASS,
4942,4_leg_height_gain_sched,,2026-03-19 14:00:30,1.202767,0.004514,0.000562,0.267962,,,3.8598,13.5228,,,,,12.0,,,,,,0.174914,PASS,
4943,4_leg_height_gain_sched,,2026-03-19 14:00:30,0.175898,0.006285,0.014472,38.230411,,,2.9249,9.2913,,,,,12.0,,,,,,0.099578,PASS,
4943,4_leg_height_gain_sched,,2026-03-19 14:00:30,0.012935,0.051126,0.009848,48.244932,,,2.4218,7.3053,,,,,12.0,,,,,,0.078473,PASS,
4943,4_leg_height_gain_sched,,2026-03-19 14:00:30,7.23903,0.00771,0.001486,1.54793,,,3.7351,12.2787,,,,,12.0,,,,,,0.147971,PASS,
4944,4_leg_height_gain_sched,,2026-03-19 14:00:30,0.118036,0.076263,0.002054,0.568725,,,4.7532,17.7678,,,,,12.0,,,,,,0.248673,PASS,
4945,4_leg_height_gain_sched,,2026-03-19 14:00:30,0.232221,0.385067,0.01805,0.286439,,,18.2465,31.6483,,,,,0.238,,,,,,200.692926,FAIL,fell over
4946,4_leg_height_gain_sched,,2026-03-19 14:00:30,0.018692,2.376886,0.000833,0.104354,,,22.39,58.7398,,,,,0.742,,,,,,200.256197,FAIL,fell over
4947,4_leg_height_gain_sched,,2026-03-19 14:00:31,1.115213,0.022874,0.003901,21.417802,,,2.3899,6.8738,,,,,12.0,,,,,,0.075653,PASS,
4948,4_leg_height_gain_sched,,2026-03-19 14:00:31,3.360286,0.034968,0.004254,13.772462,,,2.7141,8.1603,,,,,12.0,,,,,,0.090699,PASS,
4949,4_leg_height_gain_sched,,2026-03-19 14:00:31,0.406749,0.001088,0.000237,0.484906,,,2.7722,9.1508,,,,,12.0,,,,,,0.095592,PASS,
4950,4_leg_height_gain_sched,,2026-03-19 14:00:31,1.759675,0.010476,0.011584,39.663224,,,2.6383,7.8251,,,,,12.0,,,,,,0.085616,PASS,
4951,4_leg_height_gain_sched,,2026-03-19 14:00:31,3.982765,0.012727,0.009067,9.576742,,,3.7513,12.8205,,,,,12.0,,,,,,0.145397,PASS,
4952,4_leg_height_gain_sched,,2026-03-19 14:00:31,0.62053,0.499698,3.5e-05,0.166669,,,3.3229,8.2754,,,,,12.0,,,,,,0.12757,PASS,
4953,4_leg_height_gain_sched,,2026-03-19 14:00:31,0.731141,0.00771,0.09617,1.380536,,,24.1471,56.9727,,,,,0.19,,,,,,200.569682,FAIL,fell over
4954,4_leg_height_gain_sched,,2026-03-19 14:00:32,0.085229,0.022551,0.037835,2.756465,,,8.9019,53.876,,,,,7.982,,,,,,201.114077,FAIL,fell over
4955,4_leg_height_gain_sched,,2026-03-19 14:00:32,0.014288,0.531441,0.001801,6.431125,,,2.6862,7.8851,,,,,12.0,,,,,,0.089263,PASS,
4956,4_leg_height_gain_sched,,2026-03-19 14:00:32,0.019454,0.081293,0.000159,0.200192,,,3.3613,10.3442,,,,,12.0,,,,,,0.126263,PASS,
4957,4_leg_height_gain_sched,,2026-03-19 14:00:32,0.321422,0.12999,0.010841,4.075647,,,4.2787,11.57,,,,,12.0,,,,,,0.209237,PASS,
4957,4_leg_height_gain_sched,,2026-03-19 14:00:32,0.015532,0.006225,0.00088,0.578995,,,3.762,12.7137,,,,,12.0,,,,,,0.162399,PASS,
4958,4_leg_height_gain_sched,,2026-03-19 14:00:32,11.314594,0.048102,0.003198,3.584261,,,3.5076,12.4587,,,,,12.0,,,,,,0.143819,PASS,
4959,4_leg_height_gain_sched,,2026-03-19 14:00:32,0.377331,0.018985,0.005751,2.177115,,,4.9833,16.0568,,,,,12.0,,,,,,0.230997,PASS,
4960,4_leg_height_gain_sched,,2026-03-19 14:00:33,0.91119,0.012805,0.123568,0.044713,,,26.2093,56.0178,,,,,0.192,,,,,,200.437822,FAIL,fell over
4961,4_leg_height_gain_sched,,2026-03-19 14:00:33,0.878077,0.156488,0.261388,20.406436,,,23.8371,56.7497,,,,,0.296,,,,,,200.438302,FAIL,fell over
4962,4_leg_height_gain_sched,,2026-03-19 14:00:34,0.035909,0.482052,0.014081,12.51614,,,3.8262,12.2738,,,,,12.0,,,,,,0.154665,PASS,
4963,4_leg_height_gain_sched,,2026-03-19 14:00:34,0.008331,0.238221,0.424048,106.247487,,,5.8097,19.5435,,,,,12.0,,,,,,0.321671,PASS,
4964,4_leg_height_gain_sched,,2026-03-19 14:00:34,4.377579,0.03596,0.020456,18.059034,,,3.7492,12.5547,,,,,12.0,,,,,,0.156564,PASS,
4965,4_leg_height_gain_sched,,2026-03-19 14:00:34,0.04212,0.320081,8.7e-05,1.568354,,,2.1002,5.2528,,,,,12.0,,,,,,0.065022,PASS,
4966,4_leg_height_gain_sched,,2026-03-19 14:00:34,0.025129,10.0,0.00016,30.99432,,,1.9186,5.2833,,,,,12.0,,,,,,0.05698,PASS,
4967,4_leg_height_gain_sched,,2026-03-19 14:00:34,0.643254,0.00112,0.002295,13.449,,,2.2832,5.7085,,,,,12.0,,,,,,0.071498,PASS,
4968,4_leg_height_gain_sched,,2026-03-19 14:00:34,0.436594,0.007163,0.153125,4.593382,,,31.9179,56.3712,,,,,0.216,,,,,,200.335729,FAIL,fell over
4969,4_leg_height_gain_sched,,2026-03-19 14:00:34,1.456925,0.013007,0.004504,0.448308,,,21.9997,39.2432,,,,,0.298,,,,,,200.756394,FAIL,fell over
4970,4_leg_height_gain_sched,,2026-03-19 14:00:34,0.011399,0.085677,0.036086,0.393968,,,24.0671,56.1508,,,,,0.194,,,,,,200.462396,FAIL,fell over
4971,4_leg_height_gain_sched,,2026-03-19 14:00:34,0.356203,0.002233,0.106135,0.576486,,,24.5942,56.2387,,,,,0.208,,,,,,200.525205,FAIL,fell over
4972,4_leg_height_gain_sched,,2026-03-19 14:00:35,0.003261,0.059834,0.020545,2.923074,,,6.362,18.7938,,,,,12.0,,,,,,0.430063,PASS,
4973,4_leg_height_gain_sched,,2026-03-19 14:00:35,0.014147,0.060896,0.000887,1.524606,,,3.0494,10.4015,,,,,12.0,,,,,,0.107427,PASS,
4974,4_leg_height_gain_sched,,2026-03-19 14:00:35,0.064725,0.141429,0.000708,1.5601,,,2.8936,8.457,,,,,12.0,,,,,,0.103209,PASS,
4974,4_leg_height_gain_sched,,2026-03-19 14:00:35,0.214398,0.005741,0.000211,1.042682,,,2.4091,6.3795,,,,,12.0,,,,,,0.076583,PASS,
4975,4_leg_height_gain_sched,,2026-03-19 14:00:35,0.222304,0.035546,0.413976,0.055305,,,27.2572,54.7214,,,,,0.118,,,,,,200.381439,FAIL,fell over
4976,4_leg_height_gain_sched,,2026-03-19 14:00:35,0.540258,0.02783,0.513566,7.365981,,,26.3547,56.6191,,,,,0.152,,,,,,200.427969,FAIL,fell over
4977,4_leg_height_gain_sched,,2026-03-19 14:00:35,0.364111,0.128887,0.008031,0.140566,,,16.9064,31.5098,,,,,0.224,,,,,,200.678659,FAIL,fell over
4978,4_leg_height_gain_sched,,2026-03-19 14:00:35,4.567189,2.336025,0.00324,0.499605,,,10.3215,59.1323,,,,,4.62,,,,,,200.74406,FAIL,fell over
4979,4_leg_height_gain_sched,,2026-03-19 14:00:36,0.001,0.048628,0.002908,1.490999,,,3.5834,12.341,,,,,12.0,,,,,,0.155999,PASS,
4980,4_leg_height_gain_sched,,2026-03-19 14:00:36,0.018937,0.008722,0.002428,1.420382,,,3.9998,13.9122,,,,,12.0,,,,,,0.172791,PASS,
4980,4_leg_height_gain_sched,,2026-03-19 14:00:36,0.940425,0.025642,0.013014,77.156588,,,2.3798,6.5697,,,,,12.0,,,,,,0.07444,PASS,
4981,4_leg_height_gain_sched,,2026-03-19 14:00:36,0.451248,0.022095,6.6e-05,5.90314,,,1.7899,5.169,,,,,12.0,,,,,,0.044686,PASS,
4982,4_leg_height_gain_sched,,2026-03-19 14:00:36,0.538732,0.021913,0.004425,0.233322,,,21.9367,56.5787,,,,,0.236,,,,,,200.507958,FAIL,fell over
4983,4_leg_height_gain_sched,,2026-03-19 14:00:36,0.990891,0.006431,0.123426,11.470398,,,16.5112,31.5188,,,,,0.242,,,,,,200.615826,FAIL,fell over
4984,4_leg_height_gain_sched,,2026-03-19 14:00:36,0.070282,0.586569,0.080581,5.989648,,,17.2846,31.1823,,,,,0.252,,,,,,200.625356,FAIL,fell over
4985,4_leg_height_gain_sched,,2026-03-19 14:00:37,1.588417,0.035854,0.005228,3.544692,,,3.7306,12.8154,,,,,12.0,,,,,,0.158361,PASS,
4986,4_leg_height_gain_sched,,2026-03-19 14:00:37,0.016163,0.828381,0.003083,2.945123,,,3.5075,10.1105,,,,,12.0,,,,,,0.136179,PASS,
4987,4_leg_height_gain_sched,,2026-03-19 14:00:37,0.063424,0.000219,1.1e-05,1.980419,,,1.7738,5.1658,,,,,12.0,,,,,,0.044589,PASS,
4987,4_leg_height_gain_sched,,2026-03-19 14:00:37,0.061695,0.301918,0.001448,8.12536,,,2.2907,5.6706,,,,,12.0,,,,,,0.072334,PASS,
4988,4_leg_height_gain_sched,,2026-03-19 14:00:37,1.93832,0.004686,6.5e-05,0.659613,,,2.0915,5.1729,,,,,12.0,,,,,,0.064387,PASS,
4989,4_leg_height_gain_sched,,2026-03-19 14:00:37,3.149482,0.019363,0.000308,0.013394,,,12.2467,32.5612,,,,,0.218,,,,,,200.290258,FAIL,fell over
4990,4_leg_height_gain_sched,,2026-03-19 14:00:38,0.259199,0.254045,0.000781,2.536682,,,2.5782,7.251,,,,,12.0,,,,,,0.087538,PASS,
4991,4_leg_height_gain_sched,,2026-03-19 14:00:38,0.947589,0.016712,0.003624,0.675064,,,6.1996,21.5275,,,,,12.0,,,,,,0.37688,PASS,
4992,4_leg_height_gain_sched,,2026-03-19 14:00:38,2.250801,3.131041,8e-05,41.596675,,,1.7952,5.1753,,,,,12.0,,,,,,0.046055,PASS,
4993,4_leg_height_gain_sched,,2026-03-19 14:00:38,0.447784,0.028591,0.021839,12.339874,,,4.0603,13.932,,,,,12.0,,,,,,0.17187,PASS,
4994,4_leg_height_gain_sched,,2026-03-19 14:00:38,0.065665,0.07332,0.000657,8.920899,,,2.0174,5.1815,,,,,12.0,,,,,,0.059468,PASS,
4995,4_leg_height_gain_sched,,2026-03-19 14:00:38,0.063126,0.068266,0.000605,1.575597,,,2.785,8.1294,,,,,12.0,,,,,,0.095428,PASS,
4996,4_leg_height_gain_sched,,2026-03-19 14:00:38,35.953246,0.002851,0.011508,1000.0,,,1.8012,5.1629,,,,,12.0,,,,,,0.048332,PASS,
4997,4_leg_height_gain_sched,,2026-03-19 14:00:38,1.417314,0.002025,0.071968,0.225966,,,27.9764,53.7491,,,,,0.108,,,,,,200.396504,FAIL,fell over
4998,4_leg_height_gain_sched,,2026-03-19 14:00:38,0.914295,0.092032,0.012242,0.490101,,,27.7714,55.5894,,,,,0.168,,,,,,200.313103,FAIL,fell over
4999,4_leg_height_gain_sched,,2026-03-19 14:00:38,0.268918,0.120501,0.035992,3.998306,,,20.5477,36.8428,,,,,0.292,,,,,,200.722886,FAIL,fell over
5000,4_leg_height_gain_sched,,2026-03-19 14:00:39,0.164761,0.638615,0.003086,1.195717,,,4.8192,14.831,,,,,12.0,,,,,,0.22467,PASS,
5000,4_leg_height_gain_sched,,2026-03-19 14:00:39,0.01477,0.003785,0.000295,0.643021,,,3.0361,9.1857,,,,,12.0,,,,,,0.10657,PASS,
5001,4_leg_height_gain_sched,,2026-03-19 14:00:39,0.21836,0.005734,0.00403,7.138415,,,3.2097,10.9778,,,,,12.0,,,,,,0.112589,PASS,
5002,4_leg_height_gain_sched,,2026-03-19 14:00:39,0.281176,0.102942,0.004623,1.836019,,,4.7111,17.2184,,,,,12.0,,,,,,0.216047,PASS,
5002,4_leg_height_gain_sched,,2026-03-19 14:00:39,1.35818,0.152501,0.003533,63.455313,,,1.9943,5.1803,,,,,12.0,,,,,,0.0586,PASS,
5003,4_leg_height_gain_sched,,2026-03-19 14:00:39,0.108709,0.00245,0.141958,0.054131,,,27.8463,53.2501,,,,,0.1,,,,,,200.414476,FAIL,fell over
5004,4_leg_height_gain_sched,,2026-03-19 14:00:39,36.373275,0.03924,0.036719,0.670494,,,21.472,37.919,,,,,0.282,,,,,,200.741121,FAIL,fell over
