run_id,scenario,label,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,6_YAW_PI_turn,evo_seed,2026-03-19 18:07:30,,,,,,,5.98,9.619,18.2714,4.206,2.7756,8.0,8.0,,,,,,2.2891,PASS,
3,6_YAW_PI_turn,evo_g000000_c1,2026-03-19 18:07:31,,,,,,,5.5775,10.2731,15.6068,3.05,2.2799,8.0,8.0,,,,,,2.3763,PASS,
2,6_YAW_PI_turn,evo_g000000_c0,2026-03-19 18:07:31,,,,,,,5.7951,9.4943,16.2942,3.484,2.5448,8.0,8.0,,,,,,2.7929,PASS,
5,6_YAW_PI_turn,evo_g000000_c3,2026-03-19 18:07:31,,,,,,,5.9168,10.9011,17.2665,3.124,2.9483,8.0,8.0,,,,,,2.6236,PASS,
7,6_YAW_PI_turn,evo_g000000_c5,2026-03-19 18:07:31,,,,,,,5.3656,11.7108,14.9515,3.616,2.5456,0.702,8.0,,,,,,2.5544,PASS,
4,6_YAW_PI_turn,evo_g000000_c2,2026-03-19 18:07:31,,,,,,,5.7727,9.3335,17.6911,3.836,2.8032,8.0,8.0,,,,,,2.3956,PASS,
8,6_YAW_PI_turn,evo_g000000_c6,2026-03-19 18:07:31,,,,,,,4.9869,9.9471,15.5167,3.922,2.4793,8.0,8.0,,,,,,2.4811,PASS,
6,6_YAW_PI_turn,evo_g000000_c4,2026-03-19 18:07:31,,,,,,,4.9997,10.007,15.4743,3.694,2.5581,8.0,8.0,,,,,,2.4638,PASS,
9,6_YAW_PI_turn,evo_g000000_c7,2026-03-19 18:07:31,,,,,,,5.7093,10.7486,17.74,3.692,2.9459,8.0,8.0,,,,,,2.295,PASS,
10,6_YAW_PI_turn,evo_g000001_c0,2026-03-19 18:07:32,,,,,,,5.7423,12.5899,17.6124,3.624,2.6465,8.0,8.0,,,,,,2.5815,PASS,
14,6_YAW_PI_turn,evo_g000001_c4,2026-03-19 18:07:32,,,,,,,5.8443,9.5109,20.1843,4.24,3.2009,8.0,8.0,,,,,,2.5134,PASS,
15,6_YAW_PI_turn,evo_g000001_c5,2026-03-19 18:07:32,,,,,,,4.8185,12.1234,15.8581,5.398,2.3707,8.0,8.0,,,,,,3.2881,PASS,
12,6_YAW_PI_turn,evo_g000001_c2,2026-03-19 18:07:32,,,,,,,5.8413,10.3459,16.4756,3.236,2.7788,8.0,8.0,,,,,,2.4708,PASS,
13,6_YAW_PI_turn,evo_g000001_c3,2026-03-19 18:07:32,,,,,,,5.8165,10.3361,19.5991,3.646,3.0142,8.0,8.0,,,,,,2.5202,PASS,
16,6_YAW_PI_turn,evo_g000001_c6,2026-03-19 18:07:32,,,,,,,5.2286,10.4808,14.8177,4.072,2.6555,8.0,8.0,,,,,,3.0885,PASS,
11,6_YAW_PI_turn,evo_g000001_c1,2026-03-19 18:07:32,,,,,,,5.9509,11.1226,18.7706,3.39,2.8158,8.0,8.0,,,,,,2.6306,PASS,
17,6_YAW_PI_turn,evo_g000001_c7,2026-03-19 18:07:32,,,,,,,5.2216,12.4903,19.8617,5.008,2.9111,6.946,8.0,,,,,,2.8547,PASS,
25,6_YAW_PI_turn,evo_g000002_c7,2026-03-19 18:07:32,,,,,,,5.0909,12.3358,18.1877,4.814,2.7354,8.0,8.0,,,,,,3.1467,PASS,
23,6_YAW_PI_turn,evo_g000002_c5,2026-03-19 18:07:32,,,,,,,5.8745,10.9602,17.787,3.724,2.7491,8.0,8.0,,,,,,2.7784,PASS,
20,6_YAW_PI_turn,evo_g000002_c2,2026-03-19 18:07:32,,,,,,,6.0228,9.6137,17.531,3.314,2.6894,8.0,8.0,,,,,,2.297,PASS,
19,6_YAW_PI_turn,evo_g000002_c1,2026-03-19 18:07:32,,,,,,,5.7099,8.8069,17.6838,3.892,2.5692,8.0,8.0,,,,,,2.371,PASS,
18,6_YAW_PI_turn,evo_g000002_c0,2026-03-19 18:07:32,,,,,,,5.6049,10.2873,19.1991,4.25,3.0852,8.0,8.0,,,,,,2.4877,PASS,
22,6_YAW_PI_turn,evo_g000002_c4,2026-03-19 18:07:32,,,,,,,4.8598,10.164,17.4062,4.286,2.8038,8.0,8.0,,,,,,3.1173,PASS,
21,6_YAW_PI_turn,evo_g000002_c3,2026-03-19 18:07:32,,,,,,,5.7901,10.6099,21.0141,4.194,3.4741,8.0,8.0,,,,,,2.7978,PASS,
24,6_YAW_PI_turn,evo_g000002_c6,2026-03-19 18:07:32,,,,,,,5.4958,9.4007,19.3704,4.038,3.1475,8.0,8.0,,,,,,2.571,PASS,
30,6_YAW_PI_turn,evo_g000003_c4,2026-03-19 18:07:33,,,,,,,5.8386,9.6253,18.3097,4.416,2.7872,8.0,8.0,,,,,,2.3431,PASS,
28,6_YAW_PI_turn,evo_g000003_c2,2026-03-19 18:07:33,,,,,,,5.6037,8.9062,15.5866,3.56,2.3423,8.0,8.0,,,,,,2.2836,PASS,
27,6_YAW_PI_turn,evo_g000003_c1,2026-03-19 18:07:33,,,,,,,5.7551,12.0978,16.9514,3.176,2.5357,8.0,8.0,,,,,,2.3107,PASS,
26,6_YAW_PI_turn,evo_g000003_c0,2026-03-19 18:07:33,,,,,,,5.9264,10.8471,17.464,3.4,2.9773,8.0,8.0,,,,,,2.4712,PASS,
29,6_YAW_PI_turn,evo_g000003_c3,2026-03-19 18:07:33,,,,,,,5.6354,9.8071,16.5389,3.44,2.4829,8.0,8.0,,,,,,2.4994,PASS,
33,6_YAW_PI_turn,evo_g000003_c7,2026-03-19 18:07:33,,,,,,,5.725,10.2715,15.8833,2.84,2.3923,8.0,8.0,,,,,,2.4214,PASS,
32,6_YAW_PI_turn,evo_g000003_c6,2026-03-19 18:07:33,,,,,,,4.762,13.1223,21.1467,4.654,3.7889,8.0,8.0,,,,,,5.2204,PASS,
31,6_YAW_PI_turn,evo_g000003_c5,2026-03-19 18:07:33,,,,,,,5.7496,10.0076,17.0127,4.01,2.8467,8.0,8.0,,,,,,2.4632,PASS,
35,6_YAW_PI_turn,evo_g000004_c1,2026-03-19 18:07:34,,,,,,,5.76,9.9633,18.4225,3.982,2.9006,8.0,8.0,,,,,,2.928,PASS,
34,6_YAW_PI_turn,evo_g000004_c0,2026-03-19 18:07:34,,,,,,,4.6789,11.333,15.0987,4.29,2.3649,2.806,8.0,,,,,,2.7542,PASS,
41,6_YAW_PI_turn,evo_g000004_c7,2026-03-19 18:07:34,,,,,,,5.6364,9.9591,14.2232,3.698,2.3814,8.0,8.0,,,,,,2.6159,PASS,
