run_id,scenario,label,gen,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KFF_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,hip_track_rms_rad,hip_cmd_rate_rms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,s01_lqr_pitch_step,evo_seed,0,,5.40254,0.033408,0.00165213,39.647,,,,,,,,,,3.6701,5.3476,2.0045,0.09,0.4473,0.309395,0.0,0.326,5.0,,,,,,8.688875,PASS,
2,s01_lqr_pitch_step,g000000_c0,0,,1.8121176577556894,0.1845708753769099,0.0003273433539180759,100.0,,,,,,,,,,3.568,5.1787,2.3667,0.074,0.4795,0.309196,0.0,0.318,5.0,,,,,,7.412125,PASS,
3,s01_lqr_pitch_step,g000000_c1,0,,49.99999999999999,0.011235224507674288,0.0016315173865605196,100.0,,,,,,,,,,3.62,5.2647,2.3812,0.084,0.5359,0.309181,0.0,0.316,5.0,,,,,,8.082475,PASS,
4,s01_lqr_pitch_step,g000000_c2,0,,1.5740235799806934,0.025325741602827932,0.0007039955657258614,100.0,,,,,,,,,,3.5851,5.2101,2.3568,0.076,0.4635,0.309129,0.0,0.316,5.0,,,,,,7.5711,PASS,
5,s01_lqr_pitch_step,g000000_c3,0,,1.4982820295649508,0.005567927816154234,1.0886352701563236e-05,100.0,,,,,,,,,,3.5424,5.138,2.0333,0.078,0.4638,0.309413,0.0,0.336,5.0,,,,,,7.050975,PASS,
6,s01_lqr_pitch_step,g000000_c4,0,,10.529773812268926,0.35772677743846737,0.003810663245053215,100.0,,,,,,,,,,3.6617,5.3441,2.2193,0.088,0.4721,0.309402,0.0,0.318,5.0,,,,,,8.469875,PASS,
7,s01_lqr_pitch_step,g000000_c5,0,,3.1886965111716514,0.11327191417312754,0.0010901032282595847,19.161077048290608,,,,,,,,,,3.6948,5.3837,1.8501,0.096,0.4169,0.309565,0.0,0.338,5.0,,,,,,9.2147,PASS,
8,s01_lqr_pitch_step,g000000_c6,0,,49.99999999999999,0.02136910951220947,0.00036754821329121513,77.27096819343942,,,,,,,,,,3.5757,5.1946,2.3642,0.076,0.4655,0.309071,0.0,0.316,5.0,,,,,,7.5868,PASS,
9,s01_lqr_pitch_step,g000000_c7,0,,1.1285612466336397,0.14041603577913414,0.001199926194461294,100.0,,,,,,,,,,3.6004,5.2417,2.3657,0.074,0.4749,0.309167,0.0,0.314,5.0,,,,,,7.636225,PASS,
10,s01_lqr_pitch_step,g000001_c0,1,,0.7806731815338238,0.001,0.00015909464794728912,100.0,,,,,,,,,,3.5627,5.1604,2.1058,0.078,0.487,0.309314,0.0,0.33,5.0,,,,,,7.23695,PASS,
11,s01_lqr_pitch_step,g000001_c1,1,,4.835386000812113,0.005323657548768555,1.1593036759456106e-05,12.048820571063002,,,,,,,,,,3.5578,5.154,2.0709,0.08,0.475,0.309291,0.0,0.332,5.0,,,,,,7.255925,PASS,
12,s01_lqr_pitch_step,g000001_c2,1,,0.8798851825889594,0.0034927145173412034,2.6383605815395728e-06,100.0,,,,,,,,,,3.5377,5.1376,2.052,0.08,0.4689,0.309527,0.0,0.336,5.0,,,,,,7.159125,PASS,
13,s01_lqr_pitch_step,g000001_c3,1,,0.17131913266319593,0.0032429887010853287,4.53386105704629e-05,69.07536764446544,,,,,,,,,,3.5482,5.1512,2.1896,0.072,0.4684,0.309198,0.0,0.326,5.0,,,,,,7.236825,PASS,
14,s01_lqr_pitch_step,g000001_c4,1,,0.4650245322572868,0.004733273120300822,5.082710230358388e-06,13.726054764251275,,,,,,,,,,3.5473,5.1428,2.1036,0.076,0.4913,0.309264,0.0,0.332,5.0,,,,,,7.108675,PASS,
15,s01_lqr_pitch_step,g000001_c5,1,,1.214852481492791,0.01154369231255711,1.47178367949811e-07,21.784204531088687,,,,,,,,,,3.5391,5.1372,2.0588,0.08,0.4677,0.309353,0.0,0.338,5.0,,,,,,6.991025,PASS,
16,s01_lqr_pitch_step,g000001_c6,1,,14.632770879014451,0.001,7.732268163618323e-07,63.14829126683496,,,,,,,,,,3.5348,5.1342,2.0741,0.076,0.4759,0.309408,0.0,0.332,5.0,,,,,,7.13275,PASS,
17,s01_lqr_pitch_step,g000001_c7,1,,1.9285880999194394,0.027477009428059418,3.1239464546544837e-06,17.138842936110436,,,,,,,,,,3.5426,5.1429,2.0805,0.078,0.4732,0.309296,0.0,0.332,5.0,,,,,,7.1072,PASS,
18,s01_lqr_pitch_step,g000002_c0,2,,0.18786413776064723,0.0820925951855731,1.9972184338162008e-05,1.7964735119485664,,,,,,,,,,3.6022,5.2391,2.3021,0.086,0.4568,0.309239,0.0,0.318,5.0,,,,,,8.134275,PASS,
19,s01_lqr_pitch_step,g000002_c1,2,,0.022955595645315404,0.11333094213030834,1.5813815931531517e-06,6.499242094497018,,,,,,,,,,3.5441,5.1453,2.0486,0.076,0.4645,0.309344,0.0,0.332,5.0,,,,,,7.1926,PASS,
20,s01_lqr_pitch_step,g000002_c2,2,,3.204235482965667,0.07344286767622572,1e-07,12.461679402247773,,,,,,,,,,3.5341,5.1364,2.0591,0.078,0.4679,0.309372,0.0,0.332,5.0,,,,,,7.17055,PASS,
21,s01_lqr_pitch_step,g000002_c3,2,,1.54950634244079,0.19993634403977403,1e-07,0.8972062978487882,,,,,,,,,,3.5486,5.1548,2.153,0.096,0.5027,0.3095,0.0,0.342,5.0,,,,,,9.3106,PASS,
22,s01_lqr_pitch_step,g000002_c4,2,,30.364649386807898,0.029413682883182024,3.033542586137052e-07,100.0,,,,,,,,,,3.535,5.1368,2.0883,0.074,0.4881,0.30948,0.0,0.336,5.0,,,,,,7.06665,PASS,
23,s01_lqr_pitch_step,g000002_c5,2,,0.29558274349612634,0.001,2.159429743293681e-07,24.8651931861184,,,,,,,,,,3.5334,5.1356,2.1317,0.076,0.4864,0.309425,0.0,0.332,5.0,,,,,,7.142125,PASS,
24,s01_lqr_pitch_step,g000002_c6,2,,1.5631996130427588,0.001,1e-07,8.591216503646464,,,,,,,,,,3.5332,5.1357,2.0779,0.072,0.4732,0.309439,0.0,0.332,5.0,,,,,,7.13475,PASS,
25,s01_lqr_pitch_step,g000002_c7,2,,1.4183444734709876,0.5698511243114095,3.050530305343819e-06,44.93677305031002,,,,,,,,,,3.5402,5.1375,2.0539,0.078,0.4658,0.309278,0.0,0.332,5.0,,,,,,7.124075,PASS,
26,s01_lqr_pitch_step,g000003_c0,3,,0.030754955881943463,0.0062018890987701365,1e-07,8.756161732933515,,,,,,,,,,3.5355,5.1381,2.0984,0.078,0.4736,0.3093,0.0,0.332,5.0,,,,,,7.098675,PASS,
27,s01_lqr_pitch_step,g000003_c1,3,,0.875483637406134,0.021262591029520966,3.381218218388259e-07,0.5339207452445951,,,,,,,,,,3.546,5.1491,2.3299,0.074,0.4855,0.309159,0.0,0.322,5.0,,,,,,7.726725,PASS,
28,s01_lqr_pitch_step,g000003_c2,3,,4.687922405298737,0.04941081943395417,5.7453811988697324e-06,36.23280450784782,,,,,,,,,,3.542,5.1427,2.0877,0.078,0.4743,0.30938,0.0,0.332,5.0,,,,,,7.213925,PASS,
29,s01_lqr_pitch_step,g000003_c3,3,,49.99999999999999,0.002242647527765039,7.278788626843699e-07,62.593468457227345,,,,,,,,,,3.5325,5.1354,2.2063,0.074,0.4771,0.309374,0.0,0.328,5.0,,,,,,7.38735,PASS,
30,s01_lqr_pitch_step,g000003_c4,3,,6.48265231431618,0.1936644800235588,1e-07,96.49476113184542,,,,,,,,,,3.532,5.1352,2.0901,0.078,0.4692,0.309314,0.0,0.33,5.0,,,,,,7.14605,PASS,
31,s01_lqr_pitch_step,g000003_c5,3,,12.041011290679034,0.16346346399861514,1e-07,100.0,,,,,,,,,,3.5324,5.1353,2.0853,0.076,0.4728,0.309332,0.0,0.332,5.0,,,,,,7.060675,PASS,
32,s01_lqr_pitch_step,g000003_c6,3,,1.7665847114910191,0.0018603443502371736,1e-07,100.0,,,,,,,,,,3.5328,5.1378,2.0697,0.07,0.4684,0.30928,0.0,0.332,5.0,,,,,,6.918225,PASS,
