run_id,scenario,label,gen,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KFF_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,hip_track_rms_rad,hip_cmd_rate_rms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,s03_vel_pi_disturbance,evo_seed,0,,,,,,0.05,0.1,0.108498,,,,,,,3.2953,4.497,0.9703,0.0,0.1911,0.005204,0.0,0.0,6.002,,,,,,200.985765,FAIL,vel error exceeded
2,s03_vel_pi_disturbance,g000000_c0,0,,,,,,0.001,0.13295625489328627,0.11222578828947145,,,,,,,3.7847,5.8367,1.4312,0.0,0.2842,0.005226,0.0,0.0,6.002,,,,,,201.471862,FAIL,vel error exceeded
3,s03_vel_pi_disturbance,g000000_c1,0,,,,,,0.6288951275880355,0.006917816550214033,1.2,,,,,,,2.6339,2.7458,0.4171,0.0,0.0728,0.005171,0.0,12.0,6.01,,,,,,200.406675,FAIL,vel error exceeded
4,s03_vel_pi_disturbance,g000000_c2,0,,,,,,0.001169421683726115,2.4146406493744847,1.2,,,,,,,6.6518,10.8616,0.1631,0.0,0.3501,0.005259,0.0,12.0,1.244,,,,,,202.125503,FAIL,vel error exceeded
5,s03_vel_pi_disturbance,g000000_c3,0,,,,,,0.0027760451805888433,0.1139893267802822,0.8460521318932227,,,,,,,3.842,5.6985,1.4289,0.0,0.2842,0.005233,0.0,0.0,6.002,,,,,,201.464808,FAIL,vel error exceeded
6,s03_vel_pi_disturbance,g000000_c4,0,,,,,,1.4048990417572973,0.04754625132483359,0.1,,,,,,,2.9415,6.5534,0.0199,0.0,0.0,0.003879,0.0,12.0,0.106,,,,,,201.847635,FAIL,vel error exceeded
7,s03_vel_pi_disturbance,g000000_c5,0,,,,,,0.10531660374064213,8.337700057720506,0.10492977500048917,,,,,,,14.2461,25.3188,0.1033,0.0,0.0,0.005436,0.0,12.0,0.62,,,,,,201.25649,FAIL,vel error exceeded
8,s03_vel_pi_disturbance,g000000_c6,0,,,,,,0.001109038807558854,0.001,0.22034084721937994,,,,,,,0.1698,0.2998,0.4909,0.0,0.3889,0.004889,0.0,0.0,1.926,,,,,,201.95218,FAIL,vel error exceeded
9,s03_vel_pi_disturbance,g000000_c7,0,,,,,,0.30054134709451225,3.0116458834518514,0.2939065147449273,,,,,,,5.7452,9.6911,0.1745,0.0,0.2455,0.004922,0.0,12.0,1.286,,,,,,201.90242,FAIL,vel error exceeded
10,s03_vel_pi_disturbance,g000001_c0,1,,,,,,0.10056193864165187,0.045517598269875455,0.2976662382970604,,,,,,,2.8148,3.4522,1.0784,0.0,0.2056,0.005173,0.0,0.0,6.01,,,,,,201.052575,FAIL,vel error exceeded
