run_id,scenario,label,gen,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KFF_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,hip_track_rms_rad,hip_cmd_rate_rms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,s05_vel_pi_leg_cycling,evo_seed,0,,,,,,0.0012179142,0.27618081,1.2,,,,,,,13.2754,19.0005,12.4371,0.0,1.5548,0.008955,0.358,0.196,13.0,,,,,,5.99194,PASS,
2,s05_vel_pi_leg_cycling,g000000_c0,0,,,,,,0.0022938128305117814,7.096884106461484,1.2,,,,,,,26.1854,32.1446,21.1577,0.0,2.2807,0.009212,0.358,13.0,13.0,,,,,,9.46064,PASS,
3,s05_vel_pi_leg_cycling,g000000_c1,0,,,,,,0.0043115084573228215,0.10511979752413672,1.2,,,,,,,5.7669,9.3669,9.2946,0.0,1.2237,0.008974,0.358,0.194,13.0,,,,,,4.24779,PASS,
4,s05_vel_pi_leg_cycling,g000000_c2,0,,,,,,0.001,0.07026157706528514,1.2,,,,,,,3.9295,6.9413,9.7384,0.0,1.158,0.009,0.358,0.194,13.0,,,,,,3.86695,PASS,
5,s05_vel_pi_leg_cycling,g000000_c3,0,,,,,,0.02181236518996696,1.2722710992809652,0.10580978084430682,,,,,,,23.4658,32.0949,16.8172,0.0,2.0459,0.009403,0.358,0.21,13.0,,,,,,8.48428,PASS,
6,s05_vel_pi_leg_cycling,g000000_c4,0,,,,,,0.001,0.009247717212275509,1.2,,,,,,,1.862,3.6551,13.974,0.0,1.3609,0.009049,0.358,0.192,13.0,,,,,,4.2689,PASS,
7,s05_vel_pi_leg_cycling,g000000_c5,0,,,,,,0.001,0.0010678937852852024,0.1,,,,,,,1.6458,3.2471,15.0924,0.0,1.4475,0.009051,0.358,0.192,13.0,,,,,,4.50708,PASS,
8,s05_vel_pi_leg_cycling,g000000_c6,0,,,,,,0.001,3.3566219578427385,0.8715136258086015,,,,,,,24.424,32.2562,17.4797,0.0,2.013,0.009352,0.358,13.0,13.0,,,,,,8.4814,PASS,
9,s05_vel_pi_leg_cycling,g000000_c7,0,,,,,,0.013673435309658349,0.35780185177091367,1.2,,,,,,,16.7847,25.5221,13.8502,0.0,1.6726,0.00905,0.358,0.196,13.0,,,,,,6.69627,PASS,
10,s05_vel_pi_leg_cycling,g000001_c0,1,,,,,,0.001,0.01315773294354734,1.2,,,,,,,1.9754,3.8535,13.5249,0.0,1.3258,0.009047,0.358,0.192,13.0,,,,,,4.17494,PASS,
11,s05_vel_pi_leg_cycling,g000001_c1,1,,,,,,0.001,10.0,1.2,,,,,,,24.5684,31.0656,19.511,0.0,1.6451,0.01001,0.358,13.0,13.0,,,,,,7.39214,PASS,
12,s05_vel_pi_leg_cycling,g000001_c2,1,,,,,,0.0012036085224873545,0.007305958743083744,0.1,,,,,,,1.8209,3.5788,14.1836,0.0,1.3748,0.009049,0.358,0.194,13.0,,,,,,4.30649,PASS,
13,s05_vel_pi_leg_cycling,g000001_c3,1,,,,,,0.001,0.7972493232455644,0.1,,,,,,,21.1139,32.0235,16.4183,0.0,1.8108,0.009378,0.358,0.206,13.0,,,,,,7.54379,PASS,
14,s05_vel_pi_leg_cycling,g000001_c4,1,,,,,,0.0025731452313846243,0.001227333739006348,0.5644139159020144,,,,,,,1.7316,3.4548,14.549,0.0,1.4001,0.009049,0.358,0.192,13.0,,,,,,4.37346,PASS,
