run_id,scenario,label,gen,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,hip_track_rms_rad,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,s06_yaw_pi_turn,evo_seed,0,,,,,,,,0.338701,0.0126353,,,,,4.0403,8.4453,2.0606,0.0,0.3331,0.009977,0.12,8.0,,,,,,0.54803,PASS,
2,s06_yaw_pi_turn,g000000_c0,0,,,,,,,,1.8058996577597761,0.045969597886300125,,,,,4.0374,8.4405,2.0634,0.0,0.3335,0.009974,0.0,8.0,,,,,,0.48384,PASS,
3,s06_yaw_pi_turn,g000000_c1,0,,,,,,,,0.5018529710539953,1.8303732390303045,,,,,4.0378,8.4102,2.0634,0.0,0.3332,0.009977,0.124,8.0,,,,,,0.48928,PASS,
4,s06_yaw_pi_turn,g000000_c2,0,,,,,,,,0.15731680533680084,0.0020737119279022,,,,,4.044,8.4115,2.0637,0.0,0.3338,0.009977,0.122,8.0,,,,,,0.6762,PASS,
5,s06_yaw_pi_turn,g000000_c3,0,,,,,,,,0.6607837100427915,0.005548806441621894,,,,,4.0369,8.4188,2.0605,0.0,0.3332,0.009977,0.122,8.0,,,,,,0.50329,PASS,
6,s06_yaw_pi_turn,g000000_c4,0,,,,,,,,0.03207315413525047,0.027955110623456812,,,,,4.0405,8.4484,2.0631,0.0,0.3335,0.009976,0.072,8.0,,,,,,0.81355,PASS,
7,s06_yaw_pi_turn,g000000_c5,0,,,,,,,,0.01692933494988729,0.04099151874038441,,,,,4.0329,8.4449,2.0618,0.0,0.3332,0.009975,0.0,8.0,,,,,,0.85869,PASS,
8,s06_yaw_pi_turn,g000000_c6,0,,,,,,,,0.1423582336151869,0.044895347451915826,,,,,4.0397,8.4157,2.0616,0.0,0.3333,0.009977,0.124,8.0,,,,,,0.59927,PASS,
9,s06_yaw_pi_turn,g000000_c7,0,,,,,,,,0.007549533620819526,0.18101631630521098,,,,,4.0359,8.4103,2.0624,0.0,0.3331,0.009977,0.128,8.0,,,,,,0.84219,PASS,
10,s06_yaw_pi_turn,g000001_c0,1,,,,,,,,9.799644331092958,0.01080177573889419,,,,,8.3035,18.0008,46.8733,0.0,7.0209,0.013303,8.0,8.0,,,,,,1.47865,PASS,
11,s06_yaw_pi_turn,g000001_c1,1,,,,,,,,0.1721659283152359,0.012410685277453253,,,,,4.0434,8.4541,2.0631,0.0,0.3337,0.009977,0.112,8.0,,,,,,0.62814,PASS,
12,s06_yaw_pi_turn,g000001_c2,1,,,,,,,,7.064927154212861,0.41187018755349375,,,,,8.3512,19.1457,46.6433,0.0,7.0005,0.013283,8.0,8.0,,,,,,1.46512,PASS,
13,s06_yaw_pi_turn,g000001_c3,1,,,,,,,,0.48854986865665084,0.00010129214776460832,,,,,4.04,8.4476,2.0616,0.0,0.3334,0.009977,0.116,8.0,,,,,,0.5228,PASS,
14,s06_yaw_pi_turn,g000001_c4,1,,,,,,,,2.8342908617076645,0.08515360616048938,,,,,4.0358,8.425,2.0615,0.0,0.3329,0.009977,0.124,8.0,,,,,,0.48218,PASS,
15,s06_yaw_pi_turn,g000001_c5,1,,,,,,,,96.71939707588871,14.54016852445342,,,,,8.4033,19.0382,48.1859,0.0,7.1397,0.013425,8.0,8.0,,,,,,1.55553,PASS,
16,s06_yaw_pi_turn,g000001_c6,1,,,,,,,,95.7745028482457,0.4985673601761935,,,,,8.5945,19.553,48.1319,0.0,7.0721,0.013398,8.0,8.0,,,,,,1.58425,PASS,
17,s06_yaw_pi_turn,g000001_c7,1,,,,,,,,0.019203829594895434,0.015364296921902429,,,,,4.0543,8.4519,2.0693,0.0,0.3347,0.009978,0.112,8.0,,,,,,1.12963,PASS,
18,s06_yaw_pi_turn,g000002_c0,2,,,,,,,,1.8525582009416868,3.599308846387242,,,,,4.0359,8.4405,2.0595,0.0,0.3331,0.009976,0.098,8.0,,,,,,0.48129,PASS,
19,s06_yaw_pi_turn,g000002_c1,2,,,,,,,,3.749576079953775,0.0003419929444544396,,,,,4.0369,8.4147,2.0612,0.0,0.333,0.009977,0.122,8.0,,,,,,0.48199,PASS,
20,s06_yaw_pi_turn,g000002_c2,2,,,,,,,,25.968466836922087,1.1866159293524807,,,,,8.4995,18.6259,47.5068,0.0,7.0426,0.013374,8.0,8.0,,,,,,1.53335,PASS,
21,s06_yaw_pi_turn,g000002_c3,2,,,,,,,,0.6492988530799519,16.12059791606923,,,,,4.0356,8.4285,2.0604,0.0,0.3332,0.009975,0.0,8.0,,,,,,0.48606,PASS,
22,s06_yaw_pi_turn,g000002_c4,2,,,,,,,,1.7687443201677095,0.36010019714941643,,,,,4.0355,8.4382,2.062,0.0,0.3333,0.009976,0.094,8.0,,,,,,0.48215,PASS,
23,s06_yaw_pi_turn,g000002_c5,2,,,,,,,,1.6387734369819578,0.08573519129919126,,,,,4.0379,8.4412,2.0613,0.0,0.3331,0.009977,0.124,8.0,,,,,,0.48389,PASS,
24,s06_yaw_pi_turn,g000002_c6,2,,,,,,,,0.07823785276161717,0.7871135807241731,,,,,4.0347,8.4261,2.0621,0.0,0.3331,0.009976,0.108,8.0,,,,,,0.59847,PASS,
25,s06_yaw_pi_turn,g000002_c7,2,,,,,,,,0.23930307604476256,1.0605238680743496,,,,,4.0362,8.4349,2.0617,0.0,0.3331,0.009976,0.108,8.0,,,,,,0.52152,PASS,
26,s06_yaw_pi_turn,g000003_c0,3,,,,,,,,0.10260457648522314,3.6805072704207498,,,,,4.0367,8.4233,2.0601,0.0,0.3331,0.009977,0.128,8.0,,,,,,0.57467,PASS,
27,s06_yaw_pi_turn,g000003_c1,3,,,,,,,,2.1782107914214626,9.61571510127794,,,,,4.0329,8.4363,2.0599,0.0,0.333,0.009976,0.108,8.0,,,,,,0.48159,PASS,
28,s06_yaw_pi_turn,g000003_c2,3,,,,,,,,1.2432418462844759,7.090472990550393,,,,,4.0361,8.4279,2.0593,0.0,0.333,0.009976,0.08,8.0,,,,,,0.48191,PASS,
29,s06_yaw_pi_turn,g000003_c3,3,,,,,,,,1.9478223995992905,9.05429030553544,,,,,4.0364,8.4368,2.0614,0.0,0.3333,0.009976,0.104,8.0,,,,,,0.48164,PASS,
30,s06_yaw_pi_turn,g000003_c4,3,,,,,,,,7.263134008046075,0.8690461331818488,,,,,8.3898,17.8087,46.8161,0.0,6.9274,0.013334,8.0,8.0,,,,,,1.51218,PASS,
31,s06_yaw_pi_turn,g000003_c5,3,,,,,,,,9.745708865079887,38.562118152815174,,,,,8.6052,20.785,46.9427,0.0,7.0129,0.013337,8.0,8.0,,,,,,1.49412,PASS,
32,s06_yaw_pi_turn,g000003_c6,3,,,,,,,,3.966945463661591,0.0795541034158745,,,,,4.0368,8.4308,2.0616,0.0,0.333,0.009977,0.122,8.0,,,,,,0.48198,PASS,
33,s06_yaw_pi_turn,g000003_c7,3,,,,,,,,0.1152253746831794,0.07173734305047474,,,,,4.0384,8.4264,2.0614,0.0,0.333,0.009977,0.132,8.0,,,,,,0.60124,PASS,
34,s06_yaw_pi_turn,g000004_c0,4,,,,,,,,1.2801745870796184,100.0,,,,,9.7642,29.2538,42.2455,0.0,7.0083,0.013015,0.0,8.0,,,,,,6.88102,PASS,
35,s06_yaw_pi_turn,g000004_c1,4,,,,,,,,30.600734077538494,45.47755939555424,,,,,8.3514,18.0251,47.7869,0.0,7.0713,0.013357,8.0,8.0,,,,,,1.53864,PASS,
36,s06_yaw_pi_turn,g000004_c2,4,,,,,,,,5.2820129236284545,2.771766520873398,,,,,8.6686,21.0205,44.6779,0.0,6.9964,0.013137,8.0,8.0,,,,,,1.54216,PASS,
37,s06_yaw_pi_turn,g000004_c3,4,,,,,,,,7.475435777655183,100.0,,,,,8.7949,21.3302,46.617,0.0,7.011,0.013291,8.0,8.0,,,,,,1.53259,PASS,
38,s06_yaw_pi_turn,g000004_c4,4,,,,,,,,8.695139555639066,0.24379023176287373,,,,,8.3449,19.1483,47.0491,0.0,6.9893,0.013301,8.0,8.0,,,,,,1.45639,PASS,
39,s06_yaw_pi_turn,g000004_c5,4,,,,,,,,1.9202784423884462,3.4503275954637096,,,,,4.0353,8.4498,2.0606,0.0,0.3332,0.009976,0.11,8.0,,,,,,0.48123,PASS,
40,s06_yaw_pi_turn,g000004_c6,4,,,,,,,,3.499180637075361,17.426952017213154,,,,,4.0375,8.4442,2.0623,0.0,0.3334,0.009975,0.0,8.0,,,,,,0.48205,PASS,
