run_id,scenario,label,gen,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,hip_track_rms_rad,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,s07_drive_turn,evo_seed,0,,,,,,,,3.9993228,1.5492402,,,,,6.7364,17.9816,29.2229,0.0,5.3668,0.011713,1.06,8.0,,,,,,9.00164,PASS,
2,s07_drive_turn,g000000_c0,0,,,,,,,,21.501125646969818,0.1677204989616083,,,,,8.5768,20.4351,50.1352,0.0,7.1993,0.013509,8.0,8.0,,,,,,12.19948,PASS,
3,s07_drive_turn,g000000_c1,0,,,,,,,,0.05661681559603337,0.15171266943582787,,,,,4.2296,15.0769,9.5091,0.0,0.2554,0.009871,1.074,8.0,,,,,,1.05941,PASS,
4,s07_drive_turn,g000000_c2,0,,,,,,,,26.396710003199132,0.07315422670137446,,,,,8.7792,20.5796,50.3957,0.0,7.24,0.013504,8.0,8.0,,,,,,12.31422,PASS,
5,s07_drive_turn,g000000_c3,0,,,,,,,,0.3939916745818488,1.0410637431750507,,,,,8.3216,20.7219,49.4073,0.0,7.1427,0.013455,8.0,8.0,,,,,,12.03896,PASS,
6,s07_drive_turn,g000000_c4,0,,,,,,,,1.3705363117816372,3.919188015641741,,,,,6.8677,18.0208,29.1773,0.0,5.3679,0.011718,1.056,8.0,,,,,,9.06967,PASS,
7,s07_drive_turn,g000000_c5,0,,,,,,,,100.0,0.5158655761038456,,,,,8.7338,22.4395,50.5065,0.0,7.2433,0.013527,8.0,8.0,,,,,,12.24878,PASS,
8,s07_drive_turn,g000000_c6,0,,,,,,,,0.8887558766304423,0.001865016439039051,,,,,6.6808,17.5633,29.3446,0.0,5.4157,0.011785,1.056,8.0,,,,,,9.09643,PASS,
9,s07_drive_turn,g000000_c7,0,,,,,,,,0.028980260534973556,0.6781164341011008,,,,,4.2163,15.276,9.514,0.0,0.254,0.00987,1.072,8.0,,,,,,1.10758,PASS,
10,s07_drive_turn,g000001_c0,1,,,,,,,,0.4929815831465424,0.014753175437412154,,,,,8.4688,21.617,49.5524,0.0,7.1403,0.013455,8.0,8.0,,,,,,12.01543,PASS,
11,s07_drive_turn,g000001_c1,1,,,,,,,,0.0016384664250313327,0.02022900987345927,,,,,4.3842,15.3001,9.602,0.0,0.2682,0.009884,1.088,8.0,,,,,,1.66002,PASS,
12,s07_drive_turn,g000001_c2,1,,,,,,,,0.8657121821983966,0.3145884820398296,,,,,8.6951,21.5208,49.6195,0.0,7.1352,0.013521,8.0,8.0,,,,,,12.04586,PASS,
13,s07_drive_turn,g000001_c3,1,,,,,,,,0.11483354674950196,11.81056809561568,,,,,9.7389,22.4812,49.527,0.0,7.1946,0.013496,8.0,8.0,,,,,,15.93444,PASS,
14,s07_drive_turn,g000001_c4,1,,,,,,,,0.020091598371518093,0.7029107778257738,,,,,4.2088,15.2137,9.5111,0.0,0.2537,0.009869,1.07,8.0,,,,,,1.14898,PASS,
15,s07_drive_turn,g000001_c5,1,,,,,,,,0.03153231211987419,0.03728975811339601,,,,,4.2828,15.2573,9.5426,0.0,0.2594,0.009875,1.082,8.0,,,,,,1.21743,PASS,
16,s07_drive_turn,g000001_c6,1,,,,,,,,0.00336811349870336,0.12039888245640278,,,,,4.2121,15.2258,9.4973,0.0,0.2534,0.009868,1.082,8.0,,,,,,1.35061,PASS,
17,s07_drive_turn,g000001_c7,1,,,,,,,,0.0025133261790005732,0.0845253086146185,,,,,4.2155,15.189,9.4951,0.0,0.2537,0.009868,1.082,8.0,,,,,,1.38515,PASS,
18,s07_drive_turn,g000002_c0,2,,,,,,,,0.6842640338947962,2.0309233683555172,,,,,8.6867,20.3684,49.5195,0.0,7.1162,0.013509,8.0,8.0,,,,,,12.07007,PASS,
19,s07_drive_turn,g000002_c1,2,,,,,,,,0.021719966671224136,1.8095739082861757,,,,,4.2047,15.2491,9.513,0.0,0.2535,0.00987,1.068,8.0,,,,,,1.13957,PASS,
20,s07_drive_turn,g000002_c2,2,,,,,,,,0.001,0.0041511601572739405,,,,,4.469,15.1457,9.6406,0.0,0.2757,0.009893,1.086,8.0,,,,,,2.1878,PASS,
21,s07_drive_turn,g000002_c3,2,,,,,,,,0.1263408444759286,0.6297381598122247,,,,,4.2144,15.0071,9.5024,0.0,0.2541,0.009871,1.076,8.0,,,,,,0.96909,PASS,
22,s07_drive_turn,g000002_c4,2,,,,,,,,0.31170521568928233,0.009399323860364378,,,,,8.1159,20.9962,49.0895,0.0,7.0962,0.013447,8.0,8.0,,,,,,11.87349,PASS,
23,s07_drive_turn,g000002_c5,2,,,,,,,,0.3956189760450443,0.042009976667716276,,,,,8.358,20.597,49.3878,0.0,7.1544,0.013496,8.0,8.0,,,,,,11.99295,PASS,
24,s07_drive_turn,g000002_c6,2,,,,,,,,0.030733687382226153,0.06950743509909996,,,,,4.2566,15.2525,9.5243,0.0,0.2569,0.009872,1.08,8.0,,,,,,1.16351,PASS,
25,s07_drive_turn,g000002_c7,2,,,,,,,,0.06030305205958092,1.1734602414961648,,,,,4.2133,15.1708,9.506,0.0,0.2536,0.009871,1.068,8.0,,,,,,1.02823,PASS,
26,s07_drive_turn,g000003_c0,3,,,,,,,,0.11810083579701047,0.031727736592054016,,,,,4.2506,14.8091,9.52,0.0,0.2579,0.009874,1.084,8.0,,,,,,1.03541,PASS,
27,s07_drive_turn,g000003_c1,3,,,,,,,,1.104274729283788,0.20084472133504971,,,,,6.8171,17.4996,29.4433,0.0,5.4334,0.011778,1.056,8.0,,,,,,9.14846,PASS,
28,s07_drive_turn,g000003_c2,3,,,,,,,,0.34788726580945456,0.16024706605337544,,,,,8.2869,21.1239,49.5769,0.0,7.1815,0.013479,8.0,8.0,,,,,,12.08274,PASS,
29,s07_drive_turn,g000003_c3,3,,,,,,,,2.3812819768566484,7.866434240729154,,,,,6.8541,18.0257,29.2544,0.0,5.3713,0.01172,1.052,8.0,,,,,,9.05526,PASS,
30,s07_drive_turn,g000003_c4,3,,,,,,,,0.00799523162755222,0.22142756178235135,,,,,4.2088,15.2321,9.4994,0.0,0.2531,0.009869,1.074,8.0,,,,,,1.26043,PASS,
31,s07_drive_turn,g000003_c5,3,,,,,,,,0.12937062178257308,8.834326502920995,,,,,9.5649,21.5493,48.9685,0.0,7.0695,0.013498,8.0,8.0,,,,,,15.02289,PASS,
32,s07_drive_turn,g000003_c6,3,,,,,,,,3.2284185646425096,2.398685810378837,,,,,6.7912,17.8961,29.3755,0.0,5.3992,0.011718,1.064,8.0,,,,,,9.07057,PASS,
33,s07_drive_turn,g000003_c7,3,,,,,,,,0.6176738963700407,0.3034454984418494,,,,,8.5702,21.6315,49.5593,0.0,7.1211,0.013472,8.0,8.0,,,,,,12.02077,PASS,
34,s07_drive_turn,g000004_c0,4,,,,,,,,0.07653999920492602,0.21336202944930152,,,,,4.2318,15.2151,9.5133,0.0,0.2552,0.009871,1.072,8.0,,,,,,1.02348,PASS,
35,s07_drive_turn,g000004_c1,4,,,,,,,,1.0897785879749975,0.501605227913291,,,,,8.6671,21.4503,49.7093,0.0,7.121,0.013488,8.0,8.0,,,,,,12.03481,PASS,
36,s07_drive_turn,g000004_c2,4,,,,,,,,0.038909717246729675,3.5471534629303414,,,,,4.0872,14.8897,9.4858,0.0,0.2515,0.009873,1.102,8.0,,,,,,1.06047,PASS,
37,s07_drive_turn,g000004_c3,4,,,,,,,,0.30996841712260226,1.0246548114852945,,,,,8.2247,20.0505,49.3984,0.0,7.1716,0.013501,8.0,8.0,,,,,,12.04982,PASS,
38,s07_drive_turn,g000004_c4,4,,,,,,,,0.024428333784739648,15.63469588395661,,,,,9.5763,20.9464,49.3652,0.0,7.156,0.013446,8.0,8.0,,,,,,15.69228,PASS,
39,s07_drive_turn,g000004_c5,4,,,,,,,,0.28392518084711227,0.17563625176471967,,,,,8.2143,20.5666,49.5566,0.0,7.1977,0.013513,8.0,8.0,,,,,,12.08073,PASS,
40,s07_drive_turn,g000004_c6,4,,,,,,,,0.002154699758871488,0.09102686159855325,,,,,4.2241,15.3175,9.5116,0.0,0.2545,0.009868,1.08,8.0,,,,,,1.39141,PASS,
41,s07_drive_turn,g000004_c7,4,,,,,,,,0.5224083683317678,73.94815183292124,,,,,9.5934,21.098,49.2704,0.0,7.015,0.013432,8.0,8.0,,,,,,14.95074,PASS,
42,s07_drive_turn,g000005_c0,5,,,,,,,,0.013764064935605244,0.9171050537051503,,,,,4.2048,15.3117,9.513,0.0,0.2532,0.009869,1.068,8.0,,,,,,1.19238,PASS,
43,s07_drive_turn,g000005_c1,5,,,,,,,,2.4979242174071903,0.11839938270619228,,,,,6.7257,18.1263,29.3585,0.0,5.3978,0.011729,1.08,8.0,,,,,,9.05982,PASS,
44,s07_drive_turn,g000005_c2,5,,,,,,,,0.5454364023033857,0.3144877358581419,,,,,8.5241,21.2437,49.5379,0.0,7.1585,0.013497,8.0,8.0,,,,,,12.14501,PASS,
45,s07_drive_turn,g000005_c3,5,,,,,,,,0.04411500407680563,0.07112233044037956,,,,,4.2629,15.3279,9.5342,0.0,0.2575,0.009873,1.078,8.0,,,,,,1.12094,PASS,
46,s07_drive_turn,g000005_c4,5,,,,,,,,0.008584134728446366,0.32873497646399025,,,,,4.2016,15.208,9.5036,0.0,0.253,0.009868,1.07,8.0,,,,,,1.24846,PASS,
47,s07_drive_turn,g000005_c5,5,,,,,,,,0.002494248805287583,0.009302756673663636,,,,,4.4482,15.227,9.6332,0.0,0.2737,0.00989,1.086,8.0,,,,,,1.91812,PASS,
48,s07_drive_turn,g000005_c6,5,,,,,,,,0.016130515307126104,31.729018860120096,,,,,9.6705,22.3432,49.566,0.0,7.2419,0.013446,8.0,8.0,,,,,,16.2057,PASS,
49,s07_drive_turn,g000005_c7,5,,,,,,,,1.1606711575893713,0.0033886390333580413,,,,,6.7649,18.2385,29.3771,0.0,5.4212,0.011775,1.06,8.0,,,,,,9.11504,PASS,
50,s07_drive_turn,g000006_c0,6,,,,,,,,3.022975343204844,0.48037516998563856,,,,,6.8517,17.7689,29.5802,0.0,5.4473,0.011745,1.056,8.0,,,,,,9.13287,PASS,
51,s07_drive_turn,g000006_c1,6,,,,,,,,0.1522117885326824,0.007348027631213556,,,,,4.2391,14.6623,9.5085,0.0,0.2574,0.009874,1.088,8.0,,,,,,1.00846,PASS,
52,s07_drive_turn,g000006_c2,6,,,,,,,,1.9635199618946169,3.6534387995914215,,,,,6.8464,18.3463,29.4898,0.0,5.4237,0.011741,1.054,8.0,,,,,,9.12079,PASS,
53,s07_drive_turn,g000006_c3,6,,,,,,,,0.002466243824146989,1.8586517762028418,,,,,4.1698,15.1726,9.4954,0.0,0.2509,0.009867,1.07,8.0,,,,,,1.35013,PASS,
54,s07_drive_turn,g000006_c4,6,,,,,,,,0.030145226900866507,0.2618519668848933,,,,,4.2294,15.2828,9.5159,0.0,0.2548,0.00987,1.076,8.0,,,,,,1.11309,PASS,
55,s07_drive_turn,g000006_c5,6,,,,,,,,0.3281039207005597,0.021115767296798968,,,,,8.2554,21.1488,49.4103,0.0,7.16,0.013464,8.0,8.0,,,,,,11.99964,PASS,
56,s07_drive_turn,g000006_c6,6,,,,,,,,1.2264307693878929,10.009241568082286,,,,,6.9242,18.1526,29.167,0.0,5.356,0.011717,1.052,8.0,,,,,,9.13022,PASS,
57,s07_drive_turn,g000006_c7,6,,,,,,,,0.10051773401525574,0.013162657704860008,,,,,4.2486,14.417,9.5119,0.0,0.2589,0.009875,1.09,8.0,,,,,,1.07211,PASS,
58,s07_drive_turn,g000007_c0,7,,,,,,,,0.5759940038940449,27.984173842516935,,,,,9.3778,23.693,49.2234,0.0,7.0797,0.013497,8.0,8.0,,,,,,13.38403,PASS,
59,s07_drive_turn,g000007_c1,7,,,,,,,,2.9307421444189528,0.13376037724595044,,,,,6.6222,17.9561,29.3471,0.0,5.4147,0.011741,1.132,8.0,,,,,,9.07152,PASS,
60,s07_drive_turn,g000007_c2,7,,,,,,,,0.49568205384693076,0.37949608546234387,,,,,8.5597,20.9595,49.7246,0.0,7.1659,0.013492,8.0,8.0,,,,,,12.16807,PASS,
61,s07_drive_turn,g000007_c3,7,,,,,,,,0.0028132503286310284,0.32197444261472224,,,,,4.1869,15.1697,9.4947,0.0,0.2519,0.009867,1.074,8.0,,,,,,1.34089,PASS,
62,s07_drive_turn,g000007_c4,7,,,,,,,,2.592331882832006,1.0595100284621644,,,,,6.785,17.7928,29.5076,0.0,5.4334,0.011751,1.06,8.0,,,,,,9.11825,PASS,
63,s07_drive_turn,g000007_c5,7,,,,,,,,0.0379856781078822,0.1435039760658364,,,,,4.2419,15.266,9.5211,0.0,0.2559,0.009871,1.08,8.0,,,,,,1.10474,PASS,
64,s07_drive_turn,g000007_c6,7,,,,,,,,0.6559111056729112,0.7245786592653318,,,,,8.6271,21.4956,49.6894,0.0,7.1459,0.013487,8.0,8.0,,,,,,12.05346,PASS,
65,s07_drive_turn,g000007_c7,7,,,,,,,,0.018546906728710955,0.011451933067045422,,,,,4.3673,15.2279,9.5848,0.0,0.2664,0.009883,1.082,8.0,,,,,,1.43363,PASS,
66,s07_drive_turn,g000008_c0,8,,,,,,,,0.060499644952813694,2.046380111348715,,,,,4.2097,15.177,9.5035,0.0,0.2534,0.009871,1.068,8.0,,,,,,1.02727,PASS,
67,s07_drive_turn,g000008_c1,8,,,,,,,,0.005159572746322869,35.05639773851959,,,,,9.8457,22.3875,49.7738,0.0,7.1817,0.013444,8.0,8.0,,,,,,16.14477,PASS,
68,s07_drive_turn,g000008_c2,8,,,,,,,,0.02533610874540023,0.4204549496497223,,,,,4.2213,15.2874,9.515,0.0,0.2541,0.00987,1.072,8.0,,,,,,1.12548,PASS,
69,s07_drive_turn,g000008_c3,8,,,,,,,,0.011050512878767632,0.2876923333966611,,,,,4.2101,15.2238,9.5068,0.0,0.2536,0.009869,1.08,8.0,,,,,,1.22306,PASS,
70,s07_drive_turn,g000008_c4,8,,,,,,,,0.04784481505497164,3.2695628169284126,,,,,4.1419,14.8375,9.4918,0.0,0.2528,0.009871,1.092,8.0,,,,,,1.04419,PASS,
71,s07_drive_turn,g000008_c5,8,,,,,,,,0.0017455831578451683,0.3728488524184716,,,,,4.1828,15.2081,9.4936,0.0,0.2515,0.009867,1.072,8.0,,,,,,1.36538,PASS,
72,s07_drive_turn,g000008_c6,8,,,,,,,,0.5938522323963181,8.350733117576524,,,,,6.8342,17.3512,29.0099,0.0,5.3125,0.011718,1.058,8.0,,,,,,9.15677,PASS,
73,s07_drive_turn,g000008_c7,8,,,,,,,,2.42367262368354,9.164573580750833,,,,,6.9177,18.9259,29.3473,0.0,5.4058,0.011727,1.06,8.0,,,,,,9.12027,PASS,
74,s07_drive_turn,g000009_c0,9,,,,,,,,0.002637098527993462,0.0590958079766834,,,,,4.2266,15.1576,9.5057,0.0,0.2549,0.009869,1.088,8.0,,,,,,1.41251,PASS,
75,s07_drive_turn,g000009_c1,9,,,,,,,,3.4566245557065653,0.13001621297803656,,,,,6.8048,18.4481,29.4007,0.0,5.4131,0.011735,1.062,8.0,,,,,,9.09473,PASS,
76,s07_drive_turn,g000009_c2,9,,,,,,,,0.01633498772246538,0.08070843456476735,,,,,4.2444,15.2749,9.5198,0.0,0.2562,0.009871,1.084,8.0,,,,,,1.22709,PASS,
77,s07_drive_turn,g000009_c3,9,,,,,,,,0.29660708784056306,0.2692508630183257,,,,,8.1966,20.9578,49.5913,0.0,7.1937,0.013498,8.0,8.0,,,,,,12.12051,PASS,
78,s07_drive_turn,g000009_c4,9,,,,,,,,0.12401309130005012,0.17121262342681945,,,,,4.2161,14.795,9.5,0.0,0.2551,0.009871,1.08,8.0,,,,,,0.98411,PASS,
79,s07_drive_turn,g000009_c5,9,,,,,,,,0.015072461529695654,0.03307466017855459,,,,,4.2795,15.2306,9.5371,0.0,0.2589,0.009874,1.086,8.0,,,,,,1.332,PASS,
80,s07_drive_turn,g000009_c6,9,,,,,,,,0.43960230766969216,0.15670764228012818,,,,,8.3957,20.4475,49.7761,0.0,7.195,0.013501,8.0,8.0,,,,,,12.09347,PASS,
81,s07_drive_turn,g000009_c7,9,,,,,,,,0.009295371197733998,2.6339852490322753,,,,,4.1827,15.2302,9.5036,0.0,0.2522,0.009869,1.068,8.0,,,,,,1.24252,PASS,
82,s07_drive_turn,g000010_c0,10,,,,,,,,0.07447265731206931,1.1924732174641137,,,,,4.215,15.1879,9.5078,0.0,0.254,0.009871,1.07,8.0,,,,,,1.00965,PASS,
83,s07_drive_turn,g000010_c1,10,,,,,,,,1.5720305499127771,10.771680135233115,,,,,6.8989,17.9664,29.3167,0.0,5.3741,0.011723,1.056,8.0,,,,,,9.11449,PASS,
84,s07_drive_turn,g000010_c2,10,,,,,,,,1.9516132570068703,0.5272341034303062,,,,,6.746,17.432,29.3848,0.0,5.4106,0.011749,1.062,8.0,,,,,,9.09245,PASS,
85,s07_drive_turn,g000010_c3,10,,,,,,,,0.16999169988576482,0.2141123319710626,,,,,4.2096,14.7338,9.4925,0.0,0.2545,0.009871,1.078,8.0,,,,,,0.95586,PASS,
86,s07_drive_turn,g000010_c4,10,,,,,,,,0.04156033386297748,0.18942018871557847,,,,,4.2395,15.3521,9.5226,0.0,0.2555,0.009871,1.076,8.0,,,,,,1.08725,PASS,
87,s07_drive_turn,g000010_c5,10,,,,,,,,0.8851758111373379,3.240142501505265,,,,,6.7951,17.6172,29.2944,0.0,5.4001,0.011751,1.05,8.0,,,,,,9.11161,PASS,
88,s07_drive_turn,g000010_c6,10,,,,,,,,0.4235255240902435,0.5230238082908637,,,,,8.3758,20.8602,49.4574,0.0,7.1538,0.013472,8.0,8.0,,,,,,12.04303,PASS,
89,s07_drive_turn,g000010_c7,10,,,,,,,,0.01379778076170267,7.126861440831711,,,,,9.7405,22.6947,49.9572,0.0,7.1972,0.013474,8.0,8.0,,,,,,16.16605,PASS,
90,s07_drive_turn,g000011_c0,11,,,,,,,,0.02894761405701731,0.08784784304629503,,,,,4.2469,15.2704,9.5229,0.0,0.2564,0.009871,1.078,8.0,,,,,,1.15594,PASS,
91,s07_drive_turn,g000011_c1,11,,,,,,,,0.27236608527098655,0.8020808663772454,,,,,8.2251,19.5009,49.5797,0.0,7.2056,0.013501,8.0,8.0,,,,,,12.13086,PASS,
92,s07_drive_turn,g000011_c2,11,,,,,,,,0.04783414762468222,0.2210175285271702,,,,,4.2337,15.2763,9.518,0.0,0.2552,0.009871,1.072,8.0,,,,,,1.06867,PASS,
93,s07_drive_turn,g000011_c3,11,,,,,,,,0.03935145927860606,0.03079639918831025,,,,,4.2946,15.2803,9.5503,0.0,0.2603,0.009876,1.076,8.0,,,,,,1.20556,PASS,
94,s07_drive_turn,g000011_c4,11,,,,,,,,2.015512484412669,1.9451478627870937,,,,,6.8428,18.1482,29.3354,0.0,5.4028,0.011744,1.056,8.0,,,,,,9.09253,PASS,
95,s07_drive_turn,g000011_c5,11,,,,,,,,1.0766062800189364,1.6780587450501383,,,,,6.7767,17.2659,29.2053,0.0,5.374,0.011762,1.056,8.0,,,,,,9.06417,PASS,
96,s07_drive_turn,g000011_c6,11,,,,,,,,0.04629155254046411,0.45528656123101263,,,,,4.2308,15.3477,9.5165,0.0,0.2544,0.00987,1.068,8.0,,,,,,1.06118,PASS,
97,s07_drive_turn,g000011_c7,11,,,,,,,,0.1766475730963059,0.7511331983435816,,,,,4.2075,14.8788,9.4974,0.0,0.2543,0.00987,1.074,8.0,,,,,,0.94485,PASS,
98,s07_drive_turn,g000012_c0,12,,,,,,,,0.006458062307078064,1.684689404710047,,,,,4.1834,15.2194,9.5037,0.0,0.2519,0.009868,1.068,8.0,,,,,,1.27484,PASS,
99,s07_drive_turn,g000012_c1,12,,,,,,,,0.16695897453461897,0.3833214467842682,,,,,4.2031,14.7134,9.4902,0.0,0.2542,0.00987,1.084,8.0,,,,,,0.95101,PASS,
100,s07_drive_turn,g000012_c2,12,,,,,,,,0.09463669591717971,0.6404296758775389,,,,,4.1886,14.4377,9.4821,0.0,0.2536,0.009869,1.08,8.0,,,,,,0.98826,PASS,
101,s07_drive_turn,g000012_c3,12,,,,,,,,0.012801589010284673,0.059095121289325606,,,,,4.2506,15.2242,9.5203,0.0,0.2567,0.009871,1.082,8.0,,,,,,1.27901,PASS,
102,s07_drive_turn,g000012_c4,12,,,,,,,,0.1796621821923443,0.11715403127011341,,,,,4.2268,14.9146,9.5053,0.0,0.2555,0.009872,1.078,8.0,,,,,,0.96358,PASS,
103,s07_drive_turn,g000012_c5,12,,,,,,,,4.58681290245759,3.2190786584855275,,,,,6.7743,17.6265,29.2586,0.0,5.392,0.011722,1.064,8.0,,,,,,9.05058,PASS,
104,s07_drive_turn,g000012_c6,12,,,,,,,,0.9654161240402616,1.071495154408398,,,,,6.8011,17.7311,29.3734,0.0,5.4195,0.011769,1.05,8.0,,,,,,9.12706,PASS,
105,s07_drive_turn,g000012_c7,12,,,,,,,,0.08168650146030534,0.12354529987822818,,,,,4.2312,14.9698,9.5149,0.0,0.2563,0.009871,1.08,8.0,,,,,,1.03032,PASS,
106,s07_drive_turn,g000013_c0,13,,,,,,,,0.033847052953677945,0.10282158401834267,,,,,4.2445,15.2351,9.5217,0.0,0.2564,0.009871,1.078,8.0,,,,,,1.13035,PASS,
107,s07_drive_turn,g000013_c1,13,,,,,,,,0.5714569361802888,0.41527982667877494,,,,,8.5798,21.0361,49.676,0.0,7.1482,0.013475,8.0,8.0,,,,,,12.11683,PASS,
108,s07_drive_turn,g000013_c2,13,,,,,,,,0.020039161063526784,0.41651432898727403,,,,,4.2159,15.2664,9.513,0.0,0.2541,0.00987,1.07,8.0,,,,,,1.15239,PASS,
109,s07_drive_turn,g000013_c3,13,,,,,,,,0.31308557779414165,0.1978199156937383,,,,,8.2506,20.4668,49.7282,0.0,7.2072,0.0135,8.0,8.0,,,,,,12.12381,PASS,
110,s07_drive_turn,g000013_c4,13,,,,,,,,0.26134629803920806,0.5002343179585316,,,,,8.2471,20.6949,49.6204,0.0,7.2099,0.013516,8.0,8.0,,,,,,12.12811,PASS,
111,s07_drive_turn,g000013_c5,13,,,,,,,,6.0331947217824835,0.3312888451853497,,,,,8.7231,21.2534,49.776,0.0,7.1749,0.013515,8.0,8.0,,,,,,12.18036,PASS,
112,s07_drive_turn,g000013_c6,13,,,,,,,,0.2717087811910766,0.13212332392255788,,,,,8.1532,20.8508,49.5836,0.0,7.1886,0.013485,8.0,8.0,,,,,,12.06112,PASS,
113,s07_drive_turn,g000013_c7,13,,,,,,,,0.01048918297579821,0.5225863735137093,,,,,4.2015,15.2164,9.5034,0.0,0.2528,0.009869,1.068,8.0,,,,,,1.22355,PASS,
