run_id,scenario,label,gen,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KFF_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,hip_track_rms_rad,hip_cmd_rate_rms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,s08_terrain_compliance,evo_seed,0,,,,,,,,,,,7.4883874,0.57853659,0.026971063,3.251271,4.6261,11.7588,12.8296,0.294,0.3557,0.066068,2.9657,1.276,12.0,,,,,,1.181268,PASS,
2,s08_terrain_compliance,g000000_c0,0,,,,,,,,,,,0.343379154493795,0.01,0.03211253496959366,1.491947877311102,4.0182,18.8238,12.5372,0.38,0.4136,0.316768,5.3907,1.308,12.0,,,,,,8.947843,PASS,
3,s08_terrain_compliance,g000000_c1,0,,,,,,,,,,,20.336364745312597,0.05020384728500699,0.31040232442491134,0.015563589890008092,4.4572,10.2921,12.732,0.29,0.3051,0.024689,0.2095,1.272,12.0,,,,,,5.871817,PASS,
4,s08_terrain_compliance,g000000_c2,0,,,,,,,,,,,12.955538163059126,0.732029836724747,0.0209370120243743,2.2907472966932336,4.64,11.0271,12.7931,0.296,0.3378,0.038922,5.2664,1.274,12.0,,,,,,1.41526,PASS,
5,s08_terrain_compliance,g000000_c3,0,,,,,,,,,,,54.15743607380701,0.07217047683283748,0.02884611717760832,88.20701963764158,6.6074,16.0931,22.8572,1.236,2.1056,0.292173,347.2062,12.0,12.0,,,,,,9.364286,PASS,
6,s08_terrain_compliance,g000000_c4,0,,,,,,,,,,,26.979944718639103,21.673190119919877,0.011333095941221744,14.040261108031453,5.2064,12.1479,19.2248,0.4,1.7835,0.295591,340.3983,12.0,12.0,,,,,,5.921093,PASS,
7,s08_terrain_compliance,g000000_c5,0,,,,,,,,,,,30.08386025418844,0.5810742454261235,0.008213273229204133,1.9943243467567526,5.8172,14.2974,21.9215,0.502,2.024,0.123164,245.0314,12.0,12.0,,,,,,4.555993,PASS,
8,s08_terrain_compliance,g000000_c6,0,,,,,,,,,,,0.1,0.09182422144418145,0.04108113261712546,1.211246181202184,3.9661,17.9968,12.5406,0.266,0.4274,0.314115,5.4758,1.312,12.0,,,,,,7.965406,PASS,
9,s08_terrain_compliance,g000000_c7,0,,,,,,,,,,,29.400649138748133,6.547110323888908,0.24776261974598215,5.371229601745096,5.6075,12.612,19.5544,0.358,1.7491,0.238865,330.1855,12.0,12.0,,,,,,4.760629,PASS,
10,s08_terrain_compliance,g000001_c0,1,,,,,,,,,,,0.1,23.19353812784263,0.19921120735592235,4.652264121309638,3.9905,14.5155,13.6908,0.48,0.9503,0.274693,78.3148,12.0,12.0,,,,,,13.28795,PASS,
11,s08_terrain_compliance,g000001_c1,1,,,,,,,,,,,4.570313967666901,1.2368032638031141,0.005459864292381411,0.6489445868646188,4.4846,10.8925,12.8477,0.286,0.3519,0.10298,1.0034,1.282,12.0,,,,,,4.220077,PASS,
12,s08_terrain_compliance,g000001_c2,1,,,,,,,,,,,1.1453644974867265,2.730961739528256,0.06933720198615205,32.22390218166823,4.1018,12.2848,12.9504,0.294,0.4274,0.256642,146.0794,1.276,12.0,,,,,,7.30533,PASS,
