run_id,scenario,label,gen,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KFF_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,hip_track_rms_rad,hip_cmd_rate_rms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,s09_integrated,evo_seed,0,,5.4025381,0.033407993,0.0016521331,39.646999,0.05,0.1,0.10849846,0.19324586,0.22121895,12.962437,0.10915113,45.255859,0.49191579,0.545,0.9869,0.0024,0.0,0.0,0.216898,6.128,16.0,0.006,,,,,,201.185376,FAIL,vel error exceeded
2,s09_integrated,g000000_c0,0,,10.0,0.002972674733443884,0.0003047579774315977,10.602735045720518,0.0657632212819885,0.03118204685559149,1.2,0.0019263879712388804,2.2522730441037506,9.143591557762388,0.020171895195120235,65.9490847941018,12.822757535324062,0.5521,1.0002,0.0019,0.0,0.0,0.217289,177.8146,16.0,0.006,,,,,,201.218905,FAIL,vel error exceeded
3,s09_integrated,g000000_c1,0,,10.0,0.004863296571117727,0.0032974454403136215,123.34907534308783,0.15,0.1,0.1,0.15661050552189648,0.07772040632532874,2.2159728372113316,0.08560149665242267,6.734915183627275,1.683361399082775,0.8523,1.5505,0.0022,0.0,0.0,0.218424,1.1265,16.0,0.008,,,,,,201.21005,FAIL,vel error exceeded
4,s09_integrated,g000000_c2,0,,10.0,0.006685685469591638,0.006343188342212412,5.171039847759563,0.15,0.015832313609949182,0.10146424481587997,2.2439623313442105,0.02357411036321972,1.1768764100248486,7.09454683455154,5.369135973874072,7.122760144022326,0.878,1.5913,0.0019,0.0,0.0,0.219056,1.0604,16.0,0.008,,,,,,201.22303,FAIL,vel error exceeded
5,s09_integrated,g000000_c3,0,,0.5243137192668019,0.02867340637670222,0.0002060208636218474,307.2301117214709,0.15,0.1,0.26673523881910516,1.22733760072936,0.15437529183246504,0.16409785240478045,8.834479642901712,100.0,0.2730850527956118,0.2404,3.1532,0.6047,0.0,0.1433,0.428026,7.3948,0.024,5.002,,,,,,202.316281,FAIL,vel error exceeded
6,s09_integrated,g000000_c4,0,,5.807305106326715,0.005177060452867542,0.0020853152586999407,122.6713189198906,0.049999999999999996,0.01,0.1,0.2590802404993843,0.993301724761341,3.6138668088398824,0.01,100.0,0.28303178833010156,0.7958,1.4694,0.0025,0.0,0.0,0.218172,12.0205,16.0,0.008,,,,,,201.204146,FAIL,vel error exceeded
7,s09_integrated,g000000_c5,0,,10.0,1.1983550426586174,0.000301709972901196,1.0105333621150616,0.049999999999999996,0.1,0.17580729439369458,0.04761108712262242,0.06362090813001171,2.3676650078189576,5.026921031168889,27.92241399137613,0.06179145644726336,0.8681,1.5548,0.0022,0.0,0.0,0.218825,2.1013,16.0,0.008,,,,,,201.22003,FAIL,vel error exceeded
8,s09_integrated,g000000_c6,0,,10.0,0.0013011434564248383,7.610638379653276e-05,803.637547650323,0.049999999999999996,0.012001358893663838,0.1,0.061329159489369414,11.629018365235149,8.979982114238522,0.07256351717993567,9.936615530678406,0.19176453531893847,0.5584,1.0108,0.0018,0.0,0.0,0.217307,1.6865,16.0,0.006,,,,,,201.180415,FAIL,vel error exceeded
9,s09_integrated,g000000_c7,0,,7.449772523268806,0.4684371228798747,0.000500643291099575,6.818205280561833,0.15,0.1,0.1,3.6800616906611374,0.006832992612932221,3.60662991016181,0.8395740171977266,21.7726602018206,0.03899317564282018,0.8407,1.5313,0.0025,0.0,0.0,0.21828,2.9294,16.0,0.008,,,,,,201.210926,FAIL,vel error exceeded
10,s09_integrated,g000001_c0,1,,2.4812554646414133,0.02063121874458351,0.07022382070224865,111.47597957726691,0.15,0.1,1.2,0.18043226820059735,0.35258068994570707,14.028911205986926,0.010863357626351544,84.36673868571042,0.10801596932984418,0.4247,0.7449,0.0025,0.0,0.0,0.216788,9.5754,16.0,0.006,,,,,,201.171524,FAIL,vel error exceeded
