run_id,scenario,label,gen,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KFF_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,hip_track_rms_rad,hip_cmd_rate_rms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,s02_leg_height_gain_sched,evo_seed,0,,0.051630065,0.038574435,9.0556519e-07,100.0,,,,,,,,,,1.0076,2.1914,18.9589,0.0,1.8843,0.005911,0.3579,0.0,12.0,,,,,,4.72398,PASS,
2,s02_leg_height_gain_sched,g000000_c0,0,,0.01,0.03488906155193306,2.104146906975744e-07,100.0,,,,,,,,,,1.008,2.196,19.0248,0.0,1.8916,0.005911,0.3579,0.0,12.0,,,,,,4.68418,PASS,
3,s02_leg_height_gain_sched,g000000_c1,0,,0.01,0.003396220208848934,6.803976485048384e-07,33.679025725823735,,,,,,,,,,1.005,2.1884,18.7675,0.0,1.8674,0.005912,0.3579,0.0,12.0,,,,,,4.69682,PASS,
4,s02_leg_height_gain_sched,g000000_c2,0,,0.02072955087674713,0.01590748664606296,3.3770552707489647e-06,47.376869045479886,,,,,,,,,,1.0011,2.1734,18.7779,0.0,1.8674,0.005912,0.3579,0.0,12.0,,,,,,4.71255,PASS,
5,s02_leg_height_gain_sched,g000000_c3,0,,2.912026522280624,0.07219150202933654,3.039571577134519e-06,100.0,,,,,,,,,,1.0041,2.1814,18.7612,0.0,1.8649,0.005912,0.3579,0.0,12.0,,,,,,4.67275,PASS,
6,s02_leg_height_gain_sched,g000000_c4,0,,0.46159588465540574,0.1669784944239764,0.00017091530195115996,80.52151302220362,,,,,,,,,,0.9921,2.0661,17.8442,0.0,1.7673,0.005914,0.3579,0.0,12.0,,,,,,4.52604,PASS,
7,s02_leg_height_gain_sched,g000000_c5,0,,0.01,0.14105451244116965,3.6727366757118344e-05,37.30971962269384,,,,,,,,,,0.9906,2.1099,18.3153,0.0,1.8171,0.005913,0.3579,0.0,12.0,,,,,,4.68502,PASS,
8,s02_leg_height_gain_sched,g000000_c6,0,,0.01,1.1099674073622414,2.1399874598765586e-07,100.0,,,,,,,,,,1.0112,2.1981,18.9905,0.0,1.8927,0.005911,0.3579,0.0,12.0,,,,,,4.76101,PASS,
9,s02_leg_height_gain_sched,g000000_c7,0,,0.01,0.006418434674739316,8.141831910708973e-06,4.762310492032659,,,,,,,,,,0.9901,2.0783,17.7889,0.0,1.7589,0.005914,0.3579,0.0,12.0,,,,,,4.52531,PASS,
10,s02_leg_height_gain_sched,g000001_c0,1,,0.012967101486057073,0.002761024096677033,3.1689307177670796e-06,5.620277203554933,,,,,,,,,,0.991,2.128,18.3682,0.0,1.8189,0.005913,0.3579,0.0,12.0,,,,,,4.72891,PASS,
11,s02_leg_height_gain_sched,g000001_c1,1,,0.01,0.004287777678113084,9.176789909681332e-06,48.4975318907091,,,,,,,,,,0.9965,2.1615,18.6913,0.0,1.8559,0.005912,0.3579,0.0,12.0,,,,,,4.6725,PASS,
12,s02_leg_height_gain_sched,g000001_c2,1,,0.01,0.006770933820936346,0.0017725296959997662,8.205865518828087,,,,,,,,,,1.7128,3.4007,10.9463,0.0,1.0977,0.005946,0.3579,0.0,12.0,,,,,,4.96309,PASS,
13,s02_leg_height_gain_sched,g000001_c3,1,,0.37117514985529443,0.001,0.003204238354933963,50.040081315377606,,,,,,,,,,1.3434,2.9098,13.4899,0.0,1.3176,0.005924,0.3579,0.0,12.0,,,,,,4.35124,PASS,
14,s02_leg_height_gain_sched,g000001_c4,1,,0.11115257415617359,0.0049104679958835275,4.257639832232111e-06,0.4111611655375387,,,,,,,,,,1.0497,2.1298,16.3306,0.0,1.6066,0.005917,0.3579,0.0,12.0,,,,,,4.36258,PASS,
15,s02_leg_height_gain_sched,g000001_c5,1,,0.01,0.001,6.157765829385122e-05,10.617620124899736,,,,,,,,,,1.0164,1.977,17.0716,0.0,1.6885,0.005917,0.3579,0.0,12.0,,,,,,4.55217,PASS,
16,s02_leg_height_gain_sched,g000001_c6,1,,0.023589911629940424,0.026289687080785506,1.5094157921920436e-06,6.113744769790912,,,,,,,,,,0.995,2.1531,18.4956,0.0,1.8342,0.005913,0.3579,0.0,12.0,,,,,,4.68813,PASS,
17,s02_leg_height_gain_sched,g000001_c7,1,,0.01,0.11175907194588044,6.1328573757423586e-06,9.281844548772339,,,,,,,,,,0.993,2.1273,18.2315,0.0,1.8062,0.005913,0.3579,0.0,12.0,,,,,,4.5226,PASS,
18,s02_leg_height_gain_sched,g000002_c0,2,,0.3218004488597418,0.03480599676699514,0.00027774554844018604,2.990417219512304,,,,,,,,,,1.4319,3.0796,12.5702,0.0,1.2221,0.005925,0.3579,0.0,12.0,,,,,,4.28526,PASS,
19,s02_leg_height_gain_sched,g000002_c1,2,,0.34469412326627297,0.001,0.0001333015713865266,100.0,,,,,,,,,,0.9893,2.093,17.9459,0.0,1.7738,0.005913,0.3579,0.0,12.0,,,,,,4.54369,PASS,
20,s02_leg_height_gain_sched,g000002_c2,2,,0.1701585798243751,0.001,0.0004083386741239055,100.0,,,,,,,,,,1.0046,2.0138,17.4139,0.0,1.7193,0.005914,0.3579,0.0,12.0,,,,,,4.52152,PASS,
21,s02_leg_height_gain_sched,g000002_c3,2,,0.04406886757481713,0.0018623167467235581,1.6093664219755478e-05,18.909052232375494,,,,,,,,,,0.9894,2.109,18.1837,0.0,1.7991,0.005913,0.3579,0.0,12.0,,,,,,4.63651,PASS,
22,s02_leg_height_gain_sched,g000002_c4,2,,3.6303493560952043,0.001,0.004548743844961574,50.37637007657585,,,,,,,,,,1.4255,3.0689,12.6724,0.0,1.2339,0.005926,0.3579,0.0,12.0,,,,,,4.28526,PASS,
23,s02_leg_height_gain_sched,g000002_c5,2,,0.7405812420762419,0.001,0.022542189899676112,100.0,,,,,,,,,,1.7176,3.4374,10.8589,0.0,1.0999,0.005948,0.3579,0.0,12.0,,,,,,5.16859,PASS,
24,s02_leg_height_gain_sched,g000002_c6,2,,0.11034756289757539,0.0010393623390254447,0.0070515580646358066,100.0,,,,,,,,,,1.3794,2.9437,13.558,0.0,1.3363,0.005929,0.3579,0.0,12.0,,,,,,4.61448,PASS,
25,s02_leg_height_gain_sched,g000002_c7,2,,0.01,0.001,0.02737720544615962,100.0,,,,,,,,,,1.7476,3.4948,10.4249,0.0,1.067,0.005955,0.3579,0.0,12.0,,,,,,5.37102,PASS,
26,s02_leg_height_gain_sched,g000003_c0,3,,0.32252933680613255,0.05219576386811723,0.00023637638005433037,0.8637367454263918,,,,,,,,,,1.727,3.5353,10.0992,0.0,1.0182,0.005945,0.3579,0.0,12.0,,,,,,5.05538,PASS,
27,s02_leg_height_gain_sched,g000003_c1,3,,0.04243590266942205,0.02019973367625277,0.0002751407552281616,3.378449972532573,,,,,,,,,,1.4074,3.019,13.1271,0.0,1.2976,0.00593,0.3579,0.0,12.0,,,,,,4.47174,PASS,
28,s02_leg_height_gain_sched,g000003_c2,3,,0.2871979573446859,0.27510948380022066,7.926435987270259e-05,18.39783887416086,,,,,,,,,,1.009,2.0103,17.2624,0.0,1.7044,0.005915,0.3579,0.0,12.0,,,,,,4.43511,PASS,
29,s02_leg_height_gain_sched,g000003_c3,3,,0.9483854179416086,0.0010012123894015744,4.278821257260959e-05,3.665288422335351,,,,,,,,,,1.0555,2.1692,16.0683,0.0,1.5765,0.005917,0.3579,0.0,12.0,,,,,,4.3969,PASS,
30,s02_leg_height_gain_sched,g000003_c4,3,,0.28501331654307455,0.05902900156383414,0.0008826401743637309,0.19370565086660246,,,,,,,,,,7.6213,25.5621,22.6941,0.0,4.0906,0.006981,0.3579,0.0,12.0,,,,,,289.90126,PASS,
31,s02_leg_height_gain_sched,g000003_c5,3,,0.7263528251245331,1.4633859353128598,1.2134841839530202e-05,87.51385798188694,,,,,,,,,,1.002,2.1664,18.7302,0.0,1.8568,0.005912,0.3579,0.0,12.0,,,,,,4.68596,PASS,
32,s02_leg_height_gain_sched,g000003_c6,3,,0.691370467880254,0.41142611978913646,0.001851014388235389,100.0,,,,,,,,,,1.1102,2.3528,15.5847,0.0,1.5257,0.00592,0.3579,0.0,12.0,,,,,,4.39368,PASS,
33,s02_leg_height_gain_sched,g000003_c7,3,,0.26858306256240216,0.20968434850214435,0.0001419798245106444,8.878511692191978,,,,,,,,,,1.0988,2.3037,15.9075,0.0,1.5699,0.005919,0.3579,0.0,12.0,,,,,,4.50817,PASS,
34,s02_leg_height_gain_sched,g000004_c0,4,,0.5453292040791698,0.0030611108943485545,0.00021246155347965943,54.229132674827156,,,,,,,,,,1.0017,2.0139,17.3023,0.0,1.7054,0.005915,0.3579,0.0,12.0,,,,,,4.45269,PASS,
35,s02_leg_height_gain_sched,g000004_c1,4,,0.99956405637164,0.0015840946982806831,0.0008792565483806864,3.5099835473258594,,,,,,,,,,1.6908,3.5081,10.2257,0.0,1.0045,0.005939,0.3579,0.0,12.0,,,,,,4.54451,PASS,
36,s02_leg_height_gain_sched,g000004_c2,4,,0.2215246211335306,0.4530952987579766,0.01750879609956716,0.8434148907986053,,,,,,,,,,15.244,49.8311,18.4432,0.238,8.6966,0.009209,0.3586,0.0,4.014,,,,,,851.5983,FAIL,fell over
37,s02_leg_height_gain_sched,g000004_c3,4,,0.021592052159148632,0.036980662699242085,0.0015204753006265207,1.0787502246514034,,,,,,,,,,2.7181,10.9018,10.3477,0.728,1.5821,0.006241,0.3579,0.0,12.0,,,,,,24.47911,PASS,
38,s02_leg_height_gain_sched,g000004_c4,4,,0.06287060660176226,0.8350873859535898,0.00016460576048015225,1.8092504360797543,,,,,,,,,,1.8528,5.8396,16.3686,1.242,2.0296,0.00639,0.3579,0.0,12.0,,,,,,12.11067,PASS,
39,s02_leg_height_gain_sched,g000004_c5,4,,3.346238169093803,0.00433051033187523,4.4619693916124206e-07,6.384631399578139,,,,,,,,,,0.9971,2.1647,18.7429,0.0,1.8637,0.005913,0.3579,0.0,12.0,,,,,,4.66865,PASS,
40,s02_leg_height_gain_sched,g000004_c6,4,,0.06285183040771666,0.3563300803820298,0.000823951583311356,0.27188013557122687,,,,,,,,,,10.2456,33.7979,13.946,1.078,7.1466,0.007986,0.3564,0.0,3.966,,,,,,295.58015,FAIL,fell over
41,s02_leg_height_gain_sched,g000004_c7,4,,0.045462607136954714,0.08939744441983973,0.002923202081718543,0.24954703165279668,,,,,,,,,,12.8669,39.3055,23.4269,0.068,8.9135,0.009962,0.37,0.0,4.568,,,,,,897.2342,FAIL,fell over
42,s02_leg_height_gain_sched,g000005_c0,5,,0.4517867622279905,0.28174018483191704,0.0063916109229634095,0.01084884906150388,,,,,,,,,,25.5918,59.1367,2.3463,0.134,0.0,0.008638,0.4972,12.0,0.21,,,,,,283.82327,FAIL,fell over
43,s02_leg_height_gain_sched,g000005_c1,5,,0.34960891071771993,0.03354898245807238,1.99326767546233e-05,0.6817667891235855,,,,,,,,,,1.1793,2.5559,14.9131,0.0,1.4646,0.005924,0.3579,0.0,12.0,,,,,,4.58638,PASS,
44,s02_leg_height_gain_sched,g000005_c2,5,,0.1254961255489965,0.4671273467506476,5.9252490920081734e-05,53.81147625185934,,,,,,,,,,0.9919,2.1055,18.1591,0.0,1.7995,0.005913,0.3579,0.0,12.0,,,,,,4.70563,PASS,
45,s02_leg_height_gain_sched,g000005_c3,5,,2.6139641457642857,0.07641261636121327,6.293594299542889e-05,100.0,,,,,,,,,,0.991,2.125,18.2833,0.0,1.8093,0.005913,0.3579,0.0,12.0,,,,,,4.5515,PASS,
46,s02_leg_height_gain_sched,g000005_c4,5,,8.055322918217904,0.006146001127669819,0.0038126513023641843,2.162384653954746,,,,,,,,,,5.4078,19.3081,15.6833,1.008,2.8562,0.006542,0.3579,0.0,12.0,,,,,,66.65582,PASS,
47,s02_leg_height_gain_sched,g000005_c5,5,,49.99999999999999,0.001,0.00914286883739738,100.0,,,,,,,,,,1.4176,3.0601,12.6299,0.0,1.2278,0.005925,0.3579,0.0,12.0,,,,,,4.25069,PASS,
48,s02_leg_height_gain_sched,g000005_c6,5,,0.13845282331801673,0.014414251246844582,0.004246817165853157,0.18164545031247897,,,,,,,,,,10.5229,38.3554,13.957,0.062,8.3923,0.0102,0.3413,0.0,3.454,,,,,,747.57231,FAIL,fell over
49,s02_leg_height_gain_sched,g000005_c7,5,,0.5354467844286761,0.06734613182514591,0.0009303628419225738,11.673086127398504,,,,,,,,,,1.3957,3.0045,13.0017,0.0,1.2731,0.005927,0.3579,0.0,12.0,,,,,,4.46863,PASS,
50,s02_leg_height_gain_sched,g000006_c0,6,,49.99999999999999,0.001,0.003711803119197732,100.0,,,,,,,,,,1.2186,2.6409,14.6721,0.0,1.4378,0.005923,0.3579,0.0,12.0,,,,,,4.53713,PASS,
51,s02_leg_height_gain_sched,g000006_c1,6,,49.99999999999999,0.001,0.002367985850803735,17.29656662477819,,,,,,,,,,1.4994,3.187,12.2147,0.0,1.2068,0.005946,0.3579,0.0,12.0,,,,,,4.95006,PASS,
