run_id,scenario,label,gen,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KFF_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,hip_track_rms_rad,hip_cmd_rate_rms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,s03_vel_pi_disturbance,evo_seed,0,,,,,,0.248651,0.00113305,0.15,,,,,,,2.226,2.416,0.859,0.0,0.1541,0.007043,0.0,0.0,6.024,,,,,,200.81331,FAIL,vel error exceeded
2,s03_vel_pi_disturbance,g000000_c0,0,,,,,,0.15963836934611655,0.001,0.15,,,,,,,2.0573,2.4136,5.1549,0.0,0.215,0.007104,0.0,0.0,12.0,,,,,,1.143655,PASS,
3,s03_vel_pi_disturbance,g000000_c1,0,,,,,,2.2723444675568145,0.001,0.15,,,,,,,1.8945,4.3372,0.0171,0.0,0.0,0.004581,0.0,12.0,0.09,,,,,,201.49469,FAIL,vel error exceeded
4,s03_vel_pi_disturbance,g000000_c2,0,,,,,,0.004340850956213001,0.001,0.15,,,,,,,0.2839,0.488,0.5828,0.0,0.3815,0.007126,0.0,0.0,2.218,,,,,,201.91616,FAIL,vel error exceeded
5,s03_vel_pi_disturbance,g000000_c3,0,,,,,,0.05943686734758435,0.0032164003576240744,0.15,,,,,,,1.7109,2.2919,7.1238,0.0,0.3949,0.007123,0.0,0.0,11.866,,,,,,202.002835,FAIL,vel error exceeded
6,s03_vel_pi_disturbance,g000000_c4,0,,,,,,0.0982231333089775,0.005228083990095247,0.15,,,,,,,1.9111,2.4249,5.8562,0.0,0.2761,0.00711,0.0,0.0,12.0,,,,,,1.42372,PASS,
7,s03_vel_pi_disturbance,g000000_c5,0,,,,,,0.5122647950162098,0.001,0.1,,,,,,,2.3127,2.4127,0.4536,0.0,0.0789,0.007032,0.0,0.0,6.01,,,,,,200.430952,FAIL,vel error exceeded
8,s03_vel_pi_disturbance,g000000_c6,0,,,,,,0.4763516236197928,0.001,0.1,,,,,,,2.3068,2.4169,0.4849,0.0,0.0848,0.007033,0.0,0.0,6.012,,,,,,200.460228,FAIL,vel error exceeded
9,s03_vel_pi_disturbance,g000000_c7,0,,,,,,0.029044424065108466,0.001,0.15,,,,,,,0.7278,1.204,0.7584,0.0,0.3829,0.007118,0.0,0.0,2.692,,,,,,201.92792,FAIL,vel error exceeded
10,s03_vel_pi_disturbance,g000001_c0,1,,,,,,0.01963053869958845,0.001,0.13647392740197822,,,,,,,0.5489,0.9278,0.6795,0.0,0.3824,0.007122,0.0,0.0,2.48,,,,,,201.923687,FAIL,vel error exceeded
11,s03_vel_pi_disturbance,g000001_c1,1,,,,,,0.2631987029248513,0.001,0.15,,,,,,,2.2353,2.4112,0.8195,0.0,0.1465,0.007042,0.0,0.0,6.022,,,,,,200.77244,FAIL,vel error exceeded
12,s03_vel_pi_disturbance,g000001_c2,1,,,,,,0.1750169656012247,0.051753681878497534,0.15,,,,,,,2.4307,2.7612,0.6719,0.0,0.1222,0.007028,0.0,0.0,6.008,,,,,,200.635192,FAIL,vel error exceeded
13,s03_vel_pi_disturbance,g000001_c3,1,,,,,,0.10024016486388651,0.001,0.15,,,,,,,1.8843,2.3864,6.119,0.0,0.297,0.007112,0.0,0.0,12.0,,,,,,1.528878,PASS,
14,s03_vel_pi_disturbance,g000001_c4,1,,,,,,10.0,0.001,0.1,,,,,,,2.6469,5.6653,0.019,0.0,0.0,0.002758,0.0,12.0,0.092,,,,,,201.73874,FAIL,vel error exceeded
15,s03_vel_pi_disturbance,g000001_c5,1,,,,,,0.010498239437645978,0.001,0.1,,,,,,,0.387,0.6607,0.6146,0.0,0.3809,0.007124,0.0,0.0,2.308,,,,,,201.914482,FAIL,vel error exceeded
16,s03_vel_pi_disturbance,g000001_c6,1,,,,,,0.01047819486755669,0.003136744315044288,0.15,,,,,,,0.4169,0.735,0.624,0.0,0.3817,0.007124,0.0,0.0,2.33,,,,,,201.91894,FAIL,vel error exceeded
17,s03_vel_pi_disturbance,g000001_c7,1,,,,,,0.07516685404887756,0.001,0.15,,,,,,,1.7785,2.3325,6.8409,0.0,0.3596,0.007119,0.0,0.0,12.0,,,,,,1.83203,PASS,
18,s03_vel_pi_disturbance,g000002_c0,2,,,,,,0.14440061184186756,0.0011680273941955962,0.15,,,,,,,2.0206,2.4111,5.3313,0.0,0.2299,0.007105,0.0,0.0,12.0,,,,,,1.211607,PASS,
19,s03_vel_pi_disturbance,g000002_c1,2,,,,,,10.0,0.001,0.15,,,,,,,2.6474,5.6677,0.019,0.0,0.0,0.002757,0.0,12.0,0.092,,,,,,201.740225,FAIL,vel error exceeded
20,s03_vel_pi_disturbance,g000002_c2,2,,,,,,2.6485461996304087,0.001,0.15,,,,,,,2.5244,5.6756,0.0188,0.0,0.0,0.003061,0.0,12.0,0.102,,,,,,201.653595,FAIL,vel error exceeded
21,s03_vel_pi_disturbance,g000002_c3,2,,,,,,0.001,0.003000102546480168,0.15,,,,,,,0.2552,0.4613,0.5723,0.0,0.3818,0.007127,0.0,0.0,2.188,,,,,,201.91757,FAIL,vel error exceeded
22,s03_vel_pi_disturbance,g000002_c4,2,,,,,,0.1847648087014424,0.001,0.1,,,,,,,2.1131,2.4148,4.9039,0.0,0.1942,0.007102,0.0,0.0,12.0,,,,,,1.050878,PASS,
23,s03_vel_pi_disturbance,g000002_c5,2,,,,,,3.1453842314116494,0.0015001958164466364,0.1,,,,,,,2.7035,5.9457,0.0198,0.0,0.0,0.002972,0.0,12.0,0.1,,,,,,201.726685,FAIL,vel error exceeded
