run_id,scenario,label,gen,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KFF_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,hip_track_rms_rad,hip_cmd_rate_rms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,s04_vel_pi_staircase,evo_seed,0,,,,,,0.0010434243,0.26349501,0.12715073,,,,,,,1.1942,1.9512,0.7432,0.0,0.0774,0.007091,0.0,0.0,3.0,,,,,,200.253442,FAIL,vel error exceeded
2,s04_vel_pi_staircase,g000000_c0,0,,,,,,0.001,0.027151130550505272,0.1,,,,,,,0.3762,0.841,1.0449,0.0,0.204,0.00716,0.0,0.0,3.0,,,,,,200.62021,FAIL,vel error exceeded
3,s04_vel_pi_staircase,g000000_c1,0,,,,,,0.001,1.1883994106255824,0.15,,,,,,,5.9383,12.6189,0.3211,0.0,0.347,0.007233,0.0,0.0,2.15,,,,,,201.288653,FAIL,vel error exceeded
4,s04_vel_pi_staircase,g000000_c2,0,,,,,,0.001,0.8621660072915469,0.15,,,,,,,3.6034,6.3548,0.4437,0.0,0.2684,0.007211,0.0,0.0,2.51,,,,,,200.948337,FAIL,vel error exceeded
5,s04_vel_pi_staircase,g000000_c3,0,,,,,,0.06839735325265021,0.26999233562446023,0.1,,,,,,,1.2007,2.4407,0.7413,0.0,0.1041,0.007095,0.0,0.0,3.0,,,,,,200.348592,FAIL,vel error exceeded
6,s04_vel_pi_staircase,g000000_c4,0,,,,,,0.001,0.1026523969947786,0.15,,,,,,,0.8649,1.8284,0.92,0.0,0.1378,0.007123,0.0,0.0,3.0,,,,,,200.427075,FAIL,vel error exceeded
7,s04_vel_pi_staircase,g000000_c5,0,,,,,,0.002582801791273407,0.20767040495190855,0.15,,,,,,,1.1569,2.1135,0.7907,0.0,0.0849,0.007095,0.0,0.0,3.0,,,,,,200.273007,FAIL,vel error exceeded
8,s04_vel_pi_staircase,g000000_c6,0,,,,,,0.001,0.08686212387534721,0.1,,,,,,,0.786,1.6893,0.9438,0.0,0.1498,0.007129,0.0,0.0,3.0,,,,,,200.462187,FAIL,vel error exceeded
9,s04_vel_pi_staircase,g000000_c7,0,,,,,,0.001,0.554945453750706,0.15,,,,,,,1.5721,3.1561,0.6863,0.0,0.1758,0.007141,0.0,0.0,3.0,,,,,,200.596595,FAIL,vel error exceeded
10,s04_vel_pi_staircase,g000001_c0,1,,,,,,0.001,0.031994184197705895,0.15,,,,,,,0.4158,0.9309,1.0361,0.0,0.1991,0.007157,0.0,0.0,3.0,,,,,,200.605893,FAIL,vel error exceeded
11,s04_vel_pi_staircase,g000001_c1,1,,,,,,0.003570940328039527,1.0839668591525033,0.15,,,,,,,5.1866,10.3889,0.3402,0.0,0.3186,0.007227,0.0,0.0,2.234,,,,,,201.164608,FAIL,vel error exceeded
12,s04_vel_pi_staircase,g000001_c2,1,,,,,,0.006319136926715212,4.946970777424815,0.15,,,,,,,10.5641,20.5382,0.1013,0.0,0.0,0.006321,0.0,13.0,0.796,,,,,,200.535213,FAIL,vel error exceeded
