run_id,scenario,label,gen,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KFF_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,hip_track_rms_rad,hip_cmd_rate_rms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,s05_vel_pi_leg_cycling,evo_seed,0,,,,,,0.0010434243,0.26349501,0.12715073,,,,,,,12.7831,18.4612,12.0005,0.0,1.5092,0.00559,0.358,0.0,13.0,,,,,,5.80591,PASS,
2,s05_vel_pi_leg_cycling,g000000_c0,0,,,,,,0.002185951756682443,0.004376829187056184,0.1,,,,,,,1.8837,3.8026,14.1003,0.0,1.3601,0.005739,0.358,0.0,13.0,,,,,,4.26867,PASS,
3,s05_vel_pi_leg_cycling,g000000_c1,0,,,,,,0.001,0.7261927073874036,0.1,,,,,,,21.6533,32.3003,16.9497,0.0,1.8836,0.006193,0.358,0.0,13.0,,,,,,7.81613,PASS,
4,s05_vel_pi_leg_cycling,g000000_c2,0,,,,,,0.005396095665156479,0.029877465968871673,0.1,,,,,,,2.7619,5.413,10.8444,0.0,1.1559,0.005712,0.358,0.0,13.0,,,,,,3.74389,PASS,
5,s05_vel_pi_leg_cycling,g000000_c3,0,,,,,,0.040165822764839,2.534418266446199,0.1,,,,,,,24.9962,32.5339,18.0324,0.0,2.1411,0.006301,0.358,0.0,13.0,,,,,,8.92292,PASS,
6,s05_vel_pi_leg_cycling,g000000_c4,0,,,,,,0.0021620217095640695,0.2410302994371438,0.1,,,,,,,11.8268,17.2714,11.4376,0.0,1.4499,0.005586,0.358,0.0,13.0,,,,,,5.53238,PASS,
7,s05_vel_pi_leg_cycling,g000000_c5,0,,,,,,0.013867146832304398,0.011413790699903762,0.15,,,,,,,2.6186,5.3226,10.8061,0.0,1.143,0.005729,0.358,0.0,13.0,,,,,,3.69086,PASS,
8,s05_vel_pi_leg_cycling,g000000_c6,0,,,,,,0.001,0.9198325824524677,0.15,,,,,,,17.6308,31.3055,10.3007,0.0,1.5696,0.006391,0.3523,0.0,9.602,,,,,,206.47188,FAIL,fell over
9,s05_vel_pi_leg_cycling,g000000_c7,0,,,,,,0.001,1.563090653539787,0.1,,,,,,,23.7732,32.5018,17.1072,0.0,2.0848,0.006276,0.358,0.0,13.0,,,,,,8.63172,PASS,
10,s05_vel_pi_leg_cycling,g000001_c0,1,,,,,,0.0011643473810665204,0.0013545289407790016,0.15,,,,,,,1.7472,3.5405,14.715,0.0,1.4042,0.00574,0.358,0.0,13.0,,,,,,4.38732,PASS,
11,s05_vel_pi_leg_cycling,g000001_c1,1,,,,,,0.008904636398595275,0.004231801819507154,0.1,,,,,,,2.2171,4.5345,12.4961,0.0,1.2474,0.005735,0.358,0.0,13.0,,,,,,3.96391,PASS,
12,s05_vel_pi_leg_cycling,g000001_c2,1,,,,,,0.0021626635983532164,0.04869870339341167,0.15,,,,,,,3.2336,6.0644,10.32,0.0,1.1585,0.005694,0.358,0.0,13.0,,,,,,3.79886,PASS,
13,s05_vel_pi_leg_cycling,g000001_c3,1,,,,,,0.09037854626675558,0.0022048227103966807,0.1,,,,,,,5.2192,11.0733,6.2096,0.0,0.8641,0.005796,0.358,0.0,13.0,,,,,,3.11422,PASS,
14,s05_vel_pi_leg_cycling,g000001_c4,1,,,,,,0.016687707158424603,0.01614851618060341,0.1,,,,,,,2.8665,5.838,10.0762,0.0,1.0925,0.005721,0.358,0.0,13.0,,,,,,3.56415,PASS,
15,s05_vel_pi_leg_cycling,g000001_c5,1,,,,,,0.06808987256016974,0.15360360340418375,0.1,,,,,,,10.461,19.3821,9.4699,0.0,1.1696,0.005755,0.358,0.0,13.0,,,,,,4.5549,PASS,
16,s05_vel_pi_leg_cycling,g000001_c6,1,,,,,,0.006421862695597068,0.02986816642059454,0.1,,,,,,,2.8094,5.5135,10.6833,0.0,1.1424,0.005711,0.358,0.0,13.0,,,,,,3.70814,PASS,
17,s05_vel_pi_leg_cycling,g000001_c7,1,,,,,,0.009666692344053792,0.017025162137065803,0.1,,,,,,,2.5959,5.1893,11.1168,0.0,1.1696,0.005724,0.358,0.0,13.0,,,,,,3.76839,PASS,
18,s05_vel_pi_leg_cycling,g000002_c0,2,,,,,,0.0036722744962834797,0.0013104566623840005,0.15,,,,,,,1.903,3.8145,14.4847,0.0,1.4177,0.005745,0.358,0.0,13.0,,,,,,4.4434,PASS,
19,s05_vel_pi_leg_cycling,g000002_c1,2,,,,,,0.058341437609772145,0.02101216992665293,0.15,,,,,,,4.6657,9.5397,6.7342,0.0,0.9337,0.005745,0.358,0.0,13.0,,,,,,3.26767,PASS,
20,s05_vel_pi_leg_cycling,g000002_c2,2,,,,,,0.0019869518974045537,0.001,0.11835117743082625,,,,,,,1.7839,3.6224,14.4758,0.0,1.3893,0.005739,0.358,0.0,13.0,,,,,,4.34629,PASS,
21,s05_vel_pi_leg_cycling,g000002_c3,2,,,,,,0.02103972208312286,0.0012662994027939135,0.12685968916608248,,,,,,,2.6745,5.5041,10.4825,0.0,1.1202,0.005737,0.358,0.0,13.0,,,,,,3.62805,PASS,
