run_id,scenario,label,gen,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KFF_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,hip_track_rms_rad,hip_cmd_rate_rms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,s06_yaw_pi_turn,evo_seed,0,,,,,,,,,0.193246,0.221219,,,,,3.3775,9.6221,1.6936,0.0,0.2604,0.005172,0.0,0.0,8.0,,,,,,0.47575,PASS,
2,s06_yaw_pi_turn,g000000_c0,0,,,,,,,,,0.6531338445705138,0.03862004567675677,,,,,3.3791,9.6275,1.6935,0.0,0.2606,0.005172,0.0,0.0,8.0,,,,,,0.43211,PASS,
3,s06_yaw_pi_turn,g000000_c1,0,,,,,,,,,0.24562990786998867,68.9122989695651,,,,,3.3708,9.6173,1.7005,0.0,0.2605,0.005172,0.0,0.0,8.0,,,,,,0.46188,PASS,
4,s06_yaw_pi_turn,g000000_c2,0,,,,,,,,,1.1847353435715662,0.8261379233684452,,,,,3.3775,9.6213,1.6934,0.0,0.2605,0.005172,0.0,0.0,8.0,,,,,,0.41395,PASS,
5,s06_yaw_pi_turn,g000000_c3,0,,,,,,,,,5.142408008418989,1.098662541556991,,,,,3.503,8.9258,3.4218,0.0,0.6829,0.005274,0.0,0.0,8.0,,,,,,0.5462,PASS,
6,s06_yaw_pi_turn,g000000_c4,0,,,,,,,,,1.3705800034759528,100.0,,,,,3.3765,9.6226,1.6933,0.0,0.2602,0.005172,0.0,0.0,8.0,,,,,,0.42375,PASS,
7,s06_yaw_pi_turn,g000000_c5,0,,,,,,,,,0.06916920153978809,0.2494200890425516,,,,,3.377,9.6234,1.6934,0.0,0.2603,0.005172,0.0,0.0,8.0,,,,,,0.5534,PASS,
8,s06_yaw_pi_turn,g000000_c6,0,,,,,,,,,0.2143307574040268,0.08143605636777666,,,,,3.3801,9.6336,1.6944,0.0,0.2606,0.005172,0.0,0.0,8.0,,,,,,0.48471,PASS,
9,s06_yaw_pi_turn,g000000_c7,0,,,,,,,,,0.608580444245953,9.23028801436414,,,,,3.3775,9.6233,1.6936,0.0,0.2605,0.005172,0.0,0.0,8.0,,,,,,0.41815,PASS,
10,s06_yaw_pi_turn,g000001_c0,1,,,,,,,,,0.5690001132064245,0.05759302997013329,,,,,3.3798,9.6293,1.6938,0.0,0.2606,0.005172,0.0,0.0,8.0,,,,,,0.43458,PASS,
11,s06_yaw_pi_turn,g000001_c1,1,,,,,,,,,0.07027629862090314,0.23678554877959623,,,,,3.3768,9.6218,1.6932,0.0,0.2604,0.005172,0.0,0.0,8.0,,,,,,0.55278,PASS,
12,s06_yaw_pi_turn,g000001_c2,1,,,,,,,,,0.2172609165213509,2.3389940593006093,,,,,3.3771,9.6215,1.6936,0.0,0.2604,0.005172,0.0,0.0,8.0,,,,,,0.45951,PASS,
13,s06_yaw_pi_turn,g000001_c3,1,,,,,,,,,2.101137492415116,2.3983346437595996,,,,,3.3772,9.6175,1.6933,0.0,0.2605,0.005172,0.0,0.0,8.0,,,,,,0.41332,PASS,
