run_id,scenario,label,gen,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KFF_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,hip_track_rms_rad,hip_cmd_rate_rms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,s07_drive_turn,evo_seed,0,,,,,,,,,1.9107071,2.6005796,,,,,3.3145,12.0357,8.512,0.0,0.1769,0.007202,0.0,0.93,8.0,,,,,,0.70375,PASS,
2,s07_drive_turn,g000000_c0,0,,,,,,,,,3.644053571718058,0.47883800197030696,,,,,3.3192,12.0372,8.5154,0.0,0.182,0.007202,0.0,0.93,8.0,,,,,,0.71142,PASS,
3,s07_drive_turn,g000000_c1,0,,,,,,,,,15.729247756232246,100.0,,,,,3.203,10.2978,8.6959,0.0,0.7118,0.007309,0.0,8.0,8.0,,,,,,1.5719,PASS,
4,s07_drive_turn,g000000_c2,0,,,,,,,,,1.2443064561298343,79.41372548422014,,,,,3.3476,12.0467,8.5458,0.0,0.239,0.007203,0.0,0.93,8.0,,,,,,0.82091,PASS,
5,s07_drive_turn,g000000_c3,0,,,,,,,,,0.30393246072426716,4.5983943073659255,,,,,3.2973,12.0464,8.4906,0.0,0.1374,0.007202,0.0,0.93,8.0,,,,,,0.65508,PASS,
6,s07_drive_turn,g000000_c4,0,,,,,,,,,12.25157290832457,69.23652634743576,,,,,3.4341,11.9354,8.7892,0.0,0.7058,0.007296,0.0,0.978,8.0,,,,,,1.58496,PASS,
7,s07_drive_turn,g000000_c5,0,,,,,,,,,0.7005977239537541,0.08563658094196136,,,,,3.3199,12.0474,8.5104,0.0,0.1687,0.007201,0.0,0.93,8.0,,,,,,0.69754,PASS,
8,s07_drive_turn,g000000_c6,0,,,,,,,,,8.706479563853744,6.446018847458288,,,,,3.2333,11.4969,9.1927,0.0,0.7041,0.00729,0.0,1.064,8.0,,,,,,1.56053,PASS,
9,s07_drive_turn,g000000_c7,0,,,,,,,,,29.205913393886394,100.0,,,,,3.4431,12.3761,8.7362,0.0,0.7317,0.007344,0.0,8.0,8.0,,,,,,1.63476,PASS,
10,s07_drive_turn,g000001_c0,1,,,,,,,,,0.10089945075267577,100.0,,,,,8.1148,19.2689,20.5001,0.0,3.4069,0.007495,0.0,1.06,8.0,,,,,,10.40413,PASS,
11,s07_drive_turn,g000001_c1,1,,,,,,,,,0.03490292776082861,0.2256299513065088,,,,,3.3002,12.096,8.4809,0.0,0.1245,0.007202,0.0,0.93,8.0,,,,,,0.81212,PASS,
12,s07_drive_turn,g000001_c2,1,,,,,,,,,0.6110685214593791,3.337198607953829,,,,,3.3063,12.0439,8.5021,0.0,0.1572,0.007202,0.0,0.93,8.0,,,,,,0.67683,PASS,
13,s07_drive_turn,g000001_c3,1,,,,,,,,,1.6261498883934693,2.574353705318419,,,,,3.3145,12.0392,8.5105,0.0,0.175,0.007202,0.0,0.93,8.0,,,,,,0.70105,PASS,
14,s07_drive_turn,g000001_c4,1,,,,,,,,,0.6073937936243691,33.27918702541149,,,,,3.3436,12.0437,8.5416,0.0,0.235,0.007203,0.0,0.93,8.0,,,,,,0.81781,PASS,
15,s07_drive_turn,g000001_c5,1,,,,,,,,,0.001,2.780469438164425,,,,,3.2563,11.9622,8.4641,0.0,0.1218,0.007205,0.0,0.928,8.0,,,,,,1.09513,PASS,
16,s07_drive_turn,g000001_c6,1,,,,,,,,,0.008600518023219508,4.77749354706603,,,,,7.1424,18.8038,19.5783,0.0,3.3556,0.007576,0.0,0.93,8.0,,,,,,10.10754,PASS,
17,s07_drive_turn,g000001_c7,1,,,,,,,,,0.07972577163016638,61.932845741870146,,,,,8.546,21.2953,19.9701,0.0,3.3229,0.007442,0.0,1.056,8.0,,,,,,10.3616,PASS,
18,s07_drive_turn,g000002_c0,2,,,,,,,,,7.163115295279704,13.238468062362191,,,,,3.1865,11.3705,9.3805,0.0,0.7865,0.007291,0.0,8.0,8.0,,,,,,1.66265,PASS,
19,s07_drive_turn,g000002_c1,2,,,,,,,,,6.031105295085332,0.01299691961147728,,,,,3.331,11.1786,9.5003,0.0,0.7599,0.007263,0.0,1.36,8.0,,,,,,1.6225,PASS,
20,s07_drive_turn,g000002_c2,2,,,,,,,,,1.0417644874811127,0.13339182651536582,,,,,3.3184,12.045,8.5117,0.0,0.1729,0.007201,0.0,0.93,8.0,,,,,,0.70009,PASS,
21,s07_drive_turn,g000002_c3,2,,,,,,,,,6.510767791618416,7.369582785242674,,,,,3.4041,11.6049,9.6356,0.0,0.7809,0.007297,0.0,1.27,8.0,,,,,,1.67661,PASS,
22,s07_drive_turn,g000002_c4,2,,,,,,,,,1.1104221307675044,29.627203345297673,,,,,3.334,12.0376,8.5403,0.0,0.2279,0.007202,0.0,0.93,8.0,,,,,,0.79405,PASS,
23,s07_drive_turn,g000002_c5,2,,,,,,,,,0.38733947820374715,100.0,,,,,3.8406,16.0392,8.7748,0.0,0.6246,0.00721,0.0,0.966,8.0,,,,,,1.57386,PASS,
24,s07_drive_turn,g000002_c6,2,,,,,,,,,0.13021262010266194,0.6298497664688217,,,,,3.2936,12.0607,8.4822,0.0,0.1245,0.007201,0.0,0.93,8.0,,,,,,0.68051,PASS,
25,s07_drive_turn,g000002_c7,2,,,,,,,,,0.03637221391429668,24.436952787540182,,,,,7.2218,16.1615,19.621,0.0,3.3212,0.007469,0.0,0.93,8.0,,,,,,9.80573,PASS,
26,s07_drive_turn,g000003_c0,3,,,,,,,,,1.5978702744174202,2.419992177158967,,,,,3.3142,12.0397,8.5109,0.0,0.1749,0.007202,0.0,0.93,8.0,,,,,,0.70087,PASS,
27,s07_drive_turn,g000003_c1,3,,,,,,,,,0.45390771016898845,55.65735331751438,,,,,3.6399,13.0915,8.5618,0.0,0.3543,0.007206,0.0,0.93,8.0,,,,,,1.05444,PASS,
