run_id,scenario,label,gen,timestamp,Q_PITCH,Q_PITCH_RATE,Q_VEL,R,KP_V,KI_V,KFF_V,KP_YAW,KI_YAW,LEG_K_S,LEG_B_S,LEG_K_ROLL,LEG_D_ROLL,rms_pitch_deg,max_pitch_deg,wheel_travel_m,wheel_liftoff_s,vel_track_rms_ms,hip_track_rms_rad,hip_cmd_rate_rms,settle_time_s,survived_s,fitness_balance,fitness_disturbance,fitness_drive_slow,fitness_drive_med,fitness_obstacle,fitness,status,fail_reason
1,s09_integrated,evo_seed,0,,0.01,0.18835218,0.0050844202,100.0,0.27216753,0.001,0.10491944,0.30725832,1.2004036,20.930684,0.64742237,120.49561,0.1499999,1.2036,6.2133,0.6134,0.0,0.155,0.021638,15.3011,0.0,5.018,,,,,,200.516041,FAIL,vel error exceeded
2,s09_integrated,g000000_c0,0,,0.055828209479847686,0.09877204201199904,0.01723340168660948,100.0,0.4803473498674989,0.0023749411063611835,0.1,0.9204860348794955,3.538475451935451,0.20818910425722367,1.628063624582125,14.12526170951212,0.03653851436649158,0.4895,2.9607,0.4509,0.0,0.0935,0.272578,1.5859,0.0,5.01,,,,,,201.531946,FAIL,vel error exceeded
3,s09_integrated,g000000_c1,0,,0.01,0.16042756343008485,0.0011822639863317103,100.0,0.2740146102142627,0.001,0.15,0.7105531154292819,0.058417265332407486,22.81502297139156,0.5605898418060158,167.16942436208612,0.033006912260295625,1.4509,4.1982,0.0057,0.0,0.0,0.020759,53.2378,16.0,0.052,,,,,,200.346283,FAIL,vel error exceeded
4,s09_integrated,g000000_c2,0,,0.010793002769418534,1.794484566668326,0.00040449777427087926,95.44961280054038,0.22925856751494098,0.001,0.15,0.11982746171399518,0.31664778696086465,10.081521850073702,0.02709722010465034,40.32608467316197,0.024564036781026883,1.1133,4.2896,0.7253,0.0,0.1809,0.029923,4.3662,0.0,5.016,,,,,,200.509176,FAIL,vel error exceeded
5,s09_integrated,g000000_c3,0,,0.05282200075594622,0.013754233185438204,0.0020216187243713205,97.92832844676572,2.213466431615063,0.001,0.15,11.716092958389053,3.35255732265821,12.031671600777239,10.805411203491849,499.99999999999994,0.061712723838371016,3.9559,7.0719,0.007,0.0,0.0,0.00986,59.0338,16.0,0.03,,,,,,200.631769,FAIL,vel error exceeded
6,s09_integrated,g000000_c4,0,,0.01,0.4418138171586534,0.017584682007454434,100.0,0.011308834617702474,0.001,0.15,0.4330860308632716,3.214794214645215,1.745188995198711,0.9741138140197598,30.755390629730506,0.4310703835977175,0.5279,0.8299,0.5731,0.0,0.3452,0.205645,3.3883,0.0,2.296,,,,,,201.445302,FAIL,vel error exceeded
7,s09_integrated,g000000_c5,0,,0.48751478851514657,0.006945660708527428,0.006299978280030449,6.596688983058943,0.10612267230139857,0.001,0.1,0.03645668016275873,22.67059822882254,13.253678816445714,10.909596689840688,499.99999999999994,0.15084248147696522,0.6012,2.7746,0.7708,0.0,0.2404,0.15668,54.9493,0.076,3.95,,,,,,201.311387,FAIL,vel error exceeded
8,s09_integrated,g000000_c6,0,,0.01,0.032777501033997826,0.3207979234630627,61.12105519779682,0.28278487980659717,0.00972675020706818,0.15,0.04427991846782146,0.009789553540931924,59.735739459892415,1.1770430033721033,23.26781873668321,0.050379975264571525,1.2825,2.8613,0.4274,0.0,0.1132,0.009459,2.7725,0.0,5.006,,,,,,200.363993,FAIL,vel error exceeded
9,s09_integrated,g000000_c7,0,,0.01,0.2039715310554829,0.013376603759915656,100.0,0.02375301596250024,0.00830943610768849,0.15,11.098119712828437,7.1702852026632495,100.0,0.1972554949303317,29.93099005697267,0.024113226970593628,0.2394,0.6874,0.0167,0.0,0.0,0.007458,4.1134,16.0,0.094,,,,,,200.087981,FAIL,vel error exceeded
10,s09_integrated,g000001_c0,1,,0.02597324868566418,0.0562332688098724,0.0037631603678810557,94.80418721057593,5.675362812700148,0.008197656252304873,0.1,1.4924293993369602,0.1432858078150859,29.92694510529394,9.564229530070095,499.99999999999994,0.00205002465570816,1.8951,4.1323,0.0055,0.0,0.0,0.010923,101.0744,16.0,0.03,,,,,,200.412527,FAIL,vel error exceeded
11,s09_integrated,g000001_c1,1,,0.01,0.20992635871209026,0.0024288939458203605,100.0,0.4839933284456091,0.001,0.1,1.3274613843004504,13.83124908455012,86.49159290585945,7.635128761683917,59.653120284693074,4.180248356472945,3.1361,5.8609,0.0069,0.0,0.0,0.014624,295.4341,16.0,0.026,,,,,,200.673843,FAIL,vel error exceeded
12,s09_integrated,g000001_c2,1,,0.05706274814281413,0.5996170762646386,0.024864762009129692,50.097965470700615,0.009004438827218311,0.012744731366733307,0.15,0.0641274229040314,1.1744305231653482,7.151110969406827,0.20188133815950626,499.99999999999994,0.021257502602463264,0.4562,0.8255,0.0335,0.016,0.0,0.133493,70.6293,16.0,0.29,,,,,,200.771788,FAIL,vel error exceeded
13,s09_integrated,g000001_c3,1,,0.0894629795937146,0.00838947019826819,0.013153235037407092,100.0,0.001,0.011679081481787293,0.15,0.26132591592820664,0.2875213440536108,7.081818591573646,0.311442377673517,93.18885068731356,0.11967304524843383,0.6538,1.4079,0.5251,0.0,0.3192,0.038452,10.2311,0.0,2.528,,,,,,200.621937,FAIL,vel error exceeded
14,s09_integrated,g000001_c4,1,,0.01,0.023034488824534093,0.0005241338896863024,7.0655197635745575,3.1426398500642816,0.001,0.11516659290738157,6.497907541311041,0.15137837242488508,2.840869668240036,5.3492471030294935,203.92318427482402,0.03361420118276022,8.0017,13.6533,0.009,0.0,0.0,0.018829,18.2349,16.0,0.058,,,,,,201.167844,FAIL,vel error exceeded
15,s09_integrated,g000001_c5,1,,0.09076655088314764,0.2057432217460441,0.005650000831144836,95.38844908207167,0.0430879250811407,0.04815402121650803,0.15,9.228093669140092,6.50935892992434,1.3013828709898694,0.1590892224595748,499.99999999999994,0.019136380303028302,0.8075,2.507,0.0117,0.0,0.0,0.076445,53.9192,16.0,0.12,,,,,,200.495435,FAIL,vel error exceeded
16,s09_integrated,g000001_c6,1,,0.2758051977298853,0.05278720850847096,0.001761467685410257,59.61621138811887,0.30860655301756224,0.0020359740032046434,0.1,0.32989648999550253,0.15430523379307193,6.764215416228945,1.7277419107233059,480.5307746903371,0.01026784777692029,1.0145,3.2179,0.0079,0.0,0.0,0.038654,73.0077,16.0,0.106,,,,,,200.351916,FAIL,vel error exceeded
17,s09_integrated,g000001_c7,1,,0.10000082621258562,0.30803845196890234,0.0008801531608521619,40.541142246850896,0.9248378928604853,0.001,0.15,0.04691051165500567,11.091794514370951,2.238023542065823,0.07928095889645041,45.04166037779051,0.47839795898612925,11.9171,20.568,0.0176,0.0,0.0,0.06208,5.2089,16.0,0.094,,,,,,201.900081,FAIL,vel error exceeded
18,s09_integrated,g000002_c0,2,,0.0601737930645236,0.09608368606972201,0.0001605729009215555,16.666794491660003,0.1512954271111483,0.0012266031156841942,0.15,9.624265357134922,0.22870503282018878,100.0,0.10496054501043474,41.914130082128516,0.019022780348254352,2.1974,4.3581,0.0148,0.0,0.0,0.008212,8.5495,16.0,0.082,,,,,,200.371214,FAIL,vel error exceeded
19,s09_integrated,g000002_c1,2,,0.08139329724471908,1.1294901677133322,0.056478901471582764,100.0,2.853514788424237,0.0024375396996354427,0.15,1.7549189448400835,0.12795849502630782,14.858419577635425,0.2722224356252776,10.532241601600303,0.0032484259727042384,12.4013,21.1529,0.0191,0.0,0.0,0.03126,1.2289,16.0,0.102,,,,,,201.81101,FAIL,vel error exceeded
